school,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new
Univ. of Maryland-College Park,2000,54,45,13,,,,1140-1340,,
Univ. of Massachusetts-Amherst,2000,69,19,15,,,,1030-1240,,
University of Miami,2000,55,46,16,,,,1050-1270,,
Univ. of Minnesota-Twin Cities,2000,73,29,9,,,,22-27,,
Univ. of Missouri -Columbia,2000,90,31,13,,,,24-29,,
University of Missouri-Rolla,2000,89,48,22,,,,25-30,,
University of New Hampshire,2000,81,21,14,,,,1020-1210,,
University of Pittsburgh,2000,66,28,16,,,,1040-1250,,
University of San Diego,2000,52,50,17,,,,1070-1250,,
University of San Francisco,2000,80,22,16,,,,1020-1220,,
Univ. of South Carolina-Columbia,2000,67,34,19,,,,980-1220,,
Univ. of Tennessee-Knoxville,2000,67,26,21,,,,21-26,,
University of Utah,2000,93,26,12,,,,21-28,,
University of Vermont,2000,80,16,19,,,,1030-1230,,
Virginia Tech,2000,72,33,19,,,,1060-1270,,
Washington State University,2000,84,,20,,,,940-1170,,
Worcester Polytechnic Inst.,2000,79,43,25,,,,1180-1360,,
Andrews University,2000,60,13,15,,,,18-25,,
Arizona State University,2000,80,30,13,,,,980-1220,,
Ball State University,2000,79,15,22,,,,900-1130,,
Bowling Green State University,2000,90,13,15,,,,19-25,,
Colorado State University,2000,77,25,10,,,,22-26,,
DePaul University,2000,78,19,8,,,,21-26,,
Drexel University,2000,59,23,22,,,,1060-1260,,
Duquesne University,2000,84,56,16,,,,995-1200,,
Florida Institute of Technology,2000,79,27,8,,,,1030-1240,,
George Mason University,2000,59,,8,,,,950-1160,,
Hofstra University,2000,48,12,11,,,,1000-1170,,
Kansas State University,2000,65,24,24,,,,20-26,,
Louisiana State U.-Baton Rouge,2000,82,25,27,,,,21-26,,
MCP Hahnemann University,2000,54,,,,,,,,
Mississippi State University,2000,70,30,16,,,,19-27,,
Montanta State University,2000,87,20,35,,,,20-26,,
New Jersey Inst. Of Technology,2000,54,21,15,,,,1030-1230,,
New School University,2000,,24,5,,,,1056-1304,,
Northeastern University,2000,62,18,16,,,,1030-1220,,
Oklahoma State University,2000,89,32,13,,,,21-27,,
Oregon State University,2000,91,27,15,,,,970-1200,,
Pace University,2000,74,20,8,,,,890-1170,,
Polytechnic University,2000,70,41,17,,,,1100-1300,,
Rutgers-Newark,2000,55,24,13,,,,930-1120,,
Seton Hall University,2000,76,15,19,,,,960-1160,,
St. Johns University,2000,83,16,8,,,,870-1110,,
SUNY-Albany,2000,61,12,29,,,,1020-1210,,
SUNY-Buffalo,2000,74,18,8,,,,1000-1220,,
SUNY-Stony Brook,2000,58,24,3,,,,980-1210,,
Temple University,2000,64,17,11,,,,930-1150,,
Texas Tech University,2000,73,23,30,,,,970-1180,,
University of Alabama-Birmingham,2000,89,24,9,,,,19-24,,
Univ. of Arkansas-Fayetteville,2000,88,36,24,,,,21-27,,
University of Cincinnati,2000,83,15,11,,,,19-26,,
University of Hawaii-Manoa,2000,70,31,14,,,,990-1190,,
University of Idaho,2000,85,22,13,,,,21-26,,
University of Illinois-Chicago,2000,61,26,5,,,,21-25,,
University of Maine-Orono,2000,85,18,15,,,,960-1190,,
U. of Maryland-Baltimore County,2000,69,30,13,,,,1060-1270,,
University of Mississippi,2000,72,38,13,,,,23,,
Univ. of Missouri-Kansas City,2000,68,37,6,,,,21-27,,
Univ. of Nebraska-Lincoln,2000,74,25,19,,,,21-27,,
University of Nevada-Reno,2000,91,,16,,,,20-25,,
University of Oklahoma,2000,89,32,18,,,,21-27,,
University of Oregon,2000,90,20,13,,,,1000-1230,,
University of Rhode Island,2000,75,17,16,,,,990-1190,,
University of South Florida,2000,72,27,9,,,,970-1180,,
University of Texas-Dallas,2000,63,35,6,,,,1070-1320,,
University of the Pacific,2000,82,37,13,,,,980-1220,,
University of Tulsa,2000,80,49,12,,,,23-29,,
University of Wyoming,2000,97,29,12,,,,21-26,,
Utah State University,2000,86,,15,,,,19-25,,
Virginia Commonwealth University,2000,74,13,13,,,,900-1140,,
Wayne State University,2000,82,,9,,,,17-24,,
Western Michigan University,2000,85,16,10,,,,20-25,,
West Virginia University,2000,94,21,11,,,,920-1120,,
Adelphi University,2000,68,,3,,,,940-1150,,
Biola University,2000,92,,15,,,,1097,,
Clark Atlanta University,2000,67,,,,,,19,,
Cleveland State University,2000,83,,,,,,,,
Florida Atlantic University,2000,71,,6,,,,950-1150,,
Florida International University,2000,69,42,22,,,,1040-1180,,
Georgia State University,2000,54,8,9,,,,950-1140,,
Idaho State University,2000,75,,7,,,,19-25,,
Illinois State University,2000,75,11,9,,,,20-25,,
Indiana State University,2000,86,9,11,,,,830-1060,,
Indiana Univ. of Pennsylvania,2000,59,21,14,,,,970-1150,,
Indiana U.-Purdue U.-Indianapolis,2000,86,7,9,,,,830-1060,,
Kent State University,2000,92,10,9,,,,18-23,,
Louisiana Tech University,2000,91,23,12,,,,19-25,,
Middle Tennessee State Univ.,2000,77,13,10,,,,19-24,,
New Mexico State University,2000,68,20,10,,,,18-23,,
North Dakota State University,2000,75,17,22,,,,23,,
Northern Arizona University,2000,79,27,14,,,,940-1160,,
Northern Illinois University,2000,73,11,10,,,,20-25,,
Nova Southeastern University,2000,70,28,2,,,,950-1181,,
Old Dominion University,2000,71,19,11,,,,930-1120,,
Portland State University,2000,78,,10,,,,910-1160,,
San Diego State University,2000,60,,5,,,,920-1140,,
Southern Illinois U.-Carbondale,2000,71,10,,,,,20-24,,
Tennessee State University,2000,68,,,,,,17-21,,
Texas A&M University-Commerce,2000,66,15,10,,,,910-1170,,
Texas Southern University,2000,95,,,,,,,,
Texas Woman's University,2000,87,,5,,,,800-1040,,
Union Institute,2000,59,,1,,,,,,
United States International U.,2000,78,,2,,,,790-1080,,
University of Akron,2000,100,13,11,,,,17-24,,
University of Alabama-Huntsville,2000,92,32,7,,,,22-28,,
University of Alaska-Fairbanks,2000,90,9,,,,,18-25,,
University of Central Florida,2000,62,23,6,,,,1050-1230,,
University of Colorado-Denver,2000,70,18,,,,,19-24,,
University of Detroit Mercy,2000,77,30,9,,,,19-26,,
University of Houston,2000,70,20,6,,,,910-1140,,
University of La Verne,2000,75,,10,,,,850-1070,,
University of Louisiana-Lafayette,2000,83,,13,,,,18-23,,
University of Louisville,2000,80,15,18,,,,18-24,,
Univ. of Massachusetts-Lowell,2000,71,,11,,,,950-1150,,
University of Memphis,2000,71,,9,,,,19-24,,
Univ. of Missouri-St. Louis,2000,61,16,8,,,,20-26,,
University of Montana,2000,98,15,23,,,,19-25,,
University of New Mexico,2000,92,17,9,,,,19-25,,
University of New Orleans,2000,83,,10,,,,18-23,,
U. of North Carolina-Greensboro,2000,77,13,11,,,,920-1140,,
University of North Dakota,2000,70,22,16,,,,20-24,,
University of Northern Colorado,2000,81,12,14,,,,19-24,,
University of North Texas,2000,74,19,6,,,,960-1200,,
University of South Dakota,2000,100,14,23,,,,19-25,,
Univ. of Southern Mississippi,2000,65,37,,,,,19-23,,
University of Texas-Arlington,2000,97,21,3,,,,930-1150,,
University of Toledo,2000,96,13,9,,,,19-25,,
Univ. of Wisconsin-Milwaukee,2000,82,8,7,,,,19-24,,
Wichita State University,2000,76,14,11,,,,18-25,,
Wright State University,2000,89,14,6,,,,18-24,,
Princeton University,2001,12,92,66,,100,,1350-1540,,4.9
Harvard University,2001,11,90,46,,99,,1410-1580,,4.9
Yale University,2001,16,95,46,,99,,1380-1550,,4.9
California Institute of Technology,2001,13,98,39,,96,,1450-1580,,4.7
Massachusetts Inst. Of Technology,2001,16,97,41,,95,,1410-1560,,4.9
Stanford University,2001,13,89,40,,95,,1360-1560,,4.9
University of Pennsylvania,2001,23,92,41,,95,,1310-1490,,4.5
Duke University,2001,26,86,45,,93,,1300-1500,,4.6
Columbia University,2001,13,87,32,,89,,1310-1510,,4.6
Dartmouth College,2001,21,86,48,,89,,1330-1520,,4.4
University of Chicago,2001,44,82,33,,89,,1280-1490,,4.7
Northwestern University,2001,33,84,29,,88,,1290-1470,,4.4
Rice University,2001,23,84,38,,88,,1310-1510,,4.3
Cornell University,2001,31,82,37,,87,,1270-1460,,4.6
Washington University in St. Louis,2001,30,85,40,,87,,1290-1450,,4.1
Brown University,2001,16,87,44,,86,,1290-1490,,4.4
Johns Hopkins University,2001,32,70,28,,86,,1300-1480,,4.7
Emory University,2001,45,90,37,,84,,1300-1460,,4
University of Notre Dame,2001,34,84,48,,83,,1270-1430,,3.9
University of California-Berkeley,2001,26,99,18,,82,,1200-1450,,4.8
University of Virginia,2001,39,83,29,,81,,1200-1410,,4.4
Vanderbilt University,2001,55,71,31,,81,,1220-1400,,4.1
Carnegie Mellon University,2001,36,72,28,,80,,1280-1460,,4.2
Georgetown University,2001,22,78,30,,80,,1280-1450,,4
University of Michigan-Ann Arbor,2001,55,67,13,,77,,25-30,,4.6
Univ. of California -Los Angeles,2001,29,97,12,,76,,1170-1400,,4.3
Wake Forest University,2001,49,67,36,,76,,1220-1380,,3.4
Tufts University,2001,26,73,30,,75,,1240-1410,,3.6
U. of North Carolina-Chapel Hill,2001,37,65,25,,75,,1130-1340,,4.2
College of William and Mary,2001,41,79,29,,73,,1230-1410,,3.8
Univ. of California-San Diego,2001,38,99,9,,72,,1160-1370,,3.9
New York University,2001,29,70,18,,71,,1250-1420,,3.7
Univ. of Wisconsin-Madison,2001,72,48,14,,71,,25-29,,4.3
Brandeis University,2001,48,61,31,,70,,1220-1420,,3.6
Univ. of Southern California,2001,34,80,26,,70,,1210-1400,,3.8
U. of Illinois-Urbana Champaign,2001,64,53,14,,69,,24-29,,4.2
University of Rochester,2001,50,53,21,,69,,1240-1410,,3.4
Boston College,2001,32,68,26,,68,,1220-1390,,3.5
Case Western Reserve Univ.,2001,71,71,31,,68,,1240-1450,,3.5
Lehigh University,2001,46,52,36,,68,,1183-1365,,3.2
Georgia Institute of Technology,2001,57,60,35,,67,,1250-1420,,4
University of California -Davis,2001,63,95,13,,67,,1060-1290,,3.9
University of California-Irvine,2001,57,95,9,,67,,1070-1275,,3.7
Yeshiva University,2001,79,,21,,67,,1130-1330,,3
University of Washington,2001,78,47,15,,65,,1050-1270,,4
Pennsylvania State U. -University Park,2001,48,44,21,,64,,1080-1290,,3.8
Tulane University,2001,73,55,21,,64,,1210-1390,,3.5
Pepperdine University,2001,36,69,20,,63,,1150-1350,,3.1
Rensselaer Polytechnic Inst.,2001,73,59,24,,63,,1180-1370,,3.6
Texas A&M Univ.-College Station,2001,66,53,22,,63,,1070-1290,,3.6
Univ. of California-Santa Barbara,2001,47,95,15,,63,,1090-1290,,3.5
University of Texas-Austin,2001,62,47,14,,63,,1090-1310,,4.1
Auburn U.,2001,85,24,24,,,,,,3
Baylor U.,2001,84,38,19,,,,,,3.2
Brigham Young U.-Provo,2001,64,56,21,,,,,,3.1
Colorado State U.,2001,78,24,9,,,,,,3
Florida state U.,2001,54,57,13,,,,,,3.2
Indiana U.- Bloomington,2001,82,21,15,,,,,,3.9
Iowa State u.,2001,91,25,17,,,,,,3.4
Miami U.- Oxford,2001,69,38,20,,,,,,3.3
Michigan State U.,2001,69,24,12,,,,,,3.6
North Carolina State U.- Raleigh,2001,65,37,18,,,,,,3.2
Ohio State U.-Columbus,2001,72,32,17,,,,,,3.8
Ohio U.,2001,77,17,12,,,,,,3.1
Purdue U.-West Lafayette,2001,78,27,17,,,,,,3.9
Rutgers-Newark,2001,52,29,13,,,,,,2.9
Rutgers-New Brunswick,2001,58,32,18,,,,,,3.3
Southern Methodist U.,2001,82,31,18,,,,,,3.1
SUNY_Buffalo,2001,68,22,9,,,,,,3.1
Syracuse U.,2001,58,40,20,,,,,,3.3
Texas Christian U.,2001,76,34,28,,,,,,2.8
U. of Alabama,2001,86,28,25,,,,,,3
U. of Arizona,2001,84,33,12,,,,,,3.7
U. of Colorado-Boulder,2001,86,21,13,,,,,,3.7
U. of Connecticut,2001,67,23,22,,,,,,3.2
U. of Florida,2001,62,66,18,,,,,,3.6
U. of Georgia,2001,62,41,19,,,,,,3.5
U. of Iowa,2001,83,20,13,,,,,,3.7
U. of Kansas,2001,69,28,14,,,,,,3.3
U. of Kentucky,2001,80,31,15,,,,,,3
U. of Maryland- College Park,2001,51,52,14,,,,,,3.7
U. of Minnesota-Twin Cities,2001,75,30,9,,,,,,3.8
U. of issouri-Columbia,2001,90,31,12,,,,,,3.4
U. of Nebraska-Lincoln,2001,92,25,23,,,,,,3.2
U. of Oklahoma,2001,86,31,18,,,,,,3
U. of Oregon,2001,90,21,12,,,,,,3.4
U. of Pittsburgh,2001,62,32,16,,,,,,3.4
U. of South Carolina-Columbia,2001,69,30,24,,,,,,3
U. of Tennessee- Knoxville,2001,62,26,21,,,,,,3.2
U. of Tulsa,2001,75,50,18,,,,,,2.5
U. of Utah,2001,94,26,13,,,,,,3.2
Virginia Tech,2001,61,37,18,,,,,,3.4
Washington State U.,2001,84,,22,,,,,,3.1
Ball State U.,2001,79,16,15,,,,,,2.5
Bowling Green State U.,2001,88,12,15,,,,,,2.6
Kansas State U.,2001,61,24,23,,,,,,2.9
Louisiana U.- Baton Rouge,2001,78,26,26,,,,,,2.8
Mississippi State U.,2001,71,26,14,,,,,,2.4
Oklahoma State U.,2001,92,30,13,,,,,,2.7
Oregon State U.,2001,87,22,15,,,,,,3
Temple U.,2001,71,17,10,,,,,,2.9
Texas Tech U.,2001,70,21,31,,,,,,2.7
U. of Alabama-Birmingham,2001,90,15,7,,,,,,2.9
U. of Arkansas,2001,90,33,22,,,,,,2.7
U. of Cincinnati,2001,82,13,9,,,,,,2.7
U. of Hawaii- Manoa,2001,71,30,9,,,,,,2.6
U. of Idaho,2001,83,19,18,,,,,,2.7
U. of Mississippi,2001,82,37,14,,,,,,2.7
U. of Nevada-Reno,2001,90,,14,,,,,,2.5
U. of New Mexico,2001,69,20,10,,,,,,3
U. of Southern Mississippi,2001,52,35,17,,,,,,2.3
U. of South Florida,2001,58,22,6,,,,,,2.6
U. of Wyoming,2001,97,23,12,,,,,,2.6
Utah State U.,2001,98,,14,,,,,,2.7
Western Michigan U.,2001,85,16,10,,,,,,2.6
West Virginia U.,2001,94,21,12,,,,,,2.7
Central Michigan U.,2001,82,18,12,,,,,,2.3
Florida Atlantic U.,2001,72,,6,,,,,,2.3
Florida International U.,2001,67,43,5,,,,,,2.3
Kent State U.,2001,92,10,9,,,,,,2.6
Louisiana Tech U.,2001,93,36,15,,,,,,2.3
Middle Tennesseee State ZU.,2001,79,14,10,,,,,,2.1
Northern Illinois U.,2001,65,10,10,,,,,,2.3
San Diego State U.,2001,65,,5,,,,,,2.8
U. of Akron,2001,90,11,10,,,,,,2.2
U. of Central Florida,2001,63,33,8,,,,,,2.4
U. of North Texas ,2001,75,20,8,,,,,,2.4
U. of Texas- El Paso,2001,93,15,5,,,,,,2.3
U. of Toledo,2001,99,14,18,,,,,,2.2
Auburn University,2002,76,26,24,,,,,,3.1
Baylor U.,2002,79,39,23,,,,,,3.3
Brigham Young U.- Provo,2002,65,54,21,,,,,,3.1
Colorado State U.,2002,78,24,10,,,,,,3
Florida State U.,2002,53,47,15,,,,,,3.1
Indiana U.- Bloomington,2002,83,22,17,,,,,,3.9
Iowa State U.,2002,90,26,17,,,,,,3.4
Miami U.- Oxford ,2002,74,37,19,,,,,,3.4
Michigan State U.,2002,65,26,15,,,,,,3.6
North carolina State U.- Raleigh,2002,66,35,16,,,,,,3.2
Ohio State U.- Columbu,2002,73,33,18,,,,,,3.7
Ohio U.,2002,78,18,12,,,,,,3.2
Purdue U.- West Lafayette,2002,77,28,17,,,,,,3.8
Rutgers- newark,2002,48,29,13,,,,,,3
Rutgers- New Brunswick,2002,57,36,17,,,,,,3.4
Southern Methodist U.,2002,75,32,16,,,,,,3.1
SUNY_ Buffalo,2002,63,21,10,,,,,,3.1
Syracuse U.,2002,64,40,21,,,,,,3.4
Texas A&M U.- College Station,2002,69,55,22,,,,,,3.6
Texas Christian U.,2002,72,32,29,,,,,,2.7
U. of Alabama,2002,79,27,24,,,,,,3.1
U. of Arizona,2002,84,31,10,,,,,,3.6
U. of Colorado-Boulder,2002,79,22,13,,,,,,3.7
U. of Connecticut,2002,68,23,23,,,,,,3.1
U. of Florida,2002,60,71,18,,,,,,3.6
U. of Georgia,2002,62,40,19,,,,,,3.5
U. of Iowa,2002,85,21,14,,,,,,3.7
U. of Kansas,2002,68,28,14,,,,,,3.4
U. of Kentucky,2002,82,28,23,,,,,,3
U. of Maryland- College Park,2002,55,47,17,,,,,,3.8
U. of Minnesota-Twin Cities,2002,76,29,11,,,,,,3.9
U. of issouri-Columbia,2002,89,31,11,,,,,,3.4
U. of Nebraska-Lincoln,2002,79,24,26,,,,,,3.3
U. of Oklahoma,2002,93,32,19,,,,,,3
U. of Oregon,2002,90,21,12,,,,,,3.4
U. of Pittsburgh,2002,60,35,16,,,,,,3.4
U. of South Carolina-Columbia,2002,70,25,27,,,,,,3
U. of Tennessee- Knoxville,2002,69,23,20,,,,,,3.2
U. of Tulsa,2002,67,58,21,,,,,,2.4
U. of Utah,2002,91,34,13,,,,,,3.2
Virginia Tech,2002,70,39,17,,,,,,3.5
Washington State U.,2002,81,20,23,,,,,,3.1
Ball State U.,2002,76,16,15,,,,,,2.6
Bowling Green State U.,2002,92,12,14,,,,,,2.6
Kansas State U.,2002,62,24,23,,,,,,2.9
Louisiana U.- Baton Rouge,2002,79,26,25,,,,,,2.8
Mississippi State U.,2002,72,30,13,,,,,,2.4
Oklahoma State U.,2002,91,28,13,,,,,,2.7
Oregon State U.,2002,88,19,15,,,,,,3
Temple U.,2002,65,16,9,,,,,,2.9
Texas Tech U.,2002,74,22,26,,,,,,2.7
U. of Alabama-Birmingham,2002,91,17,7,,,,,,2.8
U. of Arkansas,2002,89,35,21,,,,,,2.8
U. of Cincinnati,2002,82,15,8,,,,,,2.7
U. of Hawaii- Manoa,2002,71,25,14,,,,,,2.7
U. of Idaho,2002,84,22,19,,,,,,2.6
U. of Louisville,2002,68,19,14,,,,,,2.6
U. of Mississippi,2002,70,36,15,,,,,,2.7
U. of Nevada-Reno,2002,95,16,12,,,,,,2.5
U. of New Mexico,2002,76,18,11,,,,,,2.9
U. of Southern Mississippi,2002,53,36,18,,,,,,2.2
U. of South Florida,2002,67,21,6,,,,,,2.6
U. of Wyoming,2002,97,20,12,,,,,,2.6
Utah State U.,2002,97,19,12,,,,,,2.7
Western Michigan U.,2002,84,15,10,,,,,,2.6
West Virginia U.,2002,94,18,12,,,,,,2.7
Central Michigan U.,2002,67,19,12,,,,,,2.2
Florida Atlantic U.,2002,71,,6,,,,,,2.3
Florida International U.,2002,47,44,4,,,,,,2.3
Kent State U.,2002,90,11,8,,,,,,2.6
Louisiana Tech U.,2002,93,18,17,,,,,,2.3
Middle Tennesseee State ZU.,2002,78,14,9,,,,,,2.1
New Mexico State U.,2002,62,20,6,,,,,,2.6
Northern Illinois U.,2002,64,10,9,,,,,,2.3
San Diego State U.,2002,63,,4,,,,,,2.8
U. of Akron,2002,85,21,10,,,,,,2.3
U. of Central Florida,2002,65,33,8,,,,,,2.4
U. of North Texas ,2002,72,19,8,,,,,,2.4
U. of Texas- El Paso,2002,94,15,6,,,,,,2.4
U. of Toledo,2002,97,12,26,,,,,,2.2
Princeton University,2002,,93,,,100,,,,4.9
Harvard University,2002,11,90,47,,98,,,,4.9
Yale University,2002,14,95,45,,98,,,,4.9
California Institute of Technology,2002,15,98,38,,93,,,,4.7
Duke University,2002,26,86,46,,93,,,,4.6
Massachusetts Inst. Of Technology,2002,17,98,39,,93,,,,4.9
Stanford University,2002,13,89,39,,93,,,,4.9
University of Pennsylvania,2002,22,92,41,,93,,,,4.5
Dartmouth College,2002,23,86,49,,87,,,,4.4
Columbia University,2002,12,87,32,,86,,,,4.6
Northwestern University,2002,34,82,30,,86,,,,4.4
University of Chicago,2002,44,80,29,,85,,,,4.7
Washington University in St. Louis,2002,23,89,41,,85,,,,4.1
Cornell University,2002,27,82,37,,84,,,,4.6
Johns Hopkins University,2002,34,73,28,,83,,,,4.6
Rice University,2002,23,85,36,,83,,,,4.2
Brown University,2002,16,87,38,,82,,,,4.4
Emory University,2002,43,90,32,,79,,,,4
University of Notre Dame,2002,36,84,48,,79,,,,3.9
University of California -Berkeley,2002,25,99,17,,78,,,,4.8
Carnegie Mellon University,2002,,72,34,,77,,,,4.2
Vanderbilt University,2002,46,74,29,,77,,,,4.1
University of Virginia,2002,38,82,29,,76,,,,4.3
Georgetown University,2002,21,79,30,,75,,,,4
Univ. of California -Los Angeles,2002,27,97,12,,72,,,,4.3
University of Michigan-Ann Arbor,2002,52,69,14,,72,,,,4.5
Wake Forest University,2002,46,62,34,,72,,,,3.4
Tufts University,2002,23,66,29,,70,,,,3.6
U. of North Carolina-Chapel Hill,2002,40,64,25,,70,,,,4.2
College of William and Mary,2002,37,83,28,,67,,,,3.8
Brandeis University,2002,41,65,31,,66,,,,3.6
Univ. of California-San Diego,2002,43,99,9,,66,,,,3.9
Univ. of Southern California,2002,,82,21,,66,,,,3.8
Univ. of Wisconsin-Madison,2002,67,50,14,,66,,,,4.3
New York University,2002,29,72,17,,65,,,,3.7
University of Rochester,2002,53,60,21,,64,,,,3.4
Case Western Reserve Univ. ,2002,74,69,30,,63,,,,3.5
Georgia Institute of Technology,2002,54,60,34,,62,,,,4
U. of Illinois-Urbana Champaign,2002,62,55,13,,62,,,,4.1
Boston College,2002,,69,41,,61,,,,3.5
Lehigh University,2002,47,52,38,,61,,,,3.2
Yeshiva University,2002,78,,20,,61,,,,3
Tulane University,2002,61,65,22,,60,,,,3.5
University of California-Davis,2002,63,95,12,,60,,,,3.8
Pennsylvania State U.-University Park,2002,57,42,21,,59,,,,3.9
University of California-Irvine,2002,59,95,9,,59,,,,3.7
Pepperdine University,2002,28,71,19,,57,,,,3.1
Rensselaer Polytechnic Inst.,2002,68,61,23,,57,,,,3.6
Univ. of California-Santa Barbara,2002,50,95,16,,57,,,,3.5
University of Texas-Austin,2002,64,50,13,,57,,,,4.1
University of Washington,2002,79,43,14,,57,,,,4
Harvard University,2003,11,90,49,,100,,,,4.9
Princeton University,2003,,95,,,100,,,,4.9
Yale University,2003,13,95,44,,98,,,,4.8
Massachusetts Inst. Of Technology,2003,16,99,38,,95,,,,4.9
California Institute of Techonology,2003,21,99,37,,94,,,,4.7
Duke University,2003,25,89,46,,94,,,,4.5
Stanford University,2003,13,88,38,,94,,,,4.9
University of Pennsylvania,2003,21,91,40,,94,,,,4.5
Dartmouth College,2003,21,87,47,,88,,,,4.4
Washington University in St. Louis,2003,24,90,39,,88,,,,4.2
Columbia University,2003,,84,,,87,,,,4.6
Northwestern University,2003,33,82,29,,87,,,,4.4
University of Chicago,2003,42,79,28,,86,,,,4.7
Cornell University,2003,29,83,34,,85,,,,4.6
Johns Hopkins University,2003,,72,29,,85,,,,4.6
Rice University,2003,24,83,35,,84,,,,4.2
Brown University,2003,17,87,36,,83,,,,4.4
Emory University,2003,42,92,28,,82,,,,4.1
University of Notre Dame,2003,34,82,48,,80,,,,3.9
Vanderbilt University,2003,46,74,26,,80,,,,4.1
University of California-Berkeley,2003,24,99,15,,77,,,,4.7
University of Virginia,2003,54,84,27,,77,,,,4.4
Carnegie Mellon University,2003,21,72,26,,76,,,,4.2
Georgetown University,2003,21,80,30,,76,,,,4
University of Michigan- Ann Arbor,2003,49,87,15,,75,,,,4.6
Univ. of California- Los Angeles,2003,24,97,13,,74,,,,4.3
Tufts University,2003,27,72,31,,73,,,,3.7
Wake Forest University,2003,41,62,33,,72,,,,3.4
U. of North Carolina- Chapel Hill,2003,35,71,25,,70,,,,4.2
Univ. of Southern California,2003,30,82,34,,69,,,,3.8
College of William and Mary,2003,35,90,26,,68,,,,3.8
Brandeis University,2003,42,62,32,,67,,,,3.6
Univ. of California-San Diego,2003,41,99,8,,67,,,,3.9
Univ. of Wisconsin-Madison,2003,60,55,14,,67,,,,4.3
New York University,2003,33,62,12,,66,,,,3.8
University of Rochester,2003,56,76,21,,66,,,,3.4
Case Western Univ.,2003,78,66,27,,64,,,,3.5
Georgia Institute of Technology,2003,59,58,32,,64,,,,4.1
Lehigh University,2003,44,55,40,,64,,,,3.2
Boston College,2003,32,72,25,,63,,,,3.5
U. of Illinois-Urbana Champaign,2003,60,56,12,,63,,,,4.1
Yeshiva University,2003,77,,19,,63,,,,3
University of California-Davis,2003,63,95,9,,61,,,,3.8
Tulane University,2003,56,58,23,,60,,,,3.5
University of California-Irvine,2003,56,96,9,,59,,,,3.6
Univ. of California - Santa Barbara,2003,51,95,16,,59,,,,3.5
University of Washington,2003,68,44,14,,59,,,,4
Pennsylvania State U.-University Park,2003,57,41,21,,58,,,,3.9
Rensselaer Polytechnic Inst.,2003,70,65,22,,58,,,,3.6
University of Florida,2003,58,75,18,,58,,,,3.6
U. of Maryland-College Park,2003,43,58,17,,56,,,,3.7
U. of Texas- Austin,2003,61,53,12,,56,,,,4.1
Syracuse U.,2003,69,41,21,,55,,,,3.3
U. of Iowa,2003,84,21,15,,54,,,,3.7
Purdue U.- W Lafayette,2003,76,28,17,,53,,,,3.8
U. of Georgia,2003,65,46,19,,53,,,,3.4
Ohio State U.- Columbus,2003,74,32,17,,52,,,,3.7
Rutgers- New Brunswick,2003,55,36,17,,52,,,,3.3
U. of Miami,2003,44,55,13,,52,,,,3.2
U. of Minnesota- Twin Cities,2003,74,30,11,,52,,,,3.8
Miami U.- Oxford,2003,77,36,18,,51,,,,3.3
U. of Connecticut,2003,62,26,24,,51,,,,3.2
Brigham Young U.,2003,72,54,21,,50,,,,3.1
Indiana U.- Blomington,2003,81,21,17,,50,,,,3.8
Texas A&M College Station,2003,68,55,18,,50,,,,3.5
U. of Pittsburgh,2003,56,39,16,,50,,,,3.4
Michigan State U.,2003,67,26,16,,49,,,,3.5
Southern Methodist U.,2003,66,35,16,,49,,,,3.1
Univ. of Missouri-Columbia,2003,88,29,10,,49,,,,3.4
Virginia Tech,2003,68,40,16,,49,,,,3.4
Baylor U.,2003,81,40,25,,48,,,,3.3
Clemson U.,2003,52,45,26,,48,,,,3
U. of Colorado Boulder,2003,80,23,12,,48,,,,3.6
N.C. State U.- Raleigh,2003,59,37,15,,47,,,,3.2
Iowa State U.,2003,89,25,16,,46,,,,3.3
U. of Tulsa,2003,73,57,21,,45,,,,2.5
Auburn U.,2003,83,29,23,,44,,,,3
U. of Kansas,2003,67,28,14,,44,,,,3.3
U. of Tennessee,2003,58,27,17,,44,,,,3.2
Texas Christian U.,2003,71,28,28,,43,,,,2.7
U. of Alabama,2003,85,27,23,,43,,,,3
U. of Arizona,2003,86,32,10,,43,,,,3.6
Washington State U.,2003,77,31,20,,43,,,,3.1
Ohio U.,2003,75,18,11,,42,,,,3.1
U. of Kentucky,2003,82,26,21,,42,,,,3
U. of Nebraska- Lincoln,2003,78,26,25,,42,,,,3.2
Colorado State U.,2003,77,22,10,,41,,,,3
Florida State U.,2003,70,58,13,,41,,,,3
U. of Oklahoma,2003,89,32,20,,40,,,,3
U. of Utah,2003,90,26,13,,40,,,,3.1
U. of Oregon,2003,88,20,13,,39,,,,3.3
Arizona State U.,2003,85,26,12,,,,,,3.3
Ball State U.,2003,76,14,15,,,,,,2.6
Bowling Green State U.,2003,91,10,14,,,,,,2.6
Kansas State U.,2003,58,24,22,,,,,,2.9
Louisiana State U.- Baton Rouge,2003,77,26,20,,,,,,2.8
Mississippi State U.,2003,74,28,17,,,,,,2.4
New Mexico State U.,2003,81,19,6,,,,,,2.5
Oklahom State U.,2003,92,27,12,,,,,,2.7
Oregon State U.,2003,75,17,16,,,,,,3
Temple U.,2003,78,17,8,,,,,,2.9
