School,Year,Total Support,Alumni,Others,Foundations,Corporations and Businesses,Total No. of Alumni of Record,No. of Alumni Solicited,No. of Alumni Donors
"Ohio University (Athens, OH) ",1996,11465,5739,1150,1619,2229,121000,120000,18056
"Ohio University (Athens, OH) ",1997,12256,4833,2159,1669,2498,122001,122001,17161
"Ohio University (Athens, OH) ",1998,13505,8368,1632,0,2879,125911,125911,17799
"Oklahoma State University (Stillwater, OK) ",1990,,,,,,,,
"Oklahoma State University (Stillwater, OK) ",1991,14258959,2957253,2171804,2810581,5037013,93763,70000,15729
"Oklahoma State University (Stillwater, OK) ",1992,14808853,3477187,1945182,2270017,5433768,98622,67825,14738
"Oklahoma State University (Stillwater, OK) ",1993,13521071,3487647,1844818,1682032,4716754,99219,60000,14551
"Oklahoma State University (Stillwater, OK) ",1995,16866,3078,1190,1302,5019,101502,101502,13992
"Oklahoma State University (Stillwater, OK) ",1996,19906,5397,3446,2834,6600,101644,101644,14261
"Oklahoma State University (Stillwater, OK) ",1997,31017,6085,9346,6320,7033,116831,116831,23147
"Oklahoma State University (Stillwater, OK) ",1998,30755,8474,4608,9156,6742,133697,102985,13464
"Oregon State University (Corvallis, OR) ",1990,16197313,4540548,1997241,2073479,5393177,97617,87322,23416
"Oregon State University (Corvallis, OR) ",1991,24277423,10819359,5140104,1721432,3869636,110455,88967,19263
"Oregon State University (Corvallis, OR) ",1992,25989317,8369986,6300365,2706260,3601524,102576,89838,18034
"Oregon State University (Corvallis, OR) ",1993,17861104,4977164,4585473,2735690,4518594,121883,92424,18586
"Oregon State University (Corvallis, OR) ",1995,35534,14650,11690,3233,5115,122093,95355,14447
"Oregon State University (Corvallis, OR) ",1996,27161,9255,7592,4332,3959,101408,96173,16889
"Oregon State University (Corvallis, OR) ",1997,32503,10731,10579,5046,4553,101301,82537,14665
"Oregon State University (Corvallis, OR) ",1998,44579,16159,11647,5840,4550,133697,102985,13464
"Pennsylvania State University (University Park, PA) ",1990,62432736,12276516,7551011,5246563,31339015,297054,210000,47021
"Pennsylvania State University (University Park, PA) ",1991,61367771,15916831,7804521,9437258,21078627,306509,204000,54256
"Pennsylvania State University (University Park, PA) ",1992,63041849,17317435,12171404,6620919,20360344,303405,210800,60082
"Pennsylvania State University (University Park, PA) ",1993,70859887,22628261,9536458,8827256,21735493,303405,215300,62071
"Pennsylvania State University (University Park, PA) ",1995,82815,26524,11786,7914,27305,320678,227100,65044
"Pennsylvania State University (University Park, PA) ",1996,83184,26828,14161,9813,25312,326647,230706,64865
"Pennsylvania State University (University Park, PA) ",1997,94915,29743,14881,10483,30850,332952,226685,66072
"Pennsylvania State University (University Park, PA) ",1998,123418,41804,16870,15176,36132,355416,225806,70101
"Purdue University (West Lafayette, IN) ",1990,27545372,9726226,5769279,420175,11291802,242084,209332,35934
"Purdue University (West Lafayette, IN) ",1991,32568113,15591905,4014363,632958,11953849,248769,213826,36125
"Purdue University (West Lafayette, IN) ",1992,72137104,13401182,40551348,731815,14722310,252822,222005,37992
"Purdue University (West Lafayette, IN) ",1993,47183577,19181234,4973309,1684238,20737979,271883,228102,42103
"Purdue University (West Lafayette, IN) ",1995,76192,42712,6245,1274,24519,285707,235025,42359
"Purdue University (West Lafayette, IN) ",1996,61000,26098,6131,2552,25167,291170,239009,44788
"Purdue University (West Lafayette, IN) ",1997,64979,24524,9595,1855,28124,291170,211972,44726
"Purdue University (West Lafayette, IN) ",1998,80321,32182,7598,9945,28631,305779,219349,55067
"Rutgers, The State University (New Brunswick, NJ) ",1990,27228834,4332725,4358785,6826601,11353584,213364,174992,33454
"Rutgers, The State University (New Brunswick, NJ) ",1991,27600498,4934562,3523239,7146591,11523590,183817,183817,30201
"Rutgers, The State University (New Brunswick, NJ) ",1992,29477065,5547363,3840638,5525890,12756136,228486,186795,31708
"Rutgers, The State University (New Brunswick, NJ) ",1993,33490279,6108094,5521184,6351738,12817664,247987,207283,31870
"Rutgers, The State University (New Brunswick, NJ) ",1995,36832,5904,8914,6589,13095,263042,223696,33501
"Rutgers, The State University (New Brunswick, NJ) ",1996,43223,7627,7432,7834,17362,230215,230215,32737
"Rutgers, The State University (New Brunswick, NJ) ",1997,53119,15778,8747,7177,17595,229285,229285,30217
"Rutgers, The State University (New Brunswick, NJ) ",1998,53853,9796,13560,9567,17481,231437,231437,30829
"San Jose State University (San Jose, CA) ",1990,5277748,297232,956434,177291,3275332,77660,4480,2677
"San Jose State University (San Jose, CA) ",1991,3947498,469225,498160,229571,1633615,88000,9500,4279
"San Jose State University (San Jose, CA) ",1992,4665679,926525,1106115,68934,2194967,133229,44000,12971
"San Jose State University (San Jose, CA) ",1993,8183741,2425929,954780,742976,3524201,95000,,5632
"San Jose State University (San Jose, CA) ",1995,7061,1596,665,1689,3063,98000,82000,10582
"San Jose State University (San Jose, CA) ",1996,7591,4644,844,542,1483,99949,86000,5763
"San Jose State University (San Jose, CA) ",1997,11899,4429,1402,1463,4507,106391,71433,7390
"San Jose State University (San Jose, CA) ",1998,17942,7678,2310,2963,4822,134710,75000,7540
"Southern Methodist University (Dallas, TX) ",1990,21950308,5087164,5189721,5975696,5623656,60917,60917,12009
"Southern Methodist University (Dallas, TX) ",1991,25413421,10811787,6045139,3221365,2946822,64698,64698,11875
"Southern Methodist University (Dallas, TX) ",1992,21032231,5331269,6287487,4926302,2464258,66351,66351,13324
"Southern Methodist University (Dallas, TX) ",1993,17575592,4055595,4406991,4577115,2592018,67319,67319,14295
"Southern Methodist University (Dallas, TX) ",1995,31354,11211,845,14904,2521,64451,62744,10869
"Southern Methodist University (Dallas, TX) ",1996,20607,5983,4305,5756,2713,67150,55741,12271
"Southern Methodist University (Dallas, TX) ",1997,32142,8000,8059,4739,9317,69586,59667,14987
"Southern Methodist University (Dallas, TX) ",1998,57075,15439,20452,13090,5757,68909,60015,16135
"Stanford University (Stanford, CA) ",1990,202165961,67741358,46730901,29135567,48579351,157016,146079,30537
"Stanford University (Stanford, CA) ",1991,180922249,64938874,32408451,28620461,42341527,159714,148464,28464
"Stanford University (Stanford, CA) ",1992,185295259,61349698,45282185,28361413,37531833,164326,152671,30481
"Stanford University (Stanford, CA) ",1993,182391695,56700816,47477896,29449361,33794943,131140,129160,28976
"Stanford University (Stanford, CA) ",1995,240832,75767,73361,26171,42642,136226,134535,34160
"Stanford University (Stanford, CA) ",1996,312887,170719,56837,34044,29144,138609,136949,36892
"Stanford University (Stanford, CA) ",1997,312285,139093,68499,43196,35632,140894,139249,38474
"Stanford University (Stanford, CA) ",1998,312591,117644,85720,39296,39001,140210,138659,39847
"SUNY-Buffalo (Buffalo, NY) ",1990,11393156,2583741,1454420,1935659,2380159,89849,87021,12912
"SUNY-Buffalo (Buffalo, NY) ",1991,12439277,2040743,3014286,1511261,2387324,120000,84230,15838
"SUNY-Buffalo (Buffalo, NY) ",1992,10616957,1956483,1379050,1110928,2491718,139000,73648,16193
"SUNY-Buffalo (Buffalo, NY) ",1993,12359547,3042347,2039369,1552327,2184629,121049,,19284
"SUNY-Buffalo (Buffalo, NY) ",1995,15116,3458,1067,3754,2641,125361,92360,25084
"SUNY-Buffalo (Buffalo, NY) ",1996,14486,2715,2657,2174,3563,105233,85190,18166
"SUNY-Buffalo (Buffalo, NY) ",1997,17263,4675,2381,2678,4222,135322,119107,16214
"SUNY-Buffalo (Buffalo, NY) ",1998,18140,8532,3540,1614,2633,133290,124500,15169
"Syracuse University (Syracuse, NY) ",1990,25752744,9590407,2634759,2005524,9126659,133163,131710,25314
"Syracuse University (Syracuse, NY) ",1991,29721498,11538891,3724010,3813276,7945419,137356,135362,24573
"Syracuse University (Syracuse, NY) ",1992,26203324,9617211,3093773,1788164,9946871,144390,141589,22682
"Syracuse University (Syracuse, NY) ",1993,23718581,8165011,2571024,2323981,7782995,145170,143670,21217
"Syracuse University (Syracuse, NY) ",1995,32150,12130,2981,2905,10479,159127,154820,23418
"Syracuse University (Syracuse, NY) ",1996,43472,23771,2121,4877,11296,161356,159206,21931
"Syracuse University (Syracuse, NY) ",1997,29444,11072,3845,4482,8989,161101,158866,19627
"Syracuse University (Syracuse, NY) ",1998,39008,16902,4461,6011,9247,163274,160423,20723
"Temple University (Philadelphia, PA) ",1990,17151563,2228646,3830681,5778320,2452056,135398,135398,20694
"Temple University (Philadelphia, PA) ",1991,15316582,2780002,2716799,4728108,2746006,139465,139465,23752
"Temple University (Philadelphia, PA) ",1992,16053403,3199542,3279181,4640455,2534907,185000,150000,21000
"Temple University (Philadelphia, PA) ",1993,17834846,3901735,3714565,5575390,2868490,145984,145984,21349
"Temple University (Philadelphia, PA) ",1995,19694,3882,5371,4674,2559,151759,151759,20920
"Temple University (Philadelphia, PA) ",1996,20706,8896,3396,4603,2044,154785,154785,21828
"Temple University (Philadelphia, PA) ",1997,24573,4482,10385,5234,3112,160144,160144,24335
"Temple University (Philadelphia, PA) ",1998,29740,4622,5454,9008,6581,177677,177677,21998
"Texas A&M University (College Station, TX) ",1990,50817143,25181088,6716646,4920904,11135562,133705,133705,36377
"Texas A&M University (College Station, TX) ",1991,44713243,18830130,5807313,7674261,9462336,159586,159586,44890
"Texas A&M University (College Station, TX) ",1992,59893384,29162142,5266608,9046446,12802230,146016,125637,53731
"Texas A&M University (College Station, TX) ",1993,,,,,,,,
"Texas A&M University (College Station, TX) ",1995,,,,,,,,
"Texas A&M University (College Station, TX) ",1996,110134,27772,12458,29564,29999,172283,145000,45741
"Texas A&M University (College Station, TX) ",1997,106628,42301,12152,18427,24832,173629,150000,39896
"Texas A&M University (College Station, TX) ",1998,150741,41980,7465,22874,66888,202060,185000,46732
"Texas Christian University (Fort Worth, TX) ",1990,11738149,3206944,2054790,4023414,1183843,39113,39029,8792
"Texas Christian University (Fort Worth, TX) ",1991,14319101,5269154,2541521,3068962,1368919,41184,40824,8502
"Texas Christian University (Fort Worth, TX) ",1992,11406564,3531991,1148902,4268973,1448722,42319,41949,9600
"Texas Christian University (Fort Worth, TX) ",1993,20808401,3665910,11372905,2857592,1692220,44113,43600,10072
"Texas Christian University (Fort Worth, TX) ",1995,17851,4959,4008,5737,1700,38995,38398,10031
"Texas Christian University (Fort Worth, TX) ",1996,19976,6584,4721,4956,1901,39304,38684,10467
"Texas Christian University (Fort Worth, TX) ",1997,21220,4079,7763,5616,2512,43875,41966,10102
"Texas Christian University (Fort Worth, TX) ",1998,21778,8624,5554,3661,2372,47975,45365,11521
"Texas Tech University (Lubbock, TX) ",1990,12058892,1031538,3523958,2947389,4548863,88721,87868,14201
"Texas Tech University (Lubbock, TX) ",1991,12813210,1574652,5543242,2900002,2610917,91675,82508,18457
"Texas Tech University (Lubbock, TX) ",1992,13332305,1444637,3744135,3202824,2775470,99218,86787,20125
"Texas Tech University (Lubbock, TX) ",1993,,,,,,,,
"Texas Tech University (Lubbock, TX) ",1995,,,,,,,,
"Texas Tech University (Lubbock, TX) ",1996,27881,3344,4757,4489,4313,136868,93162,24950
"Texas Tech University (Lubbock, TX) ",1997,25459,4452,5633,3427,11336,141143,112914,37211
"Texas Tech University (Lubbock, TX) ",1998,30539,9632,9239,3301,7141,145133,141112,40814
"Troy State University System (Troy, AL) ",1990,,,,,,,,
"Troy State University System (Troy, AL) ",1991,685684,245392,437257,0,0,49992,49992,1439
"Troy State University System (Troy, AL) ",1992,1721585,961996,471484,13500,270900,48928,48928,2851
"Troy State University System (Troy, AL) ",1993,,,,,,,,
"Troy State University System (Troy, AL) ",1995,,,,,,,,
"Troy State University System (Troy, AL) ",1996,1163,207,578,170,171,63000,63000,2022
"Troy State University System (Troy, AL) ",1997,1863,213,1304,167,148,57471,49300,1700
"Troy State University System (Troy, AL) ",1998,3577,1097,1220,125,738,58900,34156,2725
"Tulane University (New Orleans, LA) ",1990,22845017,8236059,1872347,3946227,6925645,64402,63239,14610
"Tulane University (New Orleans, LA) ",1991,27567538,9659709,1885511,6101073,7056114,58853,57240,14975
"Tulane University (New Orleans, LA) ",1992,27274077,12735644,1549514,5234907,5788287,70780,68825,14914
"Tulane University (New Orleans, LA) ",1993,35505859,14723193,4041108,6125980,6370868,76158,73779,15204
"Tulane University (New Orleans, LA) ",1995,,,,,,,,
"Tulane University (New Orleans, LA) ",1996,31545,11431,2634,4778,7934,78301,71311,12418
"Tulane University (New Orleans, LA) ",1997,,,,,,,,
"Tulane University (New Orleans, LA) ",1998,,,,,,,,
"Univ of California, Berkeley (Berkeley, CA) ",1990,97397641,21609595,11666573,26480805,32299587,328229,,
"Univ of California, Berkeley (Berkeley, CA) ",1991,117656562,24094879,17479304,20433159,49292954,334160,241185,29178
"Univ of California, Berkeley (Berkeley, CA) ",1992,104972900,28273248,15387742,21710822,32081127,317649,,32159
"Univ of California, Berkeley (Berkeley, CA) ",1993,128570646,34957146,26489570,30247725,28533132,339353,,28353
"Univ of California, Berkeley (Berkeley, CA) ",1995,103089,29774,14580,20536,29903,353245,,31150
"Univ of California, Berkeley (Berkeley, CA) ",1996,141835,40049,29175,40089,27850,371174,,34119
"Univ of California, Berkeley (Berkeley, CA) ",1997,181085,57586,30462,61234,23597,292728,,32036
"Univ of California, Berkeley (Berkeley, CA) ",1998,187574,68053,17262,48566,41868,298242,,32624
"Univ of California, Los Angeles (Los Angeles, CA) ",1990,96454560,8394596,15016273,44761695,16316967,187000,,21282
"Univ of California, Los Angeles (Los Angeles, CA) ",1991,63973287,5693087,13013256,20988586,14677620,193716,,29515
"Univ of California, Los Angeles (Los Angeles, CA) ",1992,90372535,7437553,28936971,29250702,13971824,195161,75000,16266
"Univ of California, Los Angeles (Los Angeles, CA) ",1993,74040984,6023969,21892585,20966566,16714679,198790,75000,17420
"Univ of California, Los Angeles (Los Angeles, CA) ",1995,98164,14387,23898,36381,20284,218786,207098,31279
"Univ of California, Los Angeles (Los Angeles, CA) ",1996,139821,22228,42204,45260,25797,212710,178235,32967
"Univ of California, Los Angeles (Los Angeles, CA) ",1997,197807,27033,68308,69152,29979,219944,157812,32816
"Univ of California, Los Angeles (Los Angeles, CA) ",1998,197186,24782,55795,78615,33011,232696,227800,30014
"Univ of Illinois - Urbana-Champaign (Urbana, IL) ",1990,56589880,6062954,1807175,3983433,23398690,,,
"Univ of Illinois - Urbana-Champaign (Urbana, IL) ",1991,62900235,8225453,2606937,7512204,21886496,242916,0,36472
"Univ of Illinois - Urbana-Champaign (Urbana, IL) ",1992,91146729,11548974,5142646,21293981,23582294,349990,,41993
"Univ of Illinois - Urbana-Champaign (Urbana, IL) ",1993,100699615,19399177,7699371,22164149,26141079,363533,,50049
"Univ of Illinois - Urbana-Champaign (Urbana, IL) ",1995,,,,,,,,
"Univ of Illinois - Urbana-Champaign (Urbana, IL) ",1996,,,,,,,,
"Univ of Illinois - Urbana-Champaign (Urbana, IL) ",1997,127516,35554,20567,18337,47692,424025,405141,47418
"Univ of Illinois - Urbana-Champaign (Urbana, IL) ",1998,130195,34432,18652,24461,49074,421680,248962,44499
"Univ of North Carolina at Chapel Hill (Chapel Hill, NC) ",1990,54227835,19334597,6112192,7924040,8774057,161201,150000,34956
"Univ of North Carolina at Chapel Hill (Chapel Hill, NC) ",1991,53049597,16705301,8586138,11035161,6755391,165383,151500,35390
"Univ of North Carolina at Chapel Hill (Chapel Hill, NC) ",1992,59158150,17452580,8304826,13191375,7673972,171438,151000,33690
"Univ of North Carolina at Chapel Hill (Chapel Hill, NC) ",1993,63887967,18370735,8462068,11852081,10748786,174584,153000,35968
"Univ of North Carolina at Chapel Hill (Chapel Hill, NC) ",1995,87398,25423,15391,24724,13551,179448,157000,40336
"Univ of North Carolina at Chapel Hill (Chapel Hill, NC) ",1996,94632,31215,13846,20546,20897,186696,159000,43799
"Univ of North Carolina at Chapel Hill (Chapel Hill, NC) ",1997,107969,42706,15349,22708,18147,192108,160000,43117
"Univ of North Carolina at Chapel Hill (Chapel Hill, NC) ",1998,132290,57463,14023,27761,21426,194773,164200,45496
"Univ. of South Carolina, Columbia (Columbia, SC) ",1990,21487496,2133335,4833881,4690579,8424221,106829,105925,26108
"Univ. of South Carolina, Columbia (Columbia, SC) ",1991,22701334,2254220,2366588,2472036,13814287,123571,123571,26157
"Univ. of South Carolina, Columbia (Columbia, SC) ",1992,24154965,3428283,2300855,2752898,13367056,129429,129429,22946
"Univ. of South Carolina, Columbia (Columbia, SC) ",1993,24006504,4107367,3286109,3255905,9941979,134775,134775,27713
"Univ. of South Carolina, Columbia (Columbia, SC) ",1995,28003,4567,6291,2205,12505,145625,144244,29261
"Univ. of South Carolina, Columbia (Columbia, SC) ",1996,27532,4979,7561,2288,9786,155501,155501,35683
"Univ. of South Carolina, Columbia (Columbia, SC) ",1997,40716,6478,6351,2978,14217,172628,172628,36568
"Univ. of South Carolina, Columbia (Columbia, SC) ",1998,65413,35680,11522,3109,13654,177941,156508,35523
"Univ. of Texas at Austin (Austin, TX) ",1990,56703859,6257294,13761967,24310208,11321560,225000,225000,25210
"Univ. of Texas at Austin (Austin, TX) ",1991,68055605,16789868,11839610,22073147,15598583,228734,228734,25221
"Univ. of Texas at Austin (Austin, TX) ",1992,85107370,13265981,37196453,16486948,13056002,232035,232035,25663
"Univ. of Texas at Austin (Austin, TX) ",1993,67315519,14601553,10967393,20914862,16891673,236032,236032,26579
"Univ. of Texas at Austin (Austin, TX) ",1995,61499,10882,9679,16896,18003,284198,284198,27428
"Univ. of Texas at Austin (Austin, TX) ",1996,81139,13021,16016,22956,23474,287011,287011,27826
"Univ. of Texas at Austin (Austin, TX) ",1997,106803,19263,23044,34839,26703,295328,166241,28273
"Univ. of Texas at Austin (Austin, TX) ",1998,119625,20967,17328,27143,45908,301782,182000,27273
"Univ. of Texas at El Paso (El Paso, TX) ",1990,3518091,553749,430088,671002,1611947,30100,15184,3560
"Univ. of Texas at El Paso (El Paso, TX) ",1991,6064741,407668,307615,2801191,1068916,46187,15000,3785
"Univ. of Texas at El Paso (El Paso, TX) ",1992,5006422,391238,472758,844523,1044621,47704,11251,4077
"Univ. of Texas at El Paso (El Paso, TX) ",1993,5009733,1218624,891642,1667539,801161,50499,14835,4688
"Univ. of Texas at El Paso (El Paso, TX) ",1995,9244,1111,2372,3073,2361,52298,15000,4251
"Univ. of Texas at El Paso (El Paso, TX) ",1996,9424,2174,2451,2337,2100,53190,18000,4400
"Univ. of Texas at El Paso (El Paso, TX) ",1997,10224,970,2942,4243,1752,53190,16169,3722
"Univ. of Texas at El Paso (El Paso, TX) ",1998,9932,622,3777,2690,2674,56029,35978,3649
"University of Akron (Akron, OH) ",1990,7723177,1802521,812307,1486670,2621438,68628,68000,9749
"University of Akron (Akron, OH) ",1991,8512164,1505447,1975858,422482,4084436,70000,70000,10436
"University of Akron (Akron, OH) ",1992,8131367,1789551,820536,922911,4017577,71000,56000,12250
"University of Akron (Akron, OH) ",1993,,,,,,,,
"University of Akron (Akron, OH) ",1995,12599,5549,1389,1400,4010,55000,55000,11591
"University of Akron (Akron, OH) ",1996,,,,,,,,
"University of Akron (Akron, OH) ",1997,,,,,,,,
"University of Akron (Akron, OH) ",1998,,,,,,,,
"University of Alabama (Tuscaloosa, AL) ",1990,14340299,7388712,1709698,551251,3706482,112871,110000,44510
"University of Alabama (Tuscaloosa, AL) ",1991,20157943,12784396,2118148,710982,3269627,129470,120000,45740
"University of Alabama (Tuscaloosa, AL) ",1992,21302922,9859658,3131687,381385,3560909,132000,117000,40852
"University of Alabama (Tuscaloosa, AL) ",1993,24666187,9368776,5637363,1341679,6430542,133173,118173,37153
"University of Alabama (Tuscaloosa, AL) ",1995,25709,12253,4735,1289,4992,140350,134500,37395
"University of Alabama (Tuscaloosa, AL) ",1996,30916,21135,3353,1205,3500,149409,149409,36008
"University of Alabama (Tuscaloosa, AL) ",1997,33115,20031,3766,1001,8027,150212,150212,36364
"University of Alabama (Tuscaloosa, AL) ",1998,42979,23150,5918,3434,10147,130172,130172,35501
"University of Alabama at Birmingham (Birmingham, AL) ",1990,16454701,613390,2647927,5458261,3461273,50251,25608,6559
"University of Alabama at Birmingham (Birmingham, AL) ",1991,15083544,742113,2820300,4474348,2542481,54341,34581,7715
"University of Alabama at Birmingham (Birmingham, AL) ",1992,25375645,722554,11263237,6845486,3182723,49425,46496,8422
"University of Alabama at Birmingham (Birmingham, AL) ",1993,20754101,628588,4961070,5600360,5057936,52453,48404,7983
"University of Alabama at Birmingham (Birmingham, AL) ",1995,23889,972,4801,8502,4328,64788,53183,9509
"University of Alabama at Birmingham (Birmingham, AL) ",1996,25156,883,5796,9526,3444,60208,54425,8987
"University of Alabama at Birmingham (Birmingham, AL) ",1997,33336,1115,5879,12207,7144,62794,56298,9955
"University of Alabama at Birmingham (Birmingham, AL) ",1998,55138,1086,26003,13464,7308,64745,64745,5150
"University of Arizona (Tucson, AZ) ",1990,33395696,8219389,9077669,1860134,12901801,84178,84178,30936
"University of Arizona (Tucson, AZ) ",1991,44631239,9573637,11752448,3305451,17969650,67548,67548,13664
"University of Arizona (Tucson, AZ) ",1992,45515093,6515296,20121907,5172954,12424211,153412,,10223
"University of Arizona (Tucson, AZ) ",1993,43092998,6403273,11260414,12536267,11543482,91399,,
"University of Arizona (Tucson, AZ) ",1995,42444,3905,9155,13029,12727,164868,164868,11422
"University of Arizona (Tucson, AZ) ",1996,48351,4571,10967,14674,16134,169598,169598,13321
"University of Arizona (Tucson, AZ) ",1997,58910,7136,11909,18597,18563,173686,140830,12237
"University of Arizona (Tucson, AZ) ",1998,74804,16368,23464,16609,16439,184692,160000,13214
"University of Arkansas (Fayetteville, AR) ",1990,3687649,1116836,422144,833319,1207688,70598,70598,6647
"University of Arkansas (Fayetteville, AR) ",1991,14545665,1698213,2114691,5487134,2417445,73000,73000,7598
"University of Arkansas (Fayetteville, AR) ",1992,16498245,3556227,4536055,2125876,3800261,91289,76683,9407
"University of Arkansas (Fayetteville, AR) ",1993,21320033,2413895,9871268,1463155,4235521,92575,77919,9802
"University of Arkansas (Fayetteville, AR) ",1995,31190,5387,538,6187,12961,107383,105288,11941
"University of Arkansas (Fayetteville, AR) ",1996,21741,5082,1857,3800,7142,82717,81752,10939
"University of Arkansas (Fayetteville, AR) ",1997,20399,3758,1963,5680,4669,83685,82620,12202
"University of Arkansas (Fayetteville, AR) ",1998,28633,4648,2691,10875,6315,85446,83940,13037
"University of Central Florida (Orlando, FL) ",1990,5331286,223871,527822,165100,3904417,45000,36000,4518
"University of Central Florida (Orlando, FL) ",1991,,,,,,,,
"University of Central Florida (Orlando, FL) ",1992,4405346,281133,1277333,836399,1148365,48000,48000,5800
"University of Central Florida (Orlando, FL) ",1993,3279145,234802,610156,422884,1871359,48000,42000,4597
"University of Central Florida (Orlando, FL) ",1995,4017,239,297,1181,1502,60000,60000,4290
"University of Central Florida (Orlando, FL) ",1996,4342,277,1251,258,2002,65000,65000,4826
"University of Central Florida (Orlando, FL) ",1997,3531,412,1027,427,1581,65483,65483,5914
"University of Central Florida (Orlando, FL) ",1998,18306,639,8847,994,5132,87143,75273,4798
"University of Cincinnati (Cincinnati, OH) ",1990,27421213,4407782,8177515,6701781,7507580,132597,102680,26849
"University of Cincinnati (Cincinnati, OH) ",1991,30457348,6383801,6080894,7240413,9876759,169586,132480,23412
"University of Cincinnati (Cincinnati, OH) ",1992,30301951,7009023,3353268,8845487,10193564,173673,132720,22729
"University of Cincinnati (Cincinnati, OH) ",1993,32788396,7697944,3377310,7919732,12549963,180083,134584,22246
"University of Cincinnati (Cincinnati, OH) ",1995,43072,12977,5570,10009,13433,195990,151965,23150
"University of Cincinnati (Cincinnati, OH) ",1996,35443,12381,4323,8973,8050,174084,174084,21431
"University of Cincinnati (Cincinnati, OH) ",1997,39241,9275,4630,8329,11085,149904,149904,25176
"University of Cincinnati (Cincinnati, OH) ",1998,58801,21167,11685,5437,15492,188127,188127,20095
"University of Colorado Foundation (Boulder, CO) ",1990,37656812,5246620,6572576,6814648,15553686,,,
"University of Colorado Foundation (Boulder, CO) ",1991,43867325,11621435,5642690,11762568,13705027,,,
"University of Colorado Foundation (Boulder, CO) ",1992,40050966,7385338,8387746,10383059,12356126,127322,127322,23155
"University of Colorado Foundation (Boulder, CO) ",1993,39301028,12165347,4362675,8582910,12504574,134436,134436,24173
"University of Colorado Foundation (Boulder, CO) ",1995,49698,12047,5731,10888,19427,148324,143926,24918
"University of Colorado Foundation (Boulder, CO) ",1996,55276,13490,13319,10251,15569,160917,159011,25965
"University of Colorado Foundation (Boulder, CO) ",1997,73725,12311,7249,12024,38193,175070,175070,27160
"University of Colorado Foundation (Boulder, CO) ",1998,81835,13931,22141,14364,25788,179377,170397,32372
"University of Connecticut Foundation (Storrs, CT) ",1990,,,,,,,,
"University of Connecticut Foundation (Storrs, CT) ",1991,,,,,,,,
"University of Connecticut Foundation (Storrs, CT) ",1992,,,,,,,,
"University of Connecticut Foundation (Storrs, CT) ",1993,7098304,2502767,2156989,66113,1917309,123832,89123,19761
"University of Connecticut Foundation (Storrs, CT) ",1995,8209,2570,2282,147,2654,104840,90517,16699
"University of Connecticut Foundation (Storrs, CT) ",1996,13340,3834,3385,856,4161,111882,111882,21317
"University of Connecticut Foundation (Storrs, CT) ",1997,19750,5558,5990,406,6238,115810,115810,17552
"University of Connecticut Foundation (Storrs, CT) ",1998,20437,4549,5886,2779,6271,151345,119472,24945
"University of Florida (Gainesville, FL) ",1990,54792908,10109558,8539786,6035124,21787612,190686,142655,29389
"University of Florida (Gainesville, FL) ",1991,59614082,11521676,10385292,4920304,23828162,197896,147099,30776
"University of Florida (Gainesville, FL) ",1992,77098338,11307420,13194460,6340399,35102675,156748,146364,32245
"University of Florida (Gainesville, FL) ",1993,78089911,26569849,8652764,5263515,25330621,164996,152332,31186
"University of Florida (Gainesville, FL) ",1995,72516,14581,24415,8664,13984,185596,169551,35111
"University of Florida (Gainesville, FL) ",1996,81160,15855,20379,14093,21620,201434,184737,35314
"University of Florida (Gainesville, FL) ",1997,91148,25170,19547,14086,24404,203369,186707,28112
"University of Florida (Gainesville, FL) ",1998,122792,31560,27174,9945,43700,214283,196265,23675
"University of Georgia (Athens, GA) ",1990,28151097,15205590,3884411,3136045,4738992,143345,140935,24416
"University of Georgia (Athens, GA) ",1991,23271353,6955903,4461502,4498319,5968733,146219,143520,25678
"University of Georgia (Athens, GA) ",1992,25849160,7555536,4509809,3308290,9211145,148892,145840,31053
"University of Georgia (Athens, GA) ",1993,42140162,24426447,3107525,5443523,6858109,148892,145840,34072
"University of Georgia (Athens, GA) ",1995,29201,8277,4232,5347,6720,163585,160274,34499
"University of Georgia (Athens, GA) ",1996,31013,11003,5199,4566,8307,171736,168132,33728
"University of Georgia (Athens, GA) ",1997,65887,40810,10145,5503,7481,173679,169890,34772
"University of Georgia (Athens, GA) ",1998,41272,14569,8430,5983,9243,171109,166112,31963
"University of Hawaii Foundation (Honolulu, HI) ",1990,9734490,965513,3022010,1059941,2547990,81650,81650,6252
"University of Hawaii Foundation (Honolulu, HI) ",1991,9979954,1353654,2993023,673934,2311292,84664,84664,6730
"University of Hawaii Foundation (Honolulu, HI) ",1992,8913662,1043168,1894433,889095,2511317,115291,87763,7051
"University of Hawaii Foundation (Honolulu, HI) ",1993,,,,,,,,
"University of Hawaii Foundation (Honolulu, HI) ",1995,29032,2190,10415,3972,10571,102540,102540,8765
"University of Hawaii Foundation (Honolulu, HI) ",1996,11954,1346,3575,2792,2759,99820,99820,10947
"University of Hawaii Foundation (Honolulu, HI) ",1997,14406,1824,3328,4511,3320,104946,104946,12353
"University of Hawaii Foundation (Honolulu, HI) ",1998,18232,2823,5674,5702,3022,120621,120621,12324
"University of Houston (Houston, TX) ",1990,31893997,2183392,5535423,13656602,4648853,112774,,8014
"University of Houston (Houston, TX) ",1991,43916484,2166326,2247347,25888351,6586240,117500,,8640
