School,Year,Total Support,Alumni,Others,Foundations,Corporations and Businesses,Total No. of Alumni of Record,No. of Alumni Solicited,No. of Alumni Donors
"California State Univ., Fresno (Fresno, CA) ",1997,12269,716,4856,2479,1851,58202,58202,3569
"California State Univ., Fresno (Fresno, CA) ",1998,20760,4668,7601,872,4118,79435,68491,5155
"California State Univ., San Diego (San Diego, CA) ",1990,10803528,908578,6147977,632699,2371758,118871,69007,7324
"California State Univ., San Diego (San Diego, CA) ",1991,13887998,1225624,6688226,2897998,2594963,118348,79456,8137
"California State Univ., San Diego (San Diego, CA) ",1992,14758327,1116665,6887836,1752768,2985334,134348,92000,9112
"California State Univ., San Diego (San Diego, CA) ",1993,15564727,1023191,6481212,2519366,2141970,93726,93726,9717
"California State Univ., San Diego (San Diego, CA) ",1995,17340,1489,9368,2474,1876,105000,0,8773
"California State Univ., San Diego (San Diego, CA) ",1996,28549,998,10567,2693,12345,110361,,7135
"California State Univ., San Diego (San Diego, CA) ",1997,23174,1595,11946,3432,3976,207363,3000,8852
"California State Univ., San Diego (San Diego, CA) ",1998,29749,1361,15097,2735,8278,144460,66752,7878
"Central Michigan University (Mt. Pleasant, MI) ",1990,3298658,870860,949799,532000,899439,102043,80540,11017
"Central Michigan University (Mt. Pleasant, MI) ",1991,2931934,835721,1023578,21800,1011832,104542,91614,11628
"Central Michigan University (Mt. Pleasant, MI) ",1992,3062162,929485,1207935,100420,792697,108503,79996,12278
"Central Michigan University (Mt. Pleasant, MI) ",1993,4010707,985004,2172311,94091,727890,104060,78520,13434
"Central Michigan University (Mt. Pleasant, MI) ",1995,3356,997,1395,99,816,108417,108417,14668
"Central Michigan University (Mt. Pleasant, MI) ",1996,3093,973,1271,121,694,111878,111878,14436
"Central Michigan University (Mt. Pleasant, MI) ",1997,4400,1689,1395,347,921,114453,114453,13268
"Central Michigan University (Mt. Pleasant, MI) ",1998,4787,1475,1657,523,1084,115955,115955,11973
"Clemson University (Clemson, SC) ",1990,19956092,4470776,1108444,2502835,5315273,41059,41059,14211
"Clemson University (Clemson, SC) ",1991,21666360,3818044,1197698,2661179,7296515,51622,51622,13914
"Clemson University (Clemson, SC) ",1992,23298990,4461231,1460293,2506578,7674284,52531,49531,13568
"Clemson University (Clemson, SC) ",1993,24639389,4429588,3982157,2375965,6591950,64513,63010,10774
"Clemson University (Clemson, SC) ",1995,33840,7131,1110,2739,8386,73546,71885,10863
"Clemson University (Clemson, SC) ",1996,27598,5814,1617,1252,8762,,74857,10974
"Clemson University (Clemson, SC) ",1997,27021,6362,2115,1720,8386,74637,74208,12315
"Clemson University (Clemson, SC) ",1998,39076,7220,3929,2504,15581,75588,72672,11625
"Colorado State University (Fort Collins, CO) ",1990,,,,,,,,
"Colorado State University (Fort Collins, CO) ",1991,11827093,1748074,1642955,1196231,6685029,82069,82069,10751
"Colorado State University (Fort Collins, CO) ",1992,11283887,2058510,1411988,1118930,6179803,90730,89615,10711
"Colorado State University (Fort Collins, CO) ",1993,11715210,1638375,1471669,1214381,6612009,100975,100501,8074
"Colorado State University (Fort Collins, CO) ",1995,9447,1615,1771,816,4737,105395,101859,8952
"Colorado State University (Fort Collins, CO) ",1996,12256,2515,2344,1595,5181,103814,99843,10977
"Colorado State University (Fort Collins, CO) ",1997,16025,2027,3668,2236,6147,106943,103391,10933
"Colorado State University (Fort Collins, CO) ",1998,21157,2877,4238,6736,5231,117955,,11853
"Duke University (Durham, NC) ",1990,108011121,21536846,14657261,29469254,34048627,79200,78979,41219
"Duke University (Durham, NC) ",1991,113693144,17197098,14273408,29757769,42273676,81265,81230,38194
"Duke University (Durham, NC) ",1992,127151511,18634429,15832071,34887202,49397195,83734,83689,38812
"Duke University (Durham, NC) ",1993,144672817,21025594,23865139,36159243,53443531,87837,87826,36865
"Duke University (Durham, NC) ",1995,155164,22740,23345,38077,57754,93353,93342,37492
"Duke University (Durham, NC) ",1996,181258,33240,16985,51537,67245,95678,90840,35614
"Duke University (Durham, NC) ",1997,219984,37011,31106,58308,77919,97730,92593,36796
"Duke University (Durham, NC) ",1998,254837,52372,26104,64442,94688,107747,95636,39835
"East Carolina University (Greenville, NC) ",1990,7362308,1367802,1616226,682272,2404586,49352,37500,9236
"East Carolina University (Greenville, NC) ",1991,8595358,1040124,815870,886994,1752502,51737,37500,10777
