Public Master's / FY2007 																																					
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 			Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
												# of Record 									($) 														(#) 	(#) 	
"Adams State College (Alamosa, CO) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama Agricultural and Mechanical University (Normal, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama State University (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Albany State University (Albany, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alcorn State University (Lorman, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Angelo State University (San Angelo, TX) "	"$38,525 "	$0 	$0 	"$100,289 "	$0 	"$12,320 "	"$76,616 "	$0 	"$276,486 "	6.00%	6.30%	2.60%	94.90%	18.10%	"28,590"	"1,708"	"$574,523 "	205	"$180,233 "	0	$0 	205	"$180,233 "	"$234,055 "	"$14,481 "	"$586,523 "	$0 	"$82,207 "	"$75,062 "	"$164,268 "	"$179,983 "	"$626,848 "	"$3,175,679 "	"$3,175,679 "	--	--	--
"Appalachian State University (Boone, NC) "	"$239,139 "	$0 	$0 	"$5,151 "	"$29,105 "	"$936,064 "	"$629,217 "	"$3,370 "	"$2,274,151 "	10.60%	--	--	53.70%	25.20%	"83,325"	"8,796"	"$3,129,246 "	512	"$1,352,944 "	2	"$5,107 "	514	"$1,358,051 "	"$2,010,831 "	"$12,280 "	"$2,047,445 "	"$131,583 "	"$1,845,952 "	"$249,945 "	"$1,418,722 "	"$1,352,944 "	"$8,003,160 "	"$12,406,386 "	"$12,680,541 "	--	--	--
"Arkansas State University (State University, AR) "	"$206,570 "	$0 	$0 	"$1,480 "	"$12,978 "	"$41,850 "	"$392,077 "	"$157,057 "	"$834,804 "	7.10%	7.50%	6.80%	100.00%	20.30%	"56,738"	"4,023"	"$1,094,617 "	"1,306"	"$1,000,707 "	1	$30 	"1,307"	"$1,000,737 "	"$1,690,024 "	"$12,599 "	"$517,726 "	"$4,847 "	"$328,776 "	"$306,853 "	"$1,454,279 "	"$1,000,707 "	"$4,083,085 "	"$5,386,710 "	"$5,386,710 "	--	--	--
