Public Master's / FY2008 																																					
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 			Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
												# of Record 									($) 														(#) 	(#) 	
"Adams State College (Alamosa, CO) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama Agricultural and Mechanical University (Normal, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama State University (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Albany State University (Albany, GA) "	"$1,663 "	$0 	$0 	$0 	$0 	"$47,604 "	"$6,287 "	"$31,736 "	"$120,510 "	5.20%	5.20%	--	5.20%	29.90%	"5,051"	264	"$204,469 "	--	--	--	--	--	--	"$232,411 "	"$15,258 "	"$96,392 "	$0 	"$96,392 "	"$94,045 "	"$210,421 "	"$106,399 "	"$560,490 "	"$684,160 "	"$684,160 "	--	--	--
"Alcorn State University (Lorman, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Angelo State University (San Angelo, TX) "	"$2,939 "	$0 	$0 	$32 	$0 	"$7,473 "	"$287,788 "	$0 	"$342,685 "	4.20%	--	1.80%	83.90%	38.10%	"28,373"	"1,190"	"$1,552,105 "	157	"$355,833 "	2	"$100,000 "	159	"$455,833 "	"$183,803 "	"$14,557 "	"$888,091 "	$0 	"$517,540 "	"$47,375 "	"$133,491 "	"$455,833 "	"$1,300,687 "	"$4,073,951 "	"$4,073,951 "	--	--	--
"Appalachian State University (Boone, NC) "	"$206,156 "	$0 	$0 	"$56,266 "	"$13,174 "	"$1,499,059 "	"$1,057,882 "	"$1,540 "	"$3,258,892 "	9.60%	--	--	43.70%	17.70%	"88,643"	"8,524"	"$4,378,681 "	566	"$2,440,816 "	4	"$22,075 "	570	"$2,462,891 "	"$2,591,696 "	"$13,675 "	"$4,059,357 "	"$255,225 "	"$2,123,711 "	"$795,078 "	"$1,860,861 "	"$2,440,816 "	"$9,213,688 "	"$24,688,244 "	"$24,768,751 "	--	--	--
