Public Master's / FY2009 																																					
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 			Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
												# of Record 									($) 														(#) 	(#) 	
"Adams State College (Alamosa, CO) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama Agricultural and Mechanical University (Normal, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama State University (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Albany State University (Albany, GA) "	"$2,962 "	$0 	$0 	$0 	$0 	"$35,950 "	"$11,695 "	"$52,610 "	"$158,659 "	7.30%	7.20%	7.20%	100.00%	35.40%	"5,172"	376	"$167,280 "	0	$0 	0	$0 	0	$0 	"$144,446 "	"$14,450 "	"$32,610 "	$0 	"$32,610 "	"$15,569 "	"$133,971 "	"$35,796 "	"$448,700 "	"$472,376 "	"$472,376 "	--	--	--
"Alcorn State University (Lorman, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Angelo State University (San Angelo, TX) "	"$17,927 "	$0 	$0 	$143 	$0 	$600 	"$222,436 "	$0 	"$292,172 "	3.70%	--	1.60%	79.80%	22.90%	"29,737"	"1,111"	"$573,744 "	--	--	--	--	--	--	"$298,715 "	"$12,753 "	"$1,030,551 "	$0 	"$730,426 "	"$78,705 "	"$162,928 "	"$428,278 "	"$1,511,437 "	"$2,501,518 "	"$2,504,859 "	--	--	--
"Appalachian State University (Boone, NC) "	"$308,586 "	$20 	$0 	"$36,332 "	"$5,466 "	"$1,648,013 "	"$586,978 "	"$2,090 "	"$2,976,527 "	9.20%	--	--	75.20%	26.20%	"90,728"	"8,367"	"$3,261,875 "	"1,194"	"$2,058,207 "	7	"$6,700 "	"1,201"	"$2,064,907 "	"$3,430,545 "	"$13,016 "	"$1,145,506 "	"$34,628 "	"$1,106,406 "	"$586,650 "	"$1,864,956 "	"$2,052,502 "	"$8,335,028 "	"$12,437,300 "	"$12,566,440 "	--	--	--
