Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 			Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
												# of Record 									($) 														(#) 	(#) 	
"Adams State College (Alamosa, CO) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama Agricultural and Mechanical University (Normal, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama State University (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Albany State University (Albany, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alcorn State University (Lorman, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Angelo State University (San Angelo, TX) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"California Polytechnic State University (San Luis Obispo, CA) "	"$1,401,116 "	$0 	$905 	$902 	"$155,976 "	"$93,786 "	"$38,720 "	"$146,988 "	"$1,856,819 "	8.20%	--	8.10%	51.00%	37.30%	"123,926"	"10,136"	"$9,169,538 "	950	"$315,614 "	101	"$1,390,265 "	"1,051"	"$1,705,879 "	"$8,257,143 "	"$14,256 "	"$2,206,882 "	"$1,000 "	"$1,491,582 "	"$87,455 "	"$3,017,897 "	"$189,742 "	"$8,829,119 "	"$24,583,161 "	"$24,696,440 "	--	--	--
"California State Univ., Bakersfield (Bakersfield, CA) "	"$3,959 "	$0 	$0 	"$2,326 "	$0 	"$31,327 "	"$2,777 "	"$6,847 "	"$108,192 "	5.50%	5.10%	5.20%	49.50%	6.20%	"22,522"	"1,228"	"$135,966 "	135	"$22,348 "	3	"$21,000 "	138	"$43,348 "	"$1,205,507 "	"$12,696 "	"$276,657 "	$150 	"$204,592 "	"$10,115 "	"$1,045,178 "	"$22,348 "	"$1,756,163 "	"$2,209,129 "	"$2,209,129 "	--	--	--
"California State Univ., Chico (Chico, CA) "	"$245,647 "	$0 	$0 	$525 	$0 	"$83,537 "	"$25,391 "	"$1,325 "	"$412,821 "	5.30%	6.10%	3.80%	100.00%	26.90%	"116,133"	"6,100"	"$1,060,310 "	840	"$138,661 "	6	$365 	846	"$139,026 "	"$1,269,323 "	"$13,139 "	"$158,805 "	$675 	"$143,750 "	"$55,379 "	"$731,657 "	"$138,661 "	"$1,847,153 "	"$3,937,671 "	"$3,937,671 "	--	--	--
"California State Univ., Dominguez Hills (Carson, CA) "	"$10,347 "	$0 	$0 	$0 	$0 	"$7,335 "	$330 	$608 	"$28,163 "	0.30%	--	0.30%	16.30%	1.80%	"61,466"	189	"$45,138 "	0	$0 	0	$0 	0	$0 	"$1,075,102 "	"$10,134 "	"$126,925 "	"$2,170 "	"$124,925 "	"$22,512 "	"$1,036,718 "	"$32,142 "	"$1,369,992 "	"$2,447,721 "	"$2,447,721 "	--	--	--
"California State Univ., East Bay (Hayward, CA) "	"$43,343 "	$0 	$950 	"$1,695 "	$325 	"$3,928 "	$0 	"$43,703 "	"$151,467 "	1.50%	--	1.20%	58.90%	8.50%	"87,590"	"1,322"	"$402,609 "	--	--	--	--	--	--	"$1,428,382 "	"$10,590 "	"$2,567,982 "	$0 	"$701,032 "	$0 	"$1,299,259 "	$0 	"$2,345,777 "	"$4,760,454 "	"$4,760,454 "	--	--	--
"California State Univ., Fresno (Fresno, CA) "	"$170,500 "	$0 	"$6,400 "	"$33,900 "	"$1,000 "	"$51,300 "	"$1,688,100 "	"$308,500 "	"$2,304,400 "	2.60%	2.40%	2.40%	31.70%	26.80%	"141,647"	"3,665"	"$4,182,389 "	76	"$62,100 "	160	"$985,000 "	236	"$1,047,100 "	"$3,557,300 "	"$12,382 "	"$1,770,100 "	"$50,400 "	"$634,200 "	"$1,155,700 "	"$2,994,700 "	"$4,646,300 "	"$9,392,700 "	"$15,612,789 "	"$15,621,000 "	--	--	--
"California State Univ., Fullerton (Fullerton, CA) "	"$238,014 "	"$21,774 "	$600 	"$1,892 "	$160 	"$171,920 "	"$64,844 "	"$117,667 "	"$797,003 "	3.60%	3.50%	3.60%	92.70%	35.90%	"137,164"	"4,925"	"$2,666,366 "	"1,316"	"$384,669 "	1	"$50,000 "	"1,317"	"$434,669 "	"$1,691,153 "	"$8,285 "	"$884,599 "	"$14,007 "	"$649,999 "	"$99,256 "	"$1,553,347 "	"$384,669 "	"$4,476,920 "	"$7,429,960 "	"$7,514,544 "	--	--	--
"California State Univ., Humboldt (Arcata, CA) "	"$55,985 "	$0 	$255 	"$2,935 "	$35 	"$43,269 "	"$44,979 "	"$9,207 "	"$240,627 "	4.50%	--	4.30%	87.80%	4.80%	"43,592"	"1,982"	"$256,778 "	"1,377"	"$316,976 "	0	$0 	"1,377"	"$316,976 "	"$257,040 "	"$14,786 "	"$151,399 "	"$6,344 "	"$75,399 "	"$108,506 "	"$249,595 "	"$316,976 "	"$3,774,250 "	"$5,343,720 "	"$5,343,720 "	--	--	--
"California State Univ., Long Beach (Long Beach, CA) "	"$179,668 "	"$1,500 "	$0 	"$13,708 "	$0 	"$252,537 "	"$199,127 "	"$65,696 "	"$1,537,788 "	6.30%	6.40%	6.30%	51.30%	18.50%	"195,392"	"12,393"	"$3,045,721 "	"1,692"	"$904,721 "	18	"$1,365,016 "	"1,710"	"$2,269,737 "	"$5,354,487 "	"$9,979 "	"$2,849,534 "	"$64,000 "	"$1,255,604 "	"$351,787 "	"$5,148,737 "	"$869,409 "	"$11,959,826 "	"$16,497,332 "	"$18,169,097 "	--	--	--
"California State Univ., Los Angeles (Los Angeles, CA) "	"$10,220 "	$0 	$109 	$850 	$0 	"$39,922 "	"$6,634 "	"$11,235 "	"$303,921 "	3.60%	--	3.60%	13.60%	8.20%	"107,426"	"3,879"	"$364,860 "	403	"$161,933 "	23	"$61,347 "	426	"$223,280 "	"$1,323,583 "	"$10,811 "	"$1,737,509 "	$350 	"$1,691,769 "	"$39,843 "	"$1,097,140 "	"$98,636 "	"$3,901,285 "	"$4,469,548 "	"$4,469,548 "	--	--	--
