Public Master's / FY2000 																																					
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 			Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
												# of Record 									($) 														(#) 	(#) 	
"Adams State College (Alamosa, CO) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama Agricultural and Mechanical University (Normal, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama State University (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Albany State University (Albany, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alcorn State University (Lorman, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Angelo State University (San Angelo, TX) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Appalachian State University (Boone, NC) "	"$38,747 "	$0 	$0 	"$9,433 "	"$4,775 "	"$373,738 "	"$13,261 "	"$35,783 "	"$864,333 "	14.20%	--	11.80%	68.40%	--	"70,196"	"9,984"	"$1,374,430 "	259	"$82,314 "	41	--	300	--	"$988,804 "	"$9,672 "	"$2,055,460 "	"$20,100 "	"$703,929 "	"$1,775 "	"$757,075 "	"$82,314 "	"$3,132,730 "	--	"$6,357,550 "	--	--	--
"Arkansas State University (State University, AR) "	"$145,978 "	"$8,500 "	$0 	$810 	$835 	"$26,179 "	"$150,006 "	"$66,464 "	"$449,691 "	7.40%	--	7.20%	100.00%	--	"47,134"	"3,475"	"$822,326 "	913	"$517,586 "	1	--	914	--	"$1,136,990 "	"$10,945 "	"$372,325 "	$0 	"$144,914 "	"$156,365 "	"$965,669 "	"$517,606 "	"$2,532,570 "	--	"$3,770,010 "	--	--	--
"Arkansas Tech University (Russellville, AR) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Armstrong Atlantic State University (Savannah, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Auburn University at Montgomery (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
