team	teamname	longname	vseteamname
106	Stanford	Stanford U.	"Stanford University (Stanford, CA) "
104	Syracuse	Syracuse U.	"Syracuse University (Syracuse, NY) "
56	Temple	Temple U.	"Temple University (Philadelphia, PA) "
114	Tennessee	University of Tennessee- Knoxville	"University of Tennessee (Knoxville, TN) "
131	Texas	The University of Texas at Austin	"Univ. of Texas at Austin (Austin, TX) "
120	Texas A&M	Texas A&M University- College Station	"Texas A&M University (College Station, TX) "
110	Texas Christian	Texas Christian University	"Texas Christian University (Fort Worth, TX) "
41	Texas El Paso	The University of Texas at El Paso	"Univ. of Texas at El Paso (El Paso, TX) "
64	Texas Tech	Texas Tech U.	"Texas Tech University (Lubbock, TX) "
82	Toledo	University of Toledo	"University of Toledo (Toledo, OH) "
196	Troy	Troy University	"Troy State University System (Troy, AL) "
48	Tulane	Tulane U.	"Tulane University (New Orleans, LA) "
97	Tulsa	U. of Tulsa	"University of Tulsa (Tulsa, OK) "
91	UCLA	Univ. of Calif. At Los Angeles	"Univ of California, Los Angeles (Los Angeles, CA) "
38	UL Lafayette	University of Louisiana at Lafayette	"University of Louisiana, Lafayette (Lafayette, LA) "
137	UL Monroe	U. of Louisiana at Monroe	"University of Louisiana, Monroe (Monroe, LA) "
108	UNLV	"University of Nevada, Las Vegas"	"University of Nevada, Las Vegas (Las Vegas, NV) "
93	Utah	University of Utah	"University of Utah (Salt Lake City, UT) "
100	Utah State	Utah State U.	"Utah State University (Logan, UT) "
115	Vanderbilt	Vanderbilt U.	"Vanderbilt University (Nashville, TN) "
134	Virginia	University of Virginia	"University of Virginia (Charlottesville, VA) "
45	Virginia Tech	Virginia Polytechnic Institute and State U.	"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) "
138	Wake Forest	Wake Forest U.	"Wake Forest University (Winston-Salem, NC) "
54	Washington	University of Washington	"University of Washington (Seattle, WA) "
40	Washington State	Washington State U.	"Washington State University (Pullman, WA) "
62	West Virginia	West Virginia U.	"West Virginia University Foundation, Inc. (Morgantown, WV) "
189	Western Kentucky	Western Kentucky U.	"Western Kentucky University (Bowling Green, KY) "
67	Western Michigan	Western Michigan U.	"Western Michigan University (Kalamazoo, MI) "
111	Wisconsin	University of Wisconsin-Madison	"University of Wisconsin-Madison (Madison, WI) "
87	Wyoming	University of Wyoming	"University of Wyoming Foundation (Laramie, WY) "
