unitid,efcstate,line,"xefres01",efres01,"xefres02",efres02
"100654","1","1",10,"691",10,"606"
"100654","2","2",10,"1",10,"1"
"100654","4","4",10,"1",10,"1"
"100654","5","5",10,"4",10,"4"
"100654","6","6",10,"34",10,"31"
"100654","8","8",10,"2",10,"2"
"100654","9","9",10,"2",10,"2"
"100654","10","10",10,"1",10,"1"
"100654","11","11",10,"1",10,"1"
"100654","12","12",10,"20",10,"16"
"100654","13","13",10,"84",10,"78"
"100654","17","17",10,"92",10,"86"
"100654","18","18",10,"14",10,"11"
"100654","19","19",10,"1",10,"1"
"100654","20","20",10,"2",10,"1"
"100654","21","21",10,"7",10,"7"
"100654","22","22",10,"4",10,"3"
"100654","24","24",10,"6",10,"6"
"100654","25","25",10,"1",10,"1"
"100654","26","26",10,"58",10,"54"
"100654","27","27",10,"1",10,"1"
"100654","28","28",10,"16",10,"16"
"100654","29","29",10,"49",10,"48"
"100654","34","34",10,"3",10,"3"
"100654","36","36",10,"9",10,"7"
"100654","37","37",10,"2",10,"2"
"100654","39","39",10,"34",10,"29"
"100654","40","40",10,"3",10,"3"
"100654","41","41",10,"1",10,"1"
"100654","42","42",10,"1",10,"1"
"100654","45","45",10,"2",10,"2"
"100654","47","47",10,"26",10,"24"
"100654","48","48",10,"7",10,"7"
"100654","49","49",10,"1",10,"1"
"100654","55","55",10,"7",10,"6"
"100654","57","57",10,"2",10,"1"
"100654","58","999",10,"1190",10,"1065"
"100654","78","78",10,"6",10,"6"
"100654","89","999",10,"6",10,"6"
"100654","90","90",10,"12",10,"1"
"100654","99","99",10,"1208",10,"1072"
"100663","1","1",10,"1474",10,"1325"
"100663","2","2",10,"1",10,"1"
"100663","5","5",10,"1",10,"1"
"100663","6","6",10,"4",10,"4"
"100663","10","10",10,"1",10,"1"
"100663","12","12",10,"7",10,"7"
"100663","13","13",10,"35",10,"33"
"100663","16","16",10,"2",10,"2"
"100663","17","17",10,"4",10,"4"
"100663","18","18",10,"2",10,"2"
"100663","21","21",10,"2",10,"1"
"100663","22","22",10,"4",10,"4"
"100663","24","24",10,"1",10,"1"
"100663","26","26",10,"4",10,"4"
"100663","27","27",10,"1",10,"1"
"100663","28","28",10,"7",10,"7"
"100663","29","29",10,"4",10,"4"
"100663","30","30",10,"1",10,"1"
"100663","33","33",10,"1",10,"1"
"100663","34","34",10,"2",10,"2"
"100663","36","36",10,"2",10,"1"
