unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e141",f2e141,"xf2e151",f2e151,"xf2e161",f2e161,"xf2e171",f2e171
"152798",20,"0",20,"225128",20,"49921",20,"175207",20,"0",20,"175207",20,"0",20,"0",20,"17876",20,"0",20,"1368213",20,"2108412",20,"886942",20,"88077",20,"263907",20,"-176777",20,"175207",20,"135606",20,"25306",20,"437758",20,"0",20,"0",20,"0",20,"598670",20,"0",20,"0",20,"1089998",20,"0",20,"0",20,"0",20,"85040",20,"0",20,"0",20,"0",20,"0",20,"7511",20,"0",20,"0",20,"0",20,"0",20,"185664",20,"1368213",20,"1035262",20,"907633",20,"0",20,"0",20,"0",20,"0",20,"109738",20,"48169",20,"264583",20,"244109",20,"698829",20,"158128",20,"0",20,"0",20,"0",20,"0",20,"0",20,"0",20,"0",20,"0",20,"0",20,"0",20,"2108412",20,"1358039",20,"280912",20,"0",20,"0",20,"469461"
"152822",10,"6802754",10,"23412209",10,"5827016",10,"16394563",10,"1190630",10,"17585193",10,"532552",10,"7519014",10,"1120411",10,"0",10,"8091316",10,"7963715",10,"1914904",10,"2042505",10,"15542688",10,"0",10,"17585193",10,"0",10,"130634",10,"13353",10,"0",10,"258840",10,"650376",10,"1053203",10,"650376",10,"0",10,"5172124",10,"0",10,"0",10,"0",10,"130634",10,"13353",10,"0",10,"571833",10,"0",10,"363564",10,"0",10,"1620227",10,"0",10,"0",10,"219581",10,"8091316",10,"2114499",10,"1392463",10,"0",10,"0",10,"0",10,"0",10,"300368",10,"181334",10,"2077043",10,"881263",10,"1654821",10,"933429",10,"1453605",10,"273559",10,"258840",10,"0",10,"0",10,"0",10,"0",10,"0",10,"104539",10,"0",10,"7963715",10,"3662048",10,"410871",10,"702531",10,"168152",10,"3020113"
"152992",10,"9072802",10,"31778885",10,"13125009",10,"6719283",10,"11934593",10,"18653876",10,"918192",10,"19923095",10,"4977598",10,"0",10,"11977214",10,"14008620",10,"0",10,"-2031406",10,"20685282",10,"0",10,"18653876",10,"685956",10,"144959",10,"0",10,"0",10,"1165724",10,"1960544",10,"3957183",10,"218699",10,"0",10,"6077173",10,"0",10,"0",10,"0",10,"1940727",10,"0",10,"0",10,"1374747",10,"0",10,"157314",10,"0",10,"2427253",10,"0",10,"0",10,"0",10,"11977214",10,"3300182",10,"2123206",10,"0",10,"0",10,"0",10,"0",10,"1041016",10,"557158",10,"3338449",10,"1127551",10,"3056849",10,"1177664",10,"1531986",10,"124125",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1740138",10,"0",10,"14008620",10,"5109704",10,"1470435",10,"1215003",10,"525135",10,"5688343"
"153001",10,"115932932",10,"168957428",10,"28207340",10,"116703283",10,"24046805",10,"140750088",10,"4591323",10,"51056004",10,"24171059",10,"0",10,"28803682",10,"33123131",10,"0",10,"-4319449",10,"145069537",10,"0",10,"140750088",10,"2171298",10,"545816",10,"5283719",10,"0",10,"931295",10,"9171782",10,"18103910",10,"10103077",10,"0",10,"18972521",10,"0",10,"0",10,"0",10,"247500",10,"0",10,"0",10,"3371594",10,"0",10,"374476",10,"474476",10,"5352855",10,"0",10,"0",10,"10260",10,"28803682",10,"13689887",10,"6748312",10,"0",10,"0",10,"0",10,"0",10,"2656475",10,"711954",10,"4459448",10,"1893015",10,"5551894",10,"3117186",10,"6425075",10,"700383",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"340352",10,"0",10,"33123131",10,"13170850",10,"3908001",10,"4539291",10,"360372",10,"11144617"
"153108",10,"42948844",10,"137373790",10,"50862047",10,"54777898",10,"31733845",10,"86511743",10,"3450074",10,"58387576",10,"10972432",10,"0",10,"30711743",10,"28968152",10,"0",10,"1743591",10,"84768152",10,"0",10,"86511743",10,"738362",10,"409772",10,"2912922",10,"0",10,"1103311",10,"7593090",10,"12757457",10,"8696401",10,"0",10,"12892293",10,"0",10,"0",10,"0",10,"1112620",10,"3183",10,"0",10,"7673441",10,"0",10,"-695370",10,"1612473",10,"8113103",10,"0",10,"0",10,"0",10,"30711743",10,"9328598",10,"5475346",10,"0",10,"0",10,"1112620",10,"537227",10,"1504929",10,"643180",10,"4959432",10,"2455992",10,"4124685",10,"2030261",10,"7937888",10,"1882758",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"28968152",10,"13024764",10,"2498541",10,"2292268",10,"988473",10,"10164106"
"153126",10,"13855918",10,"45248557",10,"15005327",10,"20755882",10,"9487348",10,"30243230",10,"1552775",10,"36131924",10,"9236806",13,"0",10,"19128893",10,"21165143",10,"0",10,"-2036250",10,"31811130",10,"468350",10,"30243230",10,"538180",10,"269404",10,"1144288",10,"0",10,"223312",10,"3281732",10,"5456916",10,"3611497",10,"0",10,"12545384",10,"0",10,"0",10,"0",10,"466709",10,"15944",10,"0",10,"2188530",10,"426670",10,"-500366",10,"0",10,"3790077",10,"0",10,"0",10,"195945",10,"19128893",10,"6566998",10,"4196481",10,"10096",10,"4200",10,"0",10,"0",10,"1286074",10,"587141",10,"2167497",10,"1141936",10,"3054266",10,"1501107",10,"4443959",10,"937740",10,"3611497",10,"0",10,"0",10,"0",10,"0",10,"0",10,"24756",10,"0",10,"21165143",10,"8368605",10,"1681369",10,"1549746",10,"543560",10,"9021863"
"153144",10,"59447707",10,"110880818",10,"26330841",10,"33854548",10,"50695429",10,"84549977",10,"8994324",10,"36391108",10,"13888100",10,"0",10,"24973089",10,"24101600",10,"-435926",10,"435563",10,"84114414",10,"0",10,"84549977",10,"677458",10,"152587",10,"1993433",10,"0",10,"5089700",10,"4767858",10,"12681036",10,"8008116",10,"2002029",10,"10704279",10,"0",10,"0",10,"0",10,"1101160",10,"0",10,"0",10,"6723412",10,"0",10,"1425461",10,"0",10,"4739482",13,"0",10,"0",10,"279295",10,"24973089",10,"8931102",10,"5816801",10,"231000",10,"0",10,"0",10,"0",10,"1727868",10,"874944",10,"2487845",10,"1289258",10,"3613201",10,"1742942",10,"3075664",10,"379284",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",10,"4034920",10,"743807",10,"24101600",10,"10847036",10,"2450075",10,"1754739",10,"275227",10,"8774523"
"153162",10,"69954447",10,"124049280",10,"13890399",10,"49869856",10,"60289025",10,"110158881",10,"839161",10,"41189213",10,"7535255",10,"99800",10,"25711418",10,"21689405",10,"0",10,"4022013",10,"106136868",10,"0",10,"110158881",10,"459225",10,"531559",10,"645097",10,"0",10,"649026",10,"10619801",10,"12904708",10,"10619800",13,"0",10,"7213289",10,"0",10,"0",10,"0",10,"10000",10,"2937",10,"33314",10,"12063707",10,"0",10,"-2505663",13,"0",10,"4206405",10,"0",10,"0",10,"4687429",10,"25711418",10,"9908691",10,"5878873",10,"31213",10,"10607",10,"10334",10,"2500",10,"2248423",10,"996478",10,"2466047",10,"1123396",10,"2818472",10,"1112232",10,"4206225",10,"231939",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"21689405",10,"9356025",10,"2255807",10,"1801605",10,"283937",10,"7992031"
"153241",10,"7988034",10,"11163655",10,"592530",10,"6875261",10,"3695864",10,"10571125",10,"188850",10,"4727358",10,"1646932",10,"0",10,"3917169",10,"4128057",10,"59826",10,"-151062",10,"10722187",10,"0",10,"10571125",10,"180075",10,"40704",10,"4136",10,"0",10,"415575",10,"37544",10,"678034",10,"440590",10,"237444",10,"440590",10,"0",10,"0",10,"0",10,"90939",10,"0",10,"0",10,"3155218",10,"368892",10,"-644575",10,"0",10,"237444",10,"0",10,"0",10,"268661",10,"3917169",10,"963228",10,"715153",10,"0",10,"0",10,"0",10,"0",10,"220098",10,"83228",10,"465911",10,"365791",10,"1183627",10,"650396",10,"487335",10,"94648",10,"554937",10,"0",10,"0",10,"0",10,"0",10,"0",10,"252921",10,"0",10,"4128057",10,"1909216",10,"453835",10,"251634",10,"0",10,"1513372"
"153250",10,"20847519",10,"76598069",10,"20980271",10,"39742372",10,"15875426",10,"55617798",10,"2520304",10,"35801712",10,"9343622",10,"0",10,"23050913",10,"19917954",10,"-9280",10,"3123679",10,"52494119",10,"0",10,"55617798",10,"840644",10,"112334",10,"1516955",10,"0",10,"247997",10,"5178887",10,"7896817",10,"5549375",10,"0",10,"12641338",10,"0",10,"0",10,"0",10,"316061",10,"44198",10,"0",10,"4530023",10,"0",10,"326054",10,"479789",10,"4575728",10,"0",10,"0",10,"137722",10,"23050913",10,"8436967",10,"4878501",10,"0",10,"0",10,"342300",10,"195715",10,"1269285",10,"710562",10,"2964738",10,"1137008",10,"3050446",10,"1532840",10,"3854218",10,"593709",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"19917954",10,"9048335",10,"3105506",10,"1394135",10,"493532",10,"5876446"
