unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e141",f2e141,"xf2e151",f2e151,"xf2e161",f2e161,"xf2e171",f2e171
"105899",10,"317942",10,"5663084",10,"2174057",10,"2949056",10,"539971",10,"3489027",10,"2340000",10,"2709970",10,"837696",10,"0",10,"2500386",10,"2374265",10,"0",10,"126121",10,"3362906",10,"0",10,"3489027",10,"156199",10,"31869",10,"0",10,"0",10,"0",10,"277217",10,"465285",10,"453133",10,"0",10,"1398854",10,"0",10,"0",10,"0",10,"188068",10,"0",10,"0",10,"468239",10,"0",10,"48358",10,"0",10,"374296",10,"0",10,"0",10,"22571",10,"2500386",10,"960660",10,"440379",10,"0",10,"0",10,"0",10,"0",10,"138929",10,"64736",10,"469365",10,"171664",10,"534856",10,"198936",10,"270455",10,"67461",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2374265",10,"943176",10,"105029",10,"127842",10,"168076",10,"1030142"
"106050",10,"0",10,"685535",10,"320474",10,"365061",10,"0",10,"365061",10,"0",10,"0",10,"74710",10,"0",10,"878522",10,"704093",10,"0",10,"174429",10,"190632",10,"0",10,"365061",10,"219634",10,"0",10,"0",10,"0",10,"0",10,"0",10,"219634",10,"219634",10,"0",10,"219634",10,"0",10,"0",10,"0",10,"658888",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"878522",10,"332677",10,"263028",10,"0",10,"0",10,"0",10,"0",10,"181182",10,"108266",10,"16044",10,"16043",10,"174191",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",32,"-1",10,"0",10,"704093",10,"387337",10,"11972",10,"14221",10,"0",10,"290563"
"106306",10,"204500",10,"1392826",10,"65817",10,"1075788",10,"251221",10,"1327009",10,"150000",10,"1059493",10,"210839",10,"0",10,"2166140",10,"1102904",10,"-1000000",10,"63236",10,"1263773",10,"0",10,"1327009",10,"232227",10,"1006207",10,"6970",10,"0",10,"0",10,"0",10,"1245404",10,"0",10,"0",10,"428921",10,"0",10,"0",10,"0",10,"1240500",10,"0",10,"0",10,"177097",10,"0",10,"32003",10,"0",10,"287619",10,"0",10,"0",10,"0",10,"2166140",10,"520111",10,"188155",10,"0",10,"0",10,"0",10,"0",10,"276498",10,"100228",10,"438092",10,"158484",10,"562327",10,"203352",10,"305876",10,"110721",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"-1000000",10,"0",10,"1102904",10,"760940",10,"73431",10,"47927",10,"3965",10,"216641"
"106342",10,"55374586",10,"90145071",10,"8310565",10,"22746437",10,"59088069",10,"81834506",10,"817953",10,"25511710",10,"6688396",10,"0",10,"17207435",10,"12620318",10,"-18997",10,"4568120",10,"77266386",10,"0",10,"81834506",10,"297868",10,"44956",10,"618094",10,"0",10,"2912684",10,"0",10,"3873602",10,"2786634",10,"126050",10,"1575940",10,"0",10,"0",10,"0",10,"648335",10,"123851",10,"0",10,"8677112",10,"0",10,"3954220",10,"0",10,"1913026",10,"0",10,"0",10,"314951",10,"17207435",10,"4368297",10,"2003249",10,"0",10,"0",10,"0",10,"0",10,"1455078",10,"455094",10,"2457563",10,"958347",10,"2970551",10,"1195927",10,"1368829",10,"25924",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"12620318",10,"4638541",10,"1126445",10,"1100840",10,"373934",10,"5380558"
"182634",10,"21773995",10,"50582091",10,"16431263",10,"15018560",10,"19132268",10,"34150828",10,"1922224",10,"25714035",10,"6954028",10,"0",10,"22498162",10,"18054020",10,"0",10,"4444142",10,"29706686",10,"0",10,"34150828",10,"325905",10,"221137",10,"0",10,"0",10,"336727",10,"4783873",10,"5667642",10,"5667642",10,"0",10,"8363795",10,"0",10,"0",10,"0",10,"226966",10,"0",10,"0",10,"7170371",10,"0",10,"253741",10,"0",10,"5841980",10,"0",10,"0",10,"641309",10,"22498162",10,"3842913",10,"2163620",10,"0",10,"0",10,"0",10,"0",10,"2410869",10,"1101278",10,"3911737",10,"1675046",10,"4725109",10,"2003268",10,"3163392",10,"74284",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"18054020",10,"7017496",10,"1867397",10,"822295",10,"0",10,"8346832"
"182661",10,"701593",10,"23698600",10,"17286022",10,"4673156",10,"1739422",10,"6412578",10,"1701954",10,"17045258",10,"7742671",10,"0",10,"15958064",10,"15949972",10,"0",10,"8092",10,"6404486",10,"0",10,"6412578",10,"339908",10,"59399",10,"61130",10,"0",10,"26254",10,"2278851",10,"2765542",10,"2278851",10,"0",10,"9285766",10,"0",10,"0",10,"0",10,"932069",10,"0",10,"0",10,"907485",10,"0",10,"182377",10,"0",10,"2027812",10,"0",10,"0",10,"2622555",10,"15958064",10,"4867046",10,"2846405",10,"0",10,"0",10,"0",10,"0",10,"2544009",10,"1002542",10,"1785227",10,"751868",10,"1904608",10,"811220",10,"2570231",10,"64924",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2278851",10,"512574",10,"15949972",10,"5989533",10,"1040177",10,"941694",10,"680495",10,"7298073"
"182670",10,"2490376312",10,"3375412716",10,"406777266",10,"934152276",10,"2034483174",10,"2968635450",10,"51856999",10,"337426777",10,"25049815",10,"0",10,"1203762601",10,"383970080",10,"0",10,"819792521",10,"2148842929",10,"0",10,"2968635450",10,"0",10,"0",10,"2540275",10,"0",10,"16014445",10,"27299762",10,"45854482",10,"45854482",10,"0",10,"96843939",10,"0",10,"0",10,"0",10,"66949590",10,"9170099",10,"0",10,"130560100",10,"0",10,"811078743",10,"46003633",10,"47490233",10,"0",10,"0",10,"-4333736",10,"1203762601",10,"121077817",10,"63696857",10,"66715044",10,"31327055",10,"0",10,"0",10,"53468279",10,"26598947",10,"24785428",10,"10504601",10,"37776569",10,"17950962",10,"46021912",10,"10124429",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"34125031",10,"7180921",10,"383970080",10,"167383772",10,"49072751",10,"18579732",10,"11506855",10,"137426970"
"182795",10,"6682558",10,"58722932",10,"46156518",10,"9024324",10,"3542090",10,"12566414",10,"3711602",10,"41988384",10,"11825350",10,"0",10,"33547989",10,"32388557",10,"0",10,"1159432",10,"11406982",10,"0",10,"12566414",10,"1289724",10,"233934",10,"0",10,"0",10,"131438",10,"10900704",10,"12555800",10,"8693336",10,"2338816",10,"22403747",10,"0",10,"0",10,"0",10,"1196612",10,"0",10,"0",10,"0",10,"659723",10,"1473046",10,"0",10,"5122159",10,"0",10,"0",10,"2692702",10,"33547989",10,"12041393",10,"6958629",10,"0",10,"0",10,"0",10,"0",10,"2311677",10,"1112045",10,"6227294",10,"2093839",10,"5209571",10,"3054590",10,"6598622",10,"124709",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"32388557",10,"13343812",10,"3413429",10,"1730120",10,"2061315",10,"11839881"
"182829",10,"7362561",10,"21313570",10,"9049512",10,"11414686",10,"849372",10,"12264058",10,"277466",10,"4905202",10,"988248",10,"0",10,"10144418",10,"9112542",10,"0",10,"1031876",10,"10382810",10,"849372",10,"12264058",10,"0",10,"0",10,"0",10,"0",10,"0",10,"205975",10,"205975",10,"866241",10,"0",10,"7526340",10,"0",10,"0",10,"0",10,"594588",10,"158248",10,"46404",10,"424459",10,"0",10,"852662",10,"300489",10,"241228",10,"0",10,"0",10,"0",10,"10144418",10,"2722660",10,"2280721",10,"985764",10,"618020",10,"0",10,"0",10,"2852276",10,"911573",10,"170167",10,"144851",10,"2077770",10,"881909",10,"162182",10,"30194",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"141723",10,"67565",10,"9112542",10,"4934833",10,"774417",10,"434298",10,"335495",10,"2633499"
"182908",10,"400000",10,"1300000",10,"0",10,"900000",10,"400000",10,"1300000",10,"10000",10,"700000",10,"90000",10,"0",10,"450000",10,"430000",10,"880000",10,"900000",10,"350000",10,"50000",10,"1300000",10,"0",10,"0",10,"15000",10,"0",10,"10000",10,"24000",10,"49000",10,"14500",10,"1000",10,"300000",10,"0",10,"0",10,"0",10,"220000",10,"0",10,"0",10,"820000",10,"300000",10,"12000",10,"15000",10,"1100",10,"0",10,"0",10,"-1218100",10,"450000",10,"230000",10,"190000",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"115000",10,"90000",10,"880000",10,"8000",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"-795000",10,"0",10,"430000",10,"288000",10,"0",10,"0",10,"0",10,"142000"
"182980",10,"5674972",10,"24052912",10,"10919340",10,"8179627",10,"4953945",10,"13133572",10,"336543",10,"14236770",10,"8266375",10,"0",10,"13646979",10,"12700762",10,"0",10,"946217",10,"12187355",10,"0",10,"13133572",10,"360338",10,"205560",10,"0",10,"0",10,"663397",10,"4134370",10,"5363665",10,"4797767",10,"0",10,"6988545",10,"0",10,"0",10,"0",10,"675321",10,"0",10,"0",10,"1368349",10,"0",10,"801356",10,"0",10,"2956667",10,"0",10,"0",10,"856741",10,"13646979",10,"3007736",10,"2174187",10,"0",10,"0",10,"264624",10,"4675",10,"1096450",10,"509305",10,"3373986",10,"1577555",10,"2801083",10,"1111777",10,"2156883",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"12700762",10,"5377499",10,"1340471",10,"875458",10,"210249",10,"4897085"
"183026",10,"5715123",10,"59892816",10,"45409533",10,"11804916",10,"2678367",10,"14483283",10,"5495980",10,"26589811",10,"14045258",10,"0",10,"48869308",10,"48532573",10,"0",10,"336735",10,"14146548",10,"0",10,"14483283",10,"872643",10,"313397",10,"193895",10,"431166",10,"55229",10,"6213860",10,"8080190",10,"0",10,"0",10,"37287437",10,"0",10,"0",10,"0",10,"1369774",10,"0",10,"0",10,"0",10,"821417",10,"1049982",10,"0",10,"7452875",10,"0",10,"0",10,"887823",10,"48869308",10,"17033891",10,"12658114",10,"0",10,"0",10,"0",10,"0",10,"4055585",10,"2395430",10,"6253463",10,"3494425",10,"8140007",10,"4913427",10,"6593204",10,"1358986",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6456423",10,"-24820382",10,"48532573",10,"0",10,"4680834",10,"1630140",10,"1322301",10,"40899298"
"183169",10,"3761543",10,"13813713",10,"5634237",10,"2512758",10,"5666718",10,"8179476",10,"4377577",10,"7994834",10,"3927060",10,"0",10,"14019351",10,"11374350",10,"0",10,"2645001",10,"5430782",10,"103693",10,"8179476",10,"241660",10,"80098",10,"379847",10,"125902",10,"43972",10,"1170318",10,"2041797",10,"784885",10,"342377",10,"9344517",10,"0",10,"0",10,"0",10,"1457563",10,"6200",10,"0",10,"1454934",10,"0",10,"370703",10,"156562",10,"1198872",10,"0",10,"0",10,"30000",10,"14019351",10,"3965301",10,"2535966",10,"0",10,"0",10,"0",10,"0",10,"819803",10,"628073",10,"2648276",10,"1056837",10,"2708567",10,"754911",10,"568193",10,"21677",10,"664210",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"11374350",10,"4997464",10,"989854",10,"526235",10,"354645",10,"4506152"
"183211",10,"15470814",10,"39689674",10,"13226130",10,"21208912",10,"5254632",10,"26463544",10,"1132697",10,"21301543",10,"10023605",10,"0",10,"19547928",10,"19575427",10,"0",10,"-27499",10,"26491043",10,"0",10,"26463544",10,"491812",10,"210434",10,"18800",10,"0",10,"166625",10,"3104712",10,"3992383",10,"3500571",10,"0",10,"15095773",10,"0",10,"0",10,"0",10,"425883",10,"13300",10,"0",10,"500541",10,"0",10,"1368580",10,"0",10,"2019876",10,"0",10,"0",10,"123975",10,"19547928",10,"10533398",10,"4979398",10,"0",10,"0",10,"0",10,"0",10,"1503903",10,"768969",10,"2243706",10,"1162549",10,"3289257",10,"1228123",10,"2005163",10,"692742",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"19575427",10,"8831781",10,"1999883",10,"1004582",10,"515101",10,"7224080"
"110361",10,"5530197",10,"31356117",10,"20515594",10,"4706050",10,"6134473",10,"10840523",10,"4545842",10,"13299617",10,"5586450",10,"0",10,"23126497",10,"22312944",10,"0",10,"813553",10,"10026970",10,"0",10,"10840523",10,"1368186",10,"262499",10,"2423361",10,"0",10,"309176",10,"3131708",10,"7494930",10,"3131707",10,"0",10,"15589820",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2991410",10,"0",10,"418994",10,"0",10,"3446793",10,"0",10,"0",10,"679480",10,"23126497",10,"6787287",10,"5401175",10,"0",10,"0",10,"0",10,"0",10,"987333",10,"630010",10,"2286189",10,"1218594",10,"4315537",10,"1662306",10,"3037432",10,"817252",10,"309176",10,"0",10,"0",10,"0",10,"0",10,"0",10,"4589990",10,"0",10,"22312944",10,"9729337",10,"2022576",10,"967762",10,"1164579",10,"8428690"
"110370",10,"16446000",10,"57019000",10,"25020000",10,"14757000",10,"17242000",10,"31999000",10,"1349000",10,"25824000",10,"2428000",10,"0",10,"24799000",10,"21697000",10,"0",10,"3102000",10,"28897000",10,"0",10,"31999000",10,"608000",10,"413000",10,"1380000",10,"0",10,"3396000",10,"0",10,"5797000",10,"3396000",10,"0",10,"16813000",10,"0",10,"0",10,"0",10,"413000",10,"0",10,"0",10,"3133000",10,"0",10,"3889000",10,"0",10,"277000",10,"0",10,"0",10,"274000",10,"24799000",10,"10207000",10,"6601000",10,"0",10,"0",10,"0",10,"0",10,"2888000",10,"1120000",10,"2560000",10,"1099000",10,"5639000",10,"1796000",10,"129000",10,"41000",10,"274000",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"21697000",10,"10657000",10,"1706000",10,"1191000",10,"1201000",10,"6942000"
"110404",10,"1780695000",10,"2894202000",10,"703670000",10,"1596653000",10,"593879000",10,"2190532000",10,"40560000",10,"395398000",10,"472254000",10,"0",10,"2031178000",10,"1671464000",10,"-51434000",10,"308280000",10,"1882252000",10,"0",10,"2190532000",10,"278000",10,"3127000",10,"0",10,"0",10,"10448000",10,"5857000",10,"19710000",10,"19710000",10,"0",10,"15723000",10,"0",10,"0",10,"0",10,"228709000",10,"0",10,"0",10,"116981000",10,"0",10,"364706000",10,"0",10,"21454000",10,"0",10,"1243932000",10,"39673000",10,"2031178000",10,"117062000",10,"54814000",10,"185305000",10,"61877000",10,"0",10,"0",10,"17156000",10,"8427000",10,"8041000",10,"4988000",10,"74137000",10,"31998000",10,"25831000",10,"8009000",10,"0",10,"0",10,"0",10,"0",10,"1243932000",10,"0",10,"0",10,"0",10,"1671464000",10,"170113000",10,"39181000",10,"57030000",10,"7833000",10,"1397307000"
"110413",10,"42681191",10,"87064567",10,"29707013",10,"32774178",10,"24583376",10,"57357554",10,"8890806",10,"27586338",10,"8356859",10,"0",10,"41092368",10,"33471967",10,"0",10,"7620401",10,"49737153",10,"0",10,"57357554",10,"763962",10,"401749",10,"1592297",10,"0",10,"957388",10,"8842410",10,"12557806",10,"10201547",10,"0",10,"22097579",10,"0",10,"0",10,"0",10,"1484742",10,"0",10,"0",10,"4972593",10,"0",10,"3715254",10,"840902",10,"5625696",10,"0",10,"0",10,"2355602",10,"41092368",10,"12987177",10,"8487076",10,"0",10,"0",10,"1545906",10,"807059",10,"2966652",10,"739755",10,"4763404",10,"2256823",10,"5865754",10,"3583806",10,"5343074",10,"424406",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"33471967",10,"16298925",10,"3796915",10,"2326143",10,"944616",10,"10105368"
