unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a05a",f2a05a,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e013",f2e013,"xf2e014",f2e014,"xf2e015",f2e015,"xf2e016",f2e016,"xf2e017",f2e017,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e023",f2e023,"xf2e024",f2e024,"xf2e025",f2e025,"xf2e026",f2e026,"xf2e027",f2e027,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e033",f2e033,"xf2e034",f2e034,"xf2e035",f2e035,"xf2e036",f2e036,"xf2e037",f2e037,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e043",f2e043,"xf2e044",f2e044,"xf2e045",f2e045,"xf2e046",f2e046,"xf2e047",f2e047,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e053",f2e053,"xf2e054",f2e054,"xf2e055",f2e055,"xf2e056",f2e056,"xf2e057",f2e057,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e063",f2e063,"xf2e064",f2e064,"xf2e065",f2e065,"xf2e066",f2e066,"xf2e067",f2e067,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e073",f2e073,"xf2e074",f2e074,"xf2e075",f2e075,"xf2e076",f2e076,"xf2e077",f2e077,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e083",f2e083,"xf2e084",f2e084,"xf2e085",f2e085,"xf2e086",f2e086,"xf2e087",f2e087,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e093",f2e093,"xf2e094",f2e094,"xf2e095",f2e095,"xf2e096",f2e096,"xf2e097",f2e097,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e103",f2e103,"xf2e104",f2e104,"xf2e105",f2e105,"xf2e106",f2e106,"xf2e107",f2e107,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e113",f2e113,"xf2e114",f2e114,"xf2e115",f2e115,"xf2e116",f2e116,"xf2e117",f2e117,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e123",f2e123,"xf2e124",f2e124,"xf2e125",f2e125,"xf2e126",f2e126,"xf2e127",f2e127,"xf2e131",f2e131,"xf2e132",f2e132,"xf2e133",f2e133,"xf2e134",f2e134,"xf2e135",f2e135,"xf2e136",f2e136,"xf2e137",f2e137,"xf2h01",f2h01,"xf2h02",f2h02,f2fha
"100690",10,"578188",10,"4010530",10,"1379568",10,"2456157",10,"174805",10,"174805",10,"2630962",10,"610976",10,"1028166",10,"2187931",13,"0",10,"6536761",10,"5898702",10,"0",10,"638059",10,"1992903",10,"0",10,"2630962",10,"629411",10,"71672",13,"0",13,"0",10,"0",10,"2196130",10,"2897213",10,"2196130",13,"0",10,"5221776",13,"0",13,"0",13,"0",10,"36597",13,"0",13,"0",10,"1238590",13,"0",10,"10215",13,"0",13,"0",13,"0",13,"0",10,"29583",10,"6536761",10,"2521642",10,"1775418",10,"94630",10,"73060",10,"64336",13,"0",10,"514198",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"210770",10,"164664",10,"8928",10,"6958",10,"6127",13,"0",10,"24093",10,"643445",10,"425048",10,"21180",10,"19135",10,"16850",13,"0",10,"161232",10,"2522845",10,"800894",10,"358822",10,"57471",10,"65868",10,"17328",10,"1222462",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-156624",13,"0",13,"0",10,"156624",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5898702",10,"3166024",10,"483560",13,"0",10,"153181",10,"17328",10,"2078609",10,"174505",10,"174805","1"
"100937",10,"122495222",10,"245311695",10,"52836594",10,"90700575",10,"101774526",10,"63719869",10,"192475101",10,"21651464",10,"116741444",10,"24880836",10,"0",10,"54217335",10,"45619471",10,"0",10,"8597864",10,"183877237",10,"0",10,"192475101",10,"464076",10,"613145",10,"140805",10,"28814",10,"12564926",10,"1136564",10,"14948330",10,"12564926",10,"0",10,"12511118",10,"1129660",10,"140805",10,"28814",10,"99350",10,"45003",10,"18351",10,"100768",13,"0",10,"14218621",10,"1480699",10,"8248550",10,"0",10,"0",10,"16195596",10,"54217335",10,"13630093",10,"7345893",10,"1240759",10,"1271571",10,"2143614",10,"674289",10,"953967",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"2870498",10,"547813",10,"214533",10,"293533",10,"494838",10,"155655",10,"1164126",10,"8895326",10,"2717082",10,"863660",10,"835631",10,"1408706",10,"443119",10,"2627128",10,"7320897",10,"3877898",10,"1584927",10,"193162",10,"325632",10,"102430",10,"1236848",10,"10189651",10,"314930",10,"116132",10,"1458649",10,"2458992",10,"773493",10,"5067455",10,"2383404",30,"",30,"",30,"",30,"",30,"",10,"2383404",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-4052546",13,"0",13,"0",10,"4052546",10,"329602",10,"0",10,"5",10,"0",10,"0",10,"1",10,"329596",10,"45619471",10,"14803616",10,"4020016",13,"0",10,"6831782",10,"2148987",10,"17815070",10,"105999224",10,"122495222","1"
"101073",10,"3949381",10,"17184515",10,"570796",10,"10325009",10,"6288710",10,"1186051",10,"16613719",10,"781853",10,"6447435",10,"1931956",10,"0",10,"5322691",10,"5256694",10,"0",10,"65997",10,"16547722",10,"0",10,"16613719",10,"2195574",13,"0",10,"192284",13,"0",10,"2840000",13,"0",10,"5227858",10,"2840000",13,"0",10,"1766445",13,"0",13,"0",13,"0",10,"1739870",13,"0",13,"0",10,"696606",13,"0",10,"364091",13,"0",10,"702271",13,"0",13,"0",10,"53408",10,"5322691",10,"2128844",10,"1539512",10,"244782",10,"303989",10,"40561",13,"0",10,"0",10,"57217",10,"39698",10,"2838",10,"14681",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"315090",10,"194690",10,"40897",10,"23230",10,"56273",13,"0",10,"0",10,"218772",10,"72429",10,"27773",10,"118570",13,"0",13,"0",10,"0",10,"1317468",10,"532651",10,"94175",10,"648785",10,"41857",13,"0",10,"0",10,"1219303",10,"228358",10,"48391",10,"764548",10,"178006",13,"0",10,"0",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-1873803",13,"0",13,"0",10,"1873803",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5256694",10,"2607338",10,"458856",13,"0",10,"316697",13,"0",10,"1873803",10,"3714457",10,"3949295","1"
"101189",10,"12941524",10,"51579583",10,"20347157",10,"21115152",10,"10117274",13,"0",10,"31232426",10,"1248395",10,"29019458",10,"12721579",13,"0",10,"23656931",10,"22860087",10,"0",10,"796844",10,"30435582",10,"0",10,"31232426",10,"3991499",10,"476562",10,"351772",13,"0",10,"224820",10,"2348422",10,"7393075",10,"2755890",10,"255353",10,"17052187",13,"0",13,"0",13,"0",10,"997393",13,"0",13,"0",10,"1841145",13,"0",10,"1648081",13,"0",10,"1581910",13,"0",13,"0",10,"536215",10,"23656931",10,"9495876",10,"5717022",10,"825441",10,"916188",10,"775405",10,"265638",10,"996182",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"1914105",10,"659152",10,"117683",10,"202164",10,"171099",10,"58615",10,"705392",10,"4714786",10,"1804941",10,"312855",10,"372067",10,"314895",10,"107877",10,"1802151",10,"4466385",10,"1894240",10,"335884",10,"137643",10,"116493",10,"39908",10,"1942217",10,"2268935",10,"116483",10,"18822",10,"522614",10,"442308",10,"151526",10,"1017182",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-2150676",13,"0",13,"0",10,"2150676",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"22860087",10,"10191838",10,"1610685",13,"0",10,"1820200",10,"623564",10,"8613800",10,"12930080",10,"13917550","1"
"101435",10,"34941424",10,"60722394",10,"25609510",10,"-1423376",10,"36536260",10,"34880934",10,"35112884",10,"1040546",10,"22946795",10,"10878072",13,"0",10,"12619810",10,"13742147",10,"0",10,"-1122337",10,"36235221",10,"0",10,"35112884",10,"530533",10,"193089",10,"86940",10,"0",10,"2101178",10,"1835076",10,"4746816",10,"4746816",13,"0",10,"4460111",13,"0",13,"0",13,"0",10,"759281",13,"0",13,"0",10,"3258165",13,"0",10,"1810845",13,"0",10,"2331408",13,"0",13,"0",10,"0",10,"12619810",10,"4254113",10,"2048568",10,"491656",10,"405813",10,"425175",10,"362862",10,"520039",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"1131473",10,"367182",10,"88124",10,"101453",10,"106294",10,"90716",10,"377704",10,"3724194",10,"1328204",10,"318769",10,"215588",10,"225874",10,"192770",10,"1442989",10,"1908130",10,"1238439",10,"297225",10,"63408",10,"66434",10,"56697",10,"185927",10,"2724237",13,"0",13,"0",10,"481903",10,"504895",10,"430899",10,"1306540",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-1268165",13,"0",13,"0",10,"1268165",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"13742147",10,"4982393",10,"1195774",13,"0",10,"1328672",10,"1133944",10,"5101364",10,"28277257",10,"29740589","1"
"101453",10,"4893521",10,"7918655",10,"2057433",10,"1305213",10,"4556009",10,"2535828",10,"5861222",10,"1037145",10,"1466451",10,"1927771",13,"0",10,"3031701",10,"2535907",10,"0",10,"495794",10,"5365428",10,"0",10,"5861222",10,"170799",10,"11696",13,"0",13,"0",10,"164613",10,"70151",10,"417259",10,"70151",13,"0",10,"655168",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1743658",10,"33819",10,"494886",10,"19663",10,"84507",13,"0",13,"0",10,"0",10,"3031701",10,"552566",10,"482994",13,"0",10,"49356",13,"0",13,"0",10,"20216",10,"4452",13,"0",13,"0",10,"566",13,"0",13,"0",10,"3886",10,"16837",13,"0",13,"0",10,"1431",13,"0",13,"0",10,"15406",10,"101861",10,"76028",10,"8088",10,"9360",13,"0",13,"0",10,"8385",10,"209697",10,"150159",13,"0",10,"18948",13,"0",13,"0",10,"40590",10,"1402821",10,"428620",10,"229743",10,"221744",13,"0",10,"88295",10,"434419",10,"68127",10,"8590",13,"0",10,"6078",13,"0",13,"0",10,"53459",10,"179546",30,"",30,"",30,"",30,"",30,"",10,"179546",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-307483",10,"151642",13,"0",10,"155841",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2535907",10,"1146391",10,"237831",13,"0",10,"151642",10,"88295",10,"911748",10,"3028035",10,"3410929","1"
"101541",10,"4114532",10,"32418077",10,"11704560",10,"-521229",10,"21234746",10,"20204704",10,"20713517",10,"293792",10,"15821973",10,"4527395",13,"0",10,"8595167",10,"7477400",10,"0",10,"1117767",10,"19595750",10,"0",10,"20713517",10,"385557",10,"69926",10,"79730",13,"0",10,"708331",10,"641443",10,"1884987",10,"0",10,"0",10,"2670885",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"3148820",13,"0",10,"801844",13,"0",10,"1522108",13,"0",13,"0",10,"451510",10,"8595167",10,"2847586",10,"1216282",10,"213001",13,"0",10,"421212",10,"150120",10,"846971",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"476418",10,"276078",10,"71000",13,"0",13,"0",13,"0",10,"129340",10,"1172160",10,"646858",10,"71000",13,"0",13,"0",10,"42034",10,"412268",10,"1935576",10,"505164",10,"71000",13,"0",10,"105303",10,"108087",10,"1146022",10,"1045660",10,"146624",13,"0",13,"0",10,"175505",13,"0",10,"723531",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"7477400",10,"2791006",10,"426001",13,"0",10,"702020",10,"300241",10,"3258132",10,"18795845",10,"20204704","1"
"101648",10,"593734",10,"13841136",10,"3346458",10,"9111318",10,"1383360",13,"0",10,"10494678",10,"10319136",10,"0",10,"1992572",10,"0",10,"5626030",10,"5973852",10,"-131897",10,"-479719",10,"10974397",10,"0",10,"10494678",10,"126215",10,"27888",10,"10000",10,"0",10,"122307",10,"736058",10,"1022468",10,"1022468",10,"0",10,"3834099",10,"0",10,"257928",10,"0",10,"0",10,"0",10,"0",10,"651393",10,"0",10,"2963",10,"0",10,"626682",10,"0",10,"0",10,"252965",10,"5626030",10,"921684",10,"664223",10,"61545",10,"174715",10,"0",10,"0",10,"21201",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"262091",10,"133062",10,"12329",10,"49682",10,"0",10,"0",10,"67018",10,"1606735",10,"682658",10,"63254",10,"304573",10,"0",10,"0",10,"556250",10,"1159211",10,"408462",10,"37847",10,"219741",10,"0",10,"75625",10,"417536",10,"639414",10,"111806",10,"10360",10,"121208",10,"0",10,"0",10,"396040",10,"736058",30,"",30,"",30,"",30,"",30,"",10,"736058",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"648659",10,"0",10,"0",10,"122960",10,"0",10,"0",10,"525699",13,"0",10,"218626",10,"20257",10,"-992879",10,"0",10,"0",10,"753996",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5973852",10,"2218837",10,"205592",13,"0",10,"0",10,"75625",10,"3473798",10,"176543",10,"39277","1"
"101675",10,"11841934",10,"47637469",10,"13330858",10,"25777769",10,"8528842",10,"2346442",10,"34306611",10,"1711039",10,"36223498",10,"10989932",13,"0",10,"22629685",10,"17764171",10,"161687",10,"5027201",10,"29279410",10,"0",10,"34306611",10,"4570623",10,"362881",10,"795950",13,"0",10,"309904",10,"908725",10,"6948083",10,"1986584",13,"0",10,"8488919",13,"0",13,"0",13,"0",10,"7084796",10,"238194",13,"0",10,"1471219",13,"0",10,"986743",13,"0",10,"3576023",13,"0",10,"783792",10,"-1",10,"22629685",10,"7504221",10,"3815875",10,"279270",13,"0",13,"0",13,"0",10,"3409076",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"364172",10,"75831",10,"13454",13,"0",13,"0",13,"0",10,"274887",10,"824898",10,"899489",10,"92788",13,"0",13,"0",13,"0",10,"-167379",10,"1290793",10,"629886",10,"94797",13,"0",13,"0",13,"0",10,"566110",10,"3409783",10,"509575",10,"88709",13,"0",13,"0",13,"0",10,"2811499",10,"2383720",10,"504493",10,"94779",13,"0",13,"0",13,"0",10,"1784448",10,"1986584",30,"",30,"",30,"",30,"",30,"",10,"1986584",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"17764171",10,"6435149",10,"663797",13,"0",13,"0",13,"0",10,"10665225",10,"4494441",10,"4494441","1"
"101693",10,"8866582",10,"33595785",10,"13579716",10,"8227557",10,"11788512",10,"8607478",10,"20016069",10,"812038",10,"22775654",10,"8502357",10,"0",10,"18489530",10,"17197344",10,"38997",10,"1331183",10,"18684886",10,"0",10,"20016069",10,"2085793",10,"235090",10,"533564",10,"0",10,"771207",10,"3397548",10,"7023202",10,"4336382",10,"0",10,"10760622",10,"0",10,"0",10,"0",10,"235090",10,"0",10,"0",10,"4453087",10,"0",10,"745502",10,"0",10,"2193746",10,"0",10,"0",10,"101483",10,"18489530",10,"7958338",10,"4784112",10,"1417719",10,"673398",10,"389027",10,"191559",10,"502523",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"860066",10,"343552",10,"95213",10,"131516",10,"75978",10,"37412",10,"176395",10,"1269597",10,"673498",10,"204946",10,"56469",10,"32623",10,"16064",10,"285997",10,"3299539",10,"1592908",10,"458450",10,"202320",10,"116889",10,"57557",10,"871415",10,"3809804",10,"740095",10,"203994",10,"775668",10,"448109",10,"220652",10,"1421286",10,"0",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",10,"0",10,"0",10,"-1839371",10,"0",10,"0",10,"1839371",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"17197344",10,"8134165",10,"2380322",13,"0",10,"1062626",10,"523244",10,"5096987",10,"7875905",10,"8897263","1"
