unitid,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc5,facloc6,facloc7,facloc8,facloc9,facloc10,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq5,admreq6,admreq7,admreq8,admreq9,admreq10,admreq11,admreq12,admreq13,yrscoll,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3
"229504","1","1","-5","-5","1","-5","-5","1","-5","1","1","1","1","-5","1","1","1","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","1","-5","1","1","-5","-2","1","1","-5","-5","-5","-5","-5","1","1","1","-5","-5","-5","-5","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2"
"229522","5","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","1","1","1","-5","-5","-5","-5","1","-1","-2","-2","-2"
"229540","1","1","-5","-5","1","-5","-5","1","-5","1","-5","1","1","-5","1","-5","1","2","-2","-2","-5","1","-5","-5","1","1","-5","-5","-5","-5","1","-5","1","-2","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2"
"229586","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229595","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229610","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229638","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229647","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229656","5","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","1","-5","-5","1","-5","1","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-5","1","1","1","-5","-5","1","-5","-5","1","-2","-2","-2"
"229665","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229674","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229683","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229692","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229708","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229717","5","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2"
"229762","6","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","-5","-5","-5","-5","-5","3","-2","-2","-2"
"229771","5","1","-5","-5","1","-5","-5","1","-5","-5","-5","-5","1","-5","-5","-5","-5","2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","1","-5","-5","1","-2","-2","-2"
"229780","1","1","1","-5","-5","-5","-5","1","-5","-5","1","1","-5","-5","-5","-5","-5","1","1","-5","-5","1","1","1","1","1","-5","-5","-5","-5","1","-5","-5","-2","1","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","1","1","-5","-5","1","-5","-5","1","-2","-2","-2"
"229799","1","1","-5","-5","1","-5","-5","1","1","1","-5","1","1","1","1","-5","1","2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-2","-5","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2"
"229805","-1","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","1","1","-5","-5","-5","-5","-5","-5","1","-2","-2","-2"
"229814","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","1","1","-5","-5","-5","-5","1","-5","-5","-2","1","1","1","1","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","1","-5","1","-2","-2","-2"
"229832","1","1","-5","-5","1","-5","-5","1","1","1","-5","1","1","1","1","-5","1","2","-2","-2","-5","1","-5","-5","1","1","1","-5","1","-5","1","1","-5","-2","1","1","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2"
"229841","1","1","-5","-5","1","-5","-5","1","-5","-5","-5","1","1","-5","-5","1","1","2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-2","1","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","-5","-5","-5","-5","1","-5","-5","1","-2","-2","-2"
"229887","1","1","1","-5","1","-5","-5","1","-5","-5","-5","1","1","-5","-5","-5","-5","2","-2","-2","-5","1","1","1","1","1","1","-5","-5","-5","1","1","-5","-2","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","1","1","1","1","1","-5","-5","1","-5","-5","1","-2","-2","-2"
"229896","5","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","1","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","1","-5","1","-5","-5","-5","-5","-5","1","-2","-2","-2"
"100663","2","1","1","1","1","-5","1","1","-5","1","-5","1","1","-5","1","1","1","2","-2","-2","-5","1","-5","1","1","1","-5","-5","1","1","1","-5","-5","-2","1","1","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2"
"100690","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","1","-5","-5","-5","-5","-5","2","-2","-2","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","-5","1","1","1","-5","-5","-5","-5","-5","1","-2","-2","-2"
"229920","6","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","-5","1","1","-5","-5","1","-5","-5","-1","-2","-2","-2"
