unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,"xcmp1ay1",cmp1ay1,"xcmp1ay2",cmp1ay2,"xcmp1ay3",cmp1ay3,"xcmp2ay1",cmp2ay1,"xcmp2ay2",cmp2ay2,"xcmp2ay3",cmp2ay3,"xcmp3ay1",cmp3ay1,"xcmp3ay2",cmp3ay2,"xcmp3ay3",cmp3ay3,cindon,cindoff,cindfam,cinson,cinsoff,cinsfam,cotson,cotsoff,cotsfam
"180197",10,"1739",10,"610",10,"90",30,"",10,"2856",10,"610",10,"130",30,"",10,"7146",10,"610",10,"283",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2014",10,"2192",10,"2348",10,"2921",10,"3208",10,"3466",10,"6421",10,"7128",10,"7755",10,"600",10,"600",10,"600",30,"",30,"",30,"",30,"",30,"",30,"",10,"4500",10,"4500",10,"4500",10,"1900",10,"1900",10,"1900",10,"1800",10,"1800",10,"1800",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","9348","4748","","10466","5866","","14755","10155"
"180203",10,"2410",10,"870",10,"70",30,"",10,"2410",10,"870",10,"70",30,"",10,"2410",10,"870",10,"70",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2410",10,"2410",10,"3280",10,"2410",10,"2410",10,"3280",10,"2410",10,"2410",10,"3280",10,"1000",10,"1300",10,"1300",30,"",30,"",30,"",30,"",30,"",30,"",10,"4826",10,"6920",10,"6920",10,"4800",10,"6200",10,"6400",10,"3616",10,"4800",10,"4800",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","17900","9380","","17900","9380","","17900","9380"
"180212",10,"1440",10,"450",10,"60",30,"",10,"1440",10,"450",10,"60",30,"",10,"1440",10,"450",10,"60",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1890",10,"1890",10,"1890",10,"1890",10,"1890",10,"1890",10,"1890",10,"1890",10,"1890",10,"800",10,"800",10,"800",30,"",30,"",30,"",30,"",30,"",30,"",10,"6300",10,"6300",10,"6300",10,"2000",10,"2000",10,"2350",10,"2000",10,"2000",10,"2350",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","11340","5040","","11340","5040","","11340","5040"
"180249",10,"2424",10,"453",10,"161",30,"",10,"2424",10,"453",10,"161",30,"",10,"7728",10,"453",10,"382",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2530",10,"2794",10,"2808",10,"2530",10,"2794",10,"2808",10,"7120",10,"7936",10,"8164",10,"950",10,"950",10,"950",30,"",30,"",30,"",30,"",30,"",30,"",10,"4090",10,"4186",10,"4308",10,"2690",10,"2728",10,"2792",10,"2690",10,"2728",10,"2792",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","10858","6550","","10858","6550","","16214","11906"
"180258",10,"13500",10,"540",10,"425",30,"",10,"13500",10,"540",10,"425",30,"",10,"13500",10,"540",10,"425",30,"",10,"7600",10,"360",10,"475",10,"7600",10,"360",10,"475",10,"7600",10,"360",10,"475",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"11940",10,"12908",10,"14040",10,"11940",10,"12908",10,"14040",10,"11940",10,"12908",10,"14040",10,"750",10,"750",10,"1100",10,"5100",10,"5550",10,"5670",10,"500",10,"550",10,"650",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","21460","","","21460","","","21460","",""
"180276",10,"2267",10,"607",10,"155",30,"",10,"2267",10,"607",10,"155",30,"",10,"2267",10,"607",10,"155",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3058",10,"2731",10,"2900",10,"3058",10,"2731",10,"2900",10,"3058",10,"2731",10,"2900",10,"1050",10,"1100",10,"1160",30,"",30,"",30,"",30,"",30,"",30,"",10,"6100",10,"6500",10,"6700",10,"600",10,"1000",10,"1240",10,"4150",10,"4550",10,"5700",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","12000","9760","","12000","9760","","12000","9760"
"180328",10,"2400",10,"380",10,"75",30,"",10,"2400",10,"380",10,"75",30,"",10,"2400",10,"380",10,"75",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2780",10,"2780",10,"2780",10,"2780",10,"2780",10,"2780",10,"2780",10,"2780",10,"2780",10,"700",10,"1000",10,"1000",30,"",30,"",30,"",30,"",30,"",30,"",10,"6824",10,"8500",10,"8500",10,"1000",10,"1400",10,"1400",10,"8474",10,"8474",10,"8474",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","13680","12254","","13680","12254","","13680","12254"
"180373",10,"1680",10,"1155",10,"94",30,"",10,"2550",10,"1155",10,"123",30,"",10,"4740",10,"1155",10,"196",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2550",10,"2820",10,"2835",10,"3300",10,"3690",10,"3705",10,"5250",10,"5880",10,"5895",10,"800",10,"900",10,"900",10,"4966",10,"4250",10,"4250",10,"800",10,"800",10,"800",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","8785","","","9655","","","11845","",""
"180416",10,"3716",10,"1100",10,"220",30,"",10,"3716",10,"1100",10,"220",30,"",10,"12657",10,"1150",10,"607",30,"",10,"4694",10,"1100",10,"250",10,"4694",10,"1100",10,"250",10,"16103",10,"1150",10,"750",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4566",10,"4531",10,"4816",10,"4566",10,"4531",10,"4816",10,"12006",10,"13335",10,"13807",10,"750",10,"800",10,"800",10,"4977",10,"5128",10,"5356",10,"3200",10,"3200",10,"3200",10,"4977",10,"5128",10,"5324",10,"3200",10,"3200",10,"3200",10,"2700",10,"2700",10,"2700",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","14172","14140","8316","14172","14140","8316","23163","23131","17307"
"180461",10,"4106",10,"1114",10,"253",30,"",10,"4106",10,"1114",10,"253",30,"",10,"13745",10,"1201",10,"658",30,"",10,"3695",10,"999",10,"287",10,"3695",10,"999",10,"287",10,"10924",10,"1063",10,"693",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4145",10,"4577",10,"5221",10,"4145",10,"4577",10,"5221",10,"12707",10,"14177",10,"14945",10,"890",10,"930",10,"980",10,"5520",10,"5746",10,"6156",10,"2420",10,"2470",10,"2550",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","14907","","","14907","","","24631","",""
