unitid,efcstate,line,"xefres01",efres01,"xefres02",efres02
"100654","1","1",10,"432",10,"400"
"100654","2","2",10,"1",10,"1"
"100654","4","4",10,"1",10,"1"
"100654","5","5",10,"5",10,"5"
"100654","6","6",10,"15",10,"14"
"100654","8","8",10,"2",10,"1"
"100654","9","9",10,"1",10,"1"
"100654","10","10",10,"1",10,"1"
"100654","11","11",10,"2",10,"2"
"100654","12","12",10,"19",10,"16"
"100654","13","13",10,"61",10,"57"
"100654","17","17",10,"41",10,"38"
"100654","18","18",10,"12",10,"11"
"100654","20","20",10,"1",10,"1"
"100654","21","21",10,"4",10,"4"
"100654","22","22",10,"10",10,"10"
"100654","24","24",10,"7",10,"6"
"100654","25","25",10,"5",10,"5"
"100654","26","26",10,"55",10,"49"
"100654","28","28",10,"18",10,"15"
"100654","29","29",10,"41",10,"38"
"100654","34","34",10,"2",10,"2"
"100654","36","36",10,"14",10,"11"
"100654","37","37",10,"6",10,"5"
"100654","39","39",10,"20",10,"19"
"100654","40","40",10,"2",10,"1"
"100654","42","42",10,"1",10,"1"
"100654","45","45",10,"3",10,"3"
"100654","47","47",10,"32",10,"26"
"100654","48","48",10,"17",10,"13"
"100654","50","50",10,"5",10,"4"
"100654","53","53",10,"4",10,"3"
"100654","55","55",10,"3",10,"3"
"100654","57","57",10,"40",10,"32"
"100654","58","999",10,"883",10,"799"
"100654","72","72",10,"1",10,"1"
"100654","89","999",10,"1",10,"1"
"100654","98","98",10,"1",30,""
"100654","99","99",10,"885",10,"800"
"100663","98","98",10,"1416",30,""
"100663","99","99",10,"1416",30,""
"100690","98","98",10,"3",30,""
"100690","99","99",10,"3",30,""
"100706","1","1",10,"670",10,"616"
"100706","6","6",10,"3",10,"0"
"100706","8","8",10,"1",10,"1"
"100706","10","10",10,"1",10,"0"
"100706","11","11",10,"1",10,"1"
"100706","12","12",10,"1",10,"1"
"100706","13","13",10,"7",10,"6"
"100706","17","17",10,"3",10,"3"
"100706","18","18",10,"1",10,"0"
"100706","19","19",10,"1",10,"1"
"100706","21","21",10,"7",10,"7"
"100706","22","22",10,"3",10,"3"
"100706","23","23",10,"2",10,"1"
"100706","24","24",10,"1",10,"1"
"100706","26","26",10,"2",10,"2"
"100706","28","28",10,"5",10,"5"
"100706","29","29",10,"3",10,"3"
"100706","36","36",10,"3",10,"3"
