unitid,"xf1a01",f1a01,"xf1a02",f1a02,"xf1a03",f1a03,"xf1a04",f1a04,"xf1a05",f1a05,"xf1a06",f1a06,"xf1a07",f1a07,"xf1a08",f1a08,"xf1a09",f1a09,"xf1a10",f1a10,"xf1a11",f1a11,"xf1a12",f1a12,"xf1a13",f1a13,"xf1a14",f1a14,"xf1a15",f1a15,"xf1a16",f1a16,"xf1a17",f1a17,"xf1a18",f1a18,"xf1a211",f1a211,"xf1a212",f1a212,"xf1a213",f1a213,"xf1a214",f1a214,"xf1a221",f1a221,"xf1a222",f1a222,"xf1a223",f1a223,"xf1a224",f1a224,"xf1a231",f1a231,"xf1a232",f1a232,"xf1a233",f1a233,"xf1a234",f1a234,"xf1a241",f1a241,"xf1a242",f1a242,"xf1a243",f1a243,"xf1a244",f1a244,"xf1a251",f1a251,"xf1a252",f1a252,"xf1a253",f1a253,"xf1a254",f1a254,"xf1a261",f1a261,"xf1a262",f1a262,"xf1a263",f1a263,"xf1a264",f1a264,"xf1a271",f1a271,"xf1a272",f1a272,"xf1a273",f1a273,"xf1a274",f1a274,"xf1a281",f1a281,"xf1a282",f1a282,"xf1a283",f1a283,"xf1a284",f1a284,"xf1b01",f1b01,"xf1b02",f1b02,"xf1b03",f1b03,"xf1b04",f1b04,"xf1b05",f1b05,"xf1b06",f1b06,"xf1b07",f1b07,"xf1b08",f1b08,"xf1b09",f1b09,"xf1b10",f1b10,"xf1b11",f1b11,"xf1b12",f1b12,"xf1b13",f1b13,"xf1b14",f1b14,"xf1b15",f1b15,"xf1b16",f1b16,"xf1b17",f1b17,"xf1b18",f1b18,"xf1b19",f1b19,"xf1b20",f1b20,"xf1b21",f1b21,"xf1b22",f1b22,"xf1b23",f1b23,"xf1b24",f1b24,"xf1b25",f1b25,"xf1c011",f1c011,"xf1c012",f1c012,"xf1c013",f1c013,"xf1c014",f1c014,"xf1c015",f1c015,"xf1c021",f1c021,"xf1c022",f1c022,"xf1c023",f1c023,"xf1c024",f1c024,"xf1c025",f1c025,"xf1c031",f1c031,"xf1c032",f1c032,"xf1c033",f1c033,"xf1c034",f1c034,"xf1c035",f1c035,"xf1c051",f1c051,"xf1c052",f1c052,"xf1c053",f1c053,"xf1c054",f1c054,"xf1c055",f1c055,"xf1c061",f1c061,"xf1c062",f1c062,"xf1c063",f1c063,"xf1c064",f1c064,"xf1c065",f1c065,"xf1c071",f1c071,"xf1c072",f1c072,"xf1c073",f1c073,"xf1c074",f1c074,"xf1c075",f1c075,"xf1c081",f1c081,"xf1c082",f1c082,"xf1c083",f1c083,"xf1c084",f1c084,"xf1c085",f1c085,"xf1c091",f1c091,"xf1c094",f1c094,"xf1c101",f1c101,"xf1c102",f1c102,"xf1c103",f1c103,"xf1c104",f1c104,"xf1c105",f1c105,"xf1c111",f1c111,"xf1c112",f1c112,"xf1c113",f1c113,"xf1c114",f1c114,"xf1c115",f1c115,"xf1c121",f1c121,"xf1c122",f1c122,"xf1c123",f1c123,"xf1c124",f1c124,"xf1c125",f1c125,"xf1c131",f1c131,"xf1c132",f1c132,"xf1c133",f1c133,"xf1c134",f1c134,"xf1c135",f1c135,"xf1c141",f1c141,"xf1c142",f1c142,"xf1c143",f1c143,"xf1c144",f1c144,"xf1c145",f1c145,"xf1c151",f1c151,"xf1c152",f1c152,"xf1c153",f1c153,"xf1c154",f1c154,"xf1c155",f1c155,"xf1c161",f1c161,"xf1c165",f1c165,"xf1c171",f1c171,"xf1c172",f1c172,"xf1c173",f1c173,"xf1c174",f1c174,"xf1c175",f1c175,"xf1c181",f1c181,"xf1c182",f1c182,"xf1c183",f1c183,"xf1c184",f1c184,"xf1c185",f1c185,"xf1c191",f1c191,"xf1c192",f1c192,"xf1c193",f1c193,"xf1c194",f1c194,"xf1c195",f1c195,"xf1d01",f1d01,"xf1d02",f1d02,"xf1d03",f1d03,"xf1d04",f1d04,"xf1d05",f1d05,"xf1d06",f1d06,"xf1h01",f1h01,"xf1h02",f1h02,"xf1e01",f1e01,"xf1e02",f1e02,"xf1e03",f1e03,"xf1e04",f1e04,"xf1e05",f1e05,"xf1e06",f1e06,"xf1e07",f1e07,"xf1e08",f1e08,"xf1e09",f1e09,"xf1e10",f1e10,"xf1e11",f1e11,f1fha
"100654",10,"48848932",10,"162733395",10,"51160174",10,"0",10,"111573221",10,"160422153",10,"2742641",10,"24496199",10,"27238840",10,"61427147",10,"0",10,"61427147",10,"88665987",10,"48442540",10,"20886214",13,"0",10,"2427412",10,"71756166",10,"4982207",13,"0",10,"0",10,"4982207",10,"0",13,"0",10,"0",13,"0",10,"130997276",10,"7099418",10,"0",10,"138096694",10,"5890796",10,"247086",10,"114975",10,"6022907",10,"8213731",10,"802299",10,"0",10,"9016030",13,"0",13,"0",10,"0",13,"0",10,"16542922",10,"1118935",10,"13046300",10,"4615557",10,"47574470",10,"3585704",10,"0",10,"51160174",10,"26977609",10,"28965398",10,"3089880",10,"1174655",10,"10049798",13,"0",13,"0",10,"2159900",10,"72417240",10,"3457991",10,"33926225",13,"0",13,"0",13,"0",13,"0",10,"0",10,"11670",10,"5263742",10,"42659628",13,"0",10,"7099418",13,"0",10,"0",10,"7099418",10,"122176286",10,"21317976",10,"17280432",10,"3086165",13,"0",10,"951379",10,"10664248",10,"5236936",10,"787738",13,"0",10,"4639574",10,"11740228",10,"6863653",10,"1157910",13,"0",10,"3718665",10,"6489464",10,"3486069",10,"554114",13,"0",10,"2449281",10,"8168292",10,"4317804",10,"723005",13,"0",10,"3127483",10,"17568801",10,"7102015",10,"3585670",13,"0",10,"6881116",10,"6533577",10,"2272729",10,"423734",13,"0",10,"3837114",10,"6699573",10,"6699573",10,"11308974",30,"",30,"",30,"",10,"11308974",10,"7201112",10,"2464113",10,"439288",13,"0",10,"4297711",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"107692245",10,"49023751",10,"10757624",10,"6699573",10,"41211297",10,"3301929",10,"3301929",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3301929",10,"0",10,"0",10,"0",10,"3301929",10,"110994174",10,"49023751",10,"10757624",10,"6699573",10,"44513226",10,"122176286",10,"110994174",10,"11182112",10,"60574054",10,"0",10,"71756166",30,"",30,"",10,"10124766",10,"491993",13,"0",13,"0",13,"0",10,"7406568",10,"18023327",10,"6714353",10,"0",10,"6714353",10,"11308974","2"
"100663",10,"584196744",10,"2082831475",10,"932666875",10,"916741044",10,"2066905644",10,"2651102388",10,"20670618",10,"292854620",10,"313525238",10,"639127925",10,"16896513",10,"656024438",10,"969549676",10,"504206201",10,"205004148",10,"187925224",10,"784417139",10,"1681552712",10,"48309188",10,"573866",10,"258720",10,"48624334",10,"59718701",10,"11411790",10,"0",10,"71130491",10,"950888875",10,"66976081",10,"3054293",10,"1014810663",10,"503988206",10,"76135717",10,"16939413",10,"563184510",10,"58358368",10,"3775131",10,"0",10,"62133499",10,"0",13,"0",10,"0",10,"0",10,"234544585",10,"122048886",10,"33645493",10,"322947978",10,"850780901",10,"99050369",10,"17164395",10,"932666875",10,"62948898",10,"294608395",10,"2911291",10,"42057363",10,"19057783",10,"652669126",10,"44370073",10,"181386113",10,"1300009042",10,"0",10,"219883401",10,"0",10,"17129894",10,"58592",10,"90927",10,"33874299",10,"99171347",10,"3695469",10,"373903929",10,"5233490",10,"11934310",10,"9424416",10,"0",10,"26592216",10,"1700505187",10,"209831103",10,"146479035",10,"32111278",10,"0",10,"31240790",10,"233492745",10,"126868026",10,"27409864",10,"0",10,"79214855",10,"174650614",10,"34206513",10,"6073996",10,"0",10,"134370105",10,"67775744",10,"41321055",10,"8926887",10,"0",10,"17527802",10,"16807745",10,"8452581",10,"1881342",10,"0",10,"6473822",10,"58290162",10,"30097689",10,"5237426",10,"0",10,"22955047",10,"48186376",10,"16663080",10,"4053906",10,"0",10,"27469390",10,"98549412",10,"98549412",10,"19636901",30,"",30,"",30,"",10,"19636901",10,"24301526",10,"8314497",10,"1963115",10,"0",10,"14023914",10,"607260443",10,"259701961",10,"61129302",10,"0",10,"286429180",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3000",10,"3000",10,"0",10,"0",10,"0",10,"1558785771",10,"672107437",10,"148787116",10,"98549412",10,"639341806",10,"10204582",10,"10204582",10,"2328936",10,"0",10,"0",10,"0",10,"2328936",10,"12533518",10,"0",10,"0",10,"0",10,"12533518",10,"1571319289",10,"672107437",10,"148787116",10,"98549412",10,"651875324",10,"1700505187",10,"1571319289",10,"129185898",10,"1552366814",10,"0",10,"1681552712",10,"251004030",10,"279552521",10,"9963501",10,"9313072",10,"124288",10,"509261",10,"6006469",10,"13622676",10,"39539267",10,"19511961",10,"390405",10,"19902366",10,"19636901","1"
"100706",10,"45507127",10,"237468595",10,"118065363",10,"52066668",10,"171469900",10,"216977027",10,"1830000",10,"23120674",10,"24950674",10,"60046000",10,"0",10,"60046000",10,"84996674",10,"71680503",10,"5635099",10,"1777384",10,"52887367",10,"131980353",10,"8084288",10,"109071",10,"400000",10,"7793359",10,"0",10,"0",10,"0",10,"0",10,"153292560",10,"4484958",10,"1071236",10,"156706282",10,"48269617",10,"3847239",10,"345032",10,"51771824",10,"20161109",10,"1036021",10,"0",10,"21197130",10,"745040",10,"0",10,"745040",10,"0",10,"0",10,"0",10,"0",10,"0",10,"110836743",10,"9090110",10,"1861490",10,"118065363",10,"24714197",10,"46027793",10,"997584",10,"3527435",10,"4593743",10,"0",10,"0",10,"2606536",10,"82467288",10,"0",10,"37430572",10,"0",10,"0",10,"0",10,"0",10,"2391172",10,"4647883",10,"0",10,"44469627",10,"0",10,"618383",10,"0",10,"0",10,"618383",10,"127555298",10,"32868400",10,"22900874",10,"5792222",10,"0",10,"4175304",10,"39485541",10,"24503885",10,"5789805",10,"0",10,"9191851",10,"3804260",10,"1011105",10,"215429",10,"0",10,"2577726",10,"4383913",10,"2758504",10,"742624",10,"0",10,"882785",10,"6986483",10,"2835913",10,"670673",10,"0",10,"3479897",10,"9376108",10,"6279874",10,"1837199",10,"0",10,"1259035",10,"7636922",10,"2326026",10,"672452",10,"0",10,"4638444",10,"9090110",10,"9090110",10,"583429",30,"",30,"",30,"",10,"583429",10,"3072659",10,"473723",10,"84612",10,"0",10,"2514324",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"117287825",10,"63089904",10,"15805016",10,"9090110",10,"29302795",10,"2289260",10,"2289260",10,"49820",10,"0",10,"0",10,"0",10,"49820",10,"2339080",10,"0",10,"0",10,"0",10,"2339080",10,"119626905",10,"63089904",10,"15805016",10,"9090110",10,"31641875",10,"127555298",10,"119626905",10,"7928393",10,"124051960",10,"0",10,"131980353",10,"20866634",10,"23493510",10,"3639435",10,"225784",10,"18983",10,"0",10,"1207468",10,"3067825",10,"8159495",10,"7283473",10,"292593",10,"7576066",10,"583429","1"
"100724",10,"65374302",10,"134253607",10,"62827017",10,"6772638",10,"78199228",10,"143573530",10,"1625000",10,"14677007",10,"16302007",10,"59180739",10,"1733008",10,"60913747",10,"77215754",10,"48863358",10,"8909744",10,"200000",10,"8384674",10,"66357776",10,"12583433",10,"445582",10,"0",10,"13029015",10,"6542612",10,"0",10,"0",10,"6542612",10,"86589868",10,"0",10,"0",10,"86589868",10,"17731582",10,"1858050",10,"213679",10,"19375953",10,"8187266",10,"280249",10,"0",10,"8467515",10,"0",13,"0",10,"0",13,"0",10,"0",10,"248643",10,"0",10,"248643",10,"57607179",10,"5427519",10,"207681",10,"62827017",10,"21097589",10,"20347055",10,"5616326",10,"1533892",10,"2482424",10,"0",10,"0",10,"1325805",10,"52403091",13,"0",10,"31371022",13,"0",13,"0",13,"0",13,"0",10,"0",10,"626104",10,"9145",10,"32006271",10,"170667",13,"0",13,"0",10,"0",10,"170667",10,"84580029",10,"20931882",10,"17079418",10,"3236024",13,"0",10,"616440",10,"2324378",10,"446576",10,"79287",13,"0",10,"1798515",10,"2285953",10,"1003782",10,"182765",13,"0",10,"1099406",10,"6629664",10,"3454018",10,"681914",13,"0",10,"2493732",10,"7914876",10,"4099319",10,"1458949",13,"0",10,"2356608",10,"12986045",10,"4434289",10,"1680167",13,"0",10,"6871589",10,"6654060",10,"3643903",10,"898518",13,"0",10,"2111639",10,"5427519",10,"5427519",10,"6411425",30,"",30,"",30,"",10,"6411425",10,"7232691",10,"2069404",10,"492488",13,"0",10,"4670799",10,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"553717",10,"0",10,"0",10,"0",10,"553717",10,"79352210",10,"36230709",10,"8710112",10,"5427519",10,"28983870",10,"3081494",10,"3081494",10,"200160",10,"0",10,"0",10,"0",10,"200160",10,"3281654",10,"0",10,"0",10,"0",10,"3281654",10,"82633864",10,"36230709",10,"8710112",10,"5427519",10,"32265524",10,"84580029",10,"82633864",10,"1946165",10,"64481081",10,"-69470",10,"66357776",10,"26561916",10,"31398122",10,"10800787",10,"860125",10,"1202950",10,"0",10,"0",10,"6411425",10,"19275287",10,"7075124",10,"5788738",10,"12863862",10,"6411425","1"
"100733",10,"2786878",10,"3240956",10,"1922821",10,"6482168",10,"7800303",10,"10587181",10,"0",10,"1567916",10,"1567916",10,"0",10,"0",10,"0",10,"1567916",10,"1355027",10,"0",10,"0",10,"7664238",10,"9019265",10,"106750",10,"0",10,"0",10,"106750",10,"56543",10,"0",10,"0",10,"56543",10,"1706533",10,"95891",10,"0",10,"1802424",10,"1371130",10,"144291",10,"85034",10,"1430387",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1922821",10,"118256",10,"0",10,"2041077",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8640376",10,"8640376",10,"0",10,"50124",10,"0",10,"0",10,"0",10,"0",10,"0",10,"169940",10,"17464",10,"237528",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8877904",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8436349",10,"5625000",10,"1319445",10,"198230",10,"1293674",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8436349",10,"5625000",10,"1319445",10,"198230",10,"1293674",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8436349",10,"5625000",10,"1319445",10,"198230",10,"1293674",10,"8877904",10,"8436349",10,"441555",10,"8577710",10,"0",10,"9019265",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",10,"0",10,"0",10,"0","2"
"100751",10,"163373113",10,"841634449",10,"339591881",10,"740154043",10,"1242196611",10,"1405569724",10,"5415786",10,"130712218",10,"136128004",10,"317387939",10,"13771071",10,"331159010",10,"467287014",10,"350877390",10,"213904409",10,"201945875",10,"171555036",10,"938282710",10,"24951293",10,"0",10,"2254265",10,"22697028",10,"25219938",10,"124239",10,"2529794",10,"22814383",10,"485621802",10,"20241405",10,"44417890",10,"461445317",10,"140130426",10,"9357432",10,"6983051",10,"142504807",10,"79155576",10,"4260783",10,"0",10,"83416359",10,"0",13,"0",10,"0",13,"0",10,"0",10,"60838847",10,"-47917708",10,"108756555",10,"320588533",10,"25686031",10,"6682683",10,"339591881",10,"90121208",10,"54229241",10,"8455153",10,"2807982",10,"71727171",13,"0",13,"0",10,"21605456",10,"248946211",10,"0",10,"123076215",10,"0",10,"40000",10,"201972",10,"616133",10,"26596023",10,"67248521",10,"0",10,"217778864",10,"0",10,"11544744",10,"9686477",10,"0",10,"21231221",10,"487956296",10,"127372436",10,"85487415",10,"19548761",13,"0",10,"22336260",10,"28122701",10,"12687167",10,"2053017",13,"0",10,"13382517",10,"36242047",10,"18619316",10,"3814809",13,"0",10,"13807922",10,"36096096",10,"21067585",10,"5217347",13,"0",10,"9811164",10,"11286255",10,"6581457",10,"1340506",13,"0",10,"3364292",10,"30955541",10,"18994254",10,"9370056",13,"0",10,"2591231",10,"32495994",10,"10718317",10,"3243607",13,"0",10,"18534070",10,"25686031",10,"25686031",10,"9856750",30,"",30,"",30,"",10,"9856750",10,"61352494",10,"23176051",10,"5708235",13,"0",10,"32468208",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"399466345",10,"197331562",10,"50296338",10,"25686031",10,"126152414",10,"4645089",10,"4645089",10,"211793",10,"0",10,"0",10,"0",10,"211793",10,"4856882",10,"0",10,"0",10,"0",10,"4856882",10,"404323227",10,"197331562",10,"50296338",10,"25686031",10,"131009296",10,"487956296",10,"404323227",10,"83633069",10,"854649611",10,"30",10,"938282710",10,"309532755",10,"358823732",10,"10734748",10,"2468194",10,"61750",10,"7715169",13,"0",10,"21669315",10,"42649176",10,"24630219",10,"8162207",10,"32792426",10,"9856750","1"
"100760",10,"6937724",10,"25142575",10,"8139432",10,"2268568",10,"19271711",10,"26209435",10,"240000",10,"2939915",10,"3179915",10,"6635000",10,"280071",10,"6915071",10,"10094986",10,"12620773",10,"7651",10,"500",10,"3485525",10,"16114449",10,"1331474",10,"0",10,"0",10,"1331474",10,"1146121",10,"0",10,"0",10,"1146121",10,"12013508",10,"6567243",10,"0",10,"18580751",10,"1387753",10,"1091868",10,"105134",10,"2374487",10,"487493",10,"9678",10,"4590",10,"492581",10,"0",10,"0",10,"0",10,"0",10,"3563148",10,"4327214",10,"6673201",10,"1217161",10,"7466624",10,"782532",10,"109724",10,"8139432",10,"1879644",10,"5836625",10,"560185",10,"85539",10,"1066895",10,"0",10,"0",10,"23106",10,"9451994",10,"0",10,"6930901",10,"0",10,"0",10,"0",10,"0",10,"10000",10,"159838",10,"28415",10,"7129154",10,"0",10,"2465188",10,"0",10,"0",10,"2465188",10,"19046336",10,"6641178",10,"4733664",10,"1004657",10,"0",10,"902857",10,"0",10,"0",10,"0",10,"0",10,"0",10,"149732",10,"86350",10,"26086",10,"0",10,"37296",10,"665784",10,"412031",10,"90396",10,"0",10,"163357",10,"1161916",10,"743365",10,"199302",10,"0",10,"219249",10,"1374046",10,"826239",10,"228784",10,"0",10,"319023",10,"1045518",10,"342078",10,"111616",10,"0",10,"591824",10,"782532",10,"782532",10,"1594861",30,"",30,"",30,"",10,"1594861",10,"1504122",10,"436968",10,"126242",10,"0",10,"940912",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"14919689",10,"7580695",10,"1787083",10,"782532",10,"4769379",10,"305042",10,"305042",10,"829567",10,"0",10,"0",10,"0",10,"829567",10,"1134609",10,"0",10,"0",10,"0",10,"1134609",10,"16054298",10,"7580695",10,"1787083",10,"782532",10,"5903988",10,"19046336",10,"16054298",10,"2992038",10,"13122411",10,"0",10,"16114449",10,"5023",10,"5033",10,"3028145",10,"63330",10,"8000",10,"0",10,"51451",10,"1078691",10,"4229617",10,"2634756",10,"0",10,"2634756",10,"1594861","1"
"100812",10,"9487190",10,"19339980",10,"7285555",10,"631440",10,"12685865",10,"22173055",10,"190000",10,"2420800",10,"2610800",10,"2395000",10,"551048",10,"2946048",10,"5556848",10,"9971693",10,"472903",10,"0",10,"6171611",10,"16616207",10,"502268",10,"0",10,"0",10,"502268",10,"854933",10,"13565",10,"0",10,"868498",10,"15167247",10,"237046",10,"0",10,"15404293",10,"1938448",10,"211613",10,"79865",10,"2070196",10,"870330",10,"44669",10,"0",10,"914999",10,"0",10,"0",10,"0",10,"0",10,"0",10,"81994",10,"0",10,"81994",10,"6739564",10,"625855",10,"79864",10,"7285555",10,"4031707",10,"10597296",10,"888340",10,"26087",10,"120608",13,"0",13,"0",10,"9166",10,"15673204",13,"0",10,"9120270",13,"0",13,"0",13,"0",13,"0",10,"0",10,"120329",10,"24294",10,"9264893",10,"0",10,"0",10,"0",10,"0",10,"0",10,"24938097",10,"8250274",10,"6259426",10,"1350818",10,"0",10,"640030",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1025782",10,"695853",10,"187858",10,"0",10,"142071",10,"1593222",10,"1222819",10,"302936",10,"0",10,"67467",10,"2929770",10,"1362714",10,"377093",10,"0",10,"1189963",10,"2066380",10,"932488",10,"312796",10,"0",10,"821096",10,"625855",10,"625855",10,"6290070",30,"",30,"",30,"",10,"6290070",10,"118770",10,"10673",10,"786",10,"0",10,"107311",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"22900123",10,"10483973",10,"2532287",10,"625855",10,"9258008",10,"142599",10,"142599",10,"192496",10,"0",10,"0",10,"0",10,"192496",10,"335095",10,"0",10,"0",10,"0",10,"335095",10,"23235218",10,"10483973",10,"2532287",10,"625855",10,"9593103",10,"24938097",10,"23235218",10,"1702879",10,"14913328",10,"0",10,"16616207",30,"",30,"",10,"2213408",10,"8291120",10,"12475",10,"0",10,"0",10,"380390",10,"10897393",10,"4607323",10,"0",10,"4607323",10,"6290070","2"
"100830",10,"7365935",10,"79641317",10,"42640129",10,"27265950",10,"64267138",10,"71633073",10,"265000",10,"11184520",10,"11449520",10,"1650000",10,"2251799",10,"3901799",10,"15351319",10,"36317375",10,"4641481",10,"5069196",10,"10253702",10,"56281754",10,"1085032",13,"0",10,"0",10,"1085032",10,"721111",10,"750096",10,"0",10,"1471207",10,"51160455",10,"2133440",10,"0",10,"53293895",10,"4895914",10,"303610",10,"783687",10,"4415837",10,"19231090",10,"681891",10,"44520",10,"19868461",13,"0",13,"0",10,"0",13,"0",10,"1232677",10,"997498",10,"2229543",10,"632",10,"38714853",10,"2019103",10,"221223",10,"40512733",10,"15625025",10,"8004145",10,"3842416",10,"150851",10,"3988656",13,"0",10,"0",10,"2696506",10,"34307599",13,"0",10,"19569737",13,"0",13,"0",13,"0",13,"0",10,"228055",10,"1013591",10,"0",10,"20811383",10,"2011260",10,"22278",10,"2575332",10,"0",10,"4608870",10,"59727852",10,"20527719",10,"15499917",10,"2940388",13,"0",10,"2087414",10,"294938",10,"161482",10,"27223",13,"0",10,"106233",10,"7555799",10,"2709148",10,"527527",13,"0",10,"4319124",10,"3840307",10,"2314631",10,"483075",13,"0",10,"1042601",10,"4507606",10,"2630247",10,"559853",13,"0",10,"1317506",10,"7335613",10,"3438530",10,"1454550",13,"0",10,"2442533",10,"3565657",10,"1128145",10,"332793",13,"0",10,"2104719",10,"2591143",10,"2591143",10,"2823712",30,"",30,"",30,"",10,"2823712",10,"4728624",10,"913102",10,"193576",13,"0",10,"3621946",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"57771118",10,"28795202",10,"6518985",10,"2591143",10,"19865788",10,"56768",10,"56768",10,"0",10,"0",10,"0",10,"0",10,"0",10,"56768",10,"0",10,"0",10,"0",10,"56768",10,"57827886",10,"28795202",10,"6518985",10,"2591143",10,"19922556",10,"59727852",10,"57827886",10,"1899966",10,"54051011",10,"330777",10,"56281754",10,"12613480",10,"15676599",10,"4500768",10,"480261",10,"47117",13,"0",10,"327916",10,"1246682",10,"6602744",10,"3421394",10,"357638",10,"3779032",10,"2823712","1"
"100858",10,"164263925",10,"846810196",10,"441357582",10,"558225175",10,"963677789",10,"1127941714",10,"10982414",10,"145235605",10,"156218019",10,"283544108",10,"7051245",10,"290595353",10,"446813372",10,"316242810",10,"81793680",10,"14504182",10,"268587670",10,"681128342",10,"34773992",10,"2114366",10,"1630",10,"36886728",10,"68669954",10,"9699471",10,"0",10,"78369425",10,"461263238",10,"50806924",10,"627125",10,"511443037",10,"137011093",10,"12534489",10,"8918879",10,"140626703",10,"90860776",10,"7412368",10,"40160",10,"98232984",10,"0",13,"0",10,"0",13,"0",10,"39136655",10,"61895696",10,"27118780",10,"73913571",10,"424115385",10,"25845493",10,"8603296",10,"441357582",10,"158155906",10,"87217294",10,"2616353",10,"11812969",10,"67865607",10,"0",10,"0",10,"29640481",10,"357308610",13,"0",10,"189014441",13,"0",13,"0",13,"0",13,"0",10,"15657565",10,"23767710",10,"0",10,"228439716",10,"13071484",10,"18638910",10,"696092",10,"0",10,"32406486",10,"618154812",10,"163742578",10,"117529698",10,"22067536",13,"0",10,"24145344",10,"91152294",10,"46696597",10,"8941127",13,"0",10,"35514570",10,"65459422",10,"36707176",10,"10925730",13,"0",10,"17826516",10,"39052825",10,"23338811",10,"5150581",13,"0",10,"10563433",10,"11445400",10,"6506771",10,"1317479",13,"0",10,"3621150",10,"38922278",10,"27375892",10,"9973260",13,"0",10,"1573126",10,"28372207",10,"14680899",10,"4256266",13,"0",10,"9435042",10,"25845493",10,"25845493",10,"13180171",30,"",30,"",30,"",10,"13180171",10,"66665387",10,"20445403",10,"3955624",13,"0",10,"42264360",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"543838055",10,"293281247",10,"66587603",10,"25845493",10,"158123712",10,"9047968",10,"9047968",10,"0",10,"0",10,"0",10,"0",10,"0",10,"9047968",10,"0",10,"0",10,"0",10,"9047968",10,"552886023",10,"293281247",10,"66587603",10,"25845493",10,"167171680",10,"618154812",10,"552886023",10,"65268789",10,"615859553",10,"0",10,"681128342",10,"252255457",10,"288453211",10,"7122104",10,"962636",10,"0",10,"0",10,"12502459",10,"27331426",10,"47918625",10,"33261857",10,"1476597",10,"34738454",10,"13180171","1"
