unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,cindon,cinson,cotson,cindoff,cinsoff,cotsoff,cindfam,cinsfam,cotsfam
"367413",10,"17000",10,"3342",30,"",30,"",10,"17000",10,"3342",30,"",30,"",10,"17000",10,"3342",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"11692",10,"15000",10,"17000",10,"11692",10,"15000",10,"17000",10,"11692",10,"15000",10,"17000",10,"2706",10,"3107",10,"3342",10,"6254",10,"6566",10,"6566",10,"450",10,"480",10,"500",10,"5000",10,"5000",10,"5500",10,"450",10,"480",10,"500",10,"450",10,"480",10,"500","27408","27408","27408","26342","26342","26342","20842","20842","20842"
"367459",10,"1104",10,"204",10,"46",30,"",10,"2208",10,"204",10,"92",30,"",10,"2808",10,"204",10,"117",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1008",10,"1152",10,"1308",10,"2016",10,"2256",10,"2412",10,"2520",10,"2568",10,"2724",10,"667",10,"734",10,"807",30,"",30,"",30,"",30,"",30,"",30,"",10,"8579",10,"9437",10,"10381",10,"5771",10,"6348",10,"6983",10,"4104",10,"4514",10,"4966","","","","19479","20583","20895","7081","8185","8497"
"367839",10,"13600",10,"220",23,"467",30,"",10,"13600",10,"220",23,"467",30,"",10,"13600",10,"220",23,"467",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"13820",10,"13820",10,"13820",10,"13820",10,"13820",10,"13820",10,"13820",10,"13820",10,"13820",10,"700",10,"700",10,"700",10,"7300",10,"7300",10,"7300",10,"270",10,"270",10,"270",10,"9810",10,"10000",10,"10000",10,"320",10,"320",10,"320",10,"320",10,"320",10,"320","22090","22090","22090","24840","24840","24840","14840","14840","14840"
"367884",10,"8160",10,"380",10,"340",30,"",10,"8160",10,"380",10,"340",30,"",10,"8160",10,"380",10,"340",30,"",10,"8280",10,"380",10,"460",10,"8280",10,"380",10,"460",10,"8280",10,"380",10,"460",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"7230",10,"8050",10,"8540",10,"7230",10,"8050",10,"8540",10,"7230",10,"8050",10,"8540",10,"800",10,"1000",10,"1000",30,"",30,"",30,"",30,"",30,"",30,"",10,"6560",10,"6560",10,"6560",10,"3300",10,"2558",10,"2558",10,"3300",10,"2558",10,"2558","","","","18658","18658","18658","12098","12098","12098"
"367893",10,"2520",10,"30",10,"105",30,"",10,"2520",10,"30",10,"105",30,"",10,"2520",10,"30",10,"105",30,"",10,"2760",10,"30",10,"115",10,"2760",10,"30",10,"115",10,"2760",10,"30",10,"115",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"2070",10,"30",10,"2070",10,"30",33,"",33,"",33,"",33,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","","","","","","","",""
"367909",10,"8460",10,"180",10,"235",30,"",10,"8460",10,"180",10,"235",30,"",10,"8460",10,"180",10,"235",30,"",10,"8880",10,"180",10,"370",10,"8880",10,"180",10,"370",10,"8880",10,"180",10,"370",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"7488",10,"7848",10,"8460",10,"7488",10,"7848",10,"8460",10,"7488",10,"7848",10,"8460",10,"600",10,"675",10,"750",30,"",30,"",30,"",30,"",30,"",30,"",10,"5598",10,"5760",10,"5850",10,"1764",10,"3069",10,"3294",10,"2817",10,"3069",10,"3294","","","","18354","18354","18354","12504","12504","12504"
"367936",10,"12960",10,"11",10,"360",30,"",10,"12960",10,"11",10,"360",30,"",10,"12960",10,"11",10,"360",30,"",10,"19305",10,"22",10,"715",10,"19305",10,"22",10,"715",10,"19305",10,"22",10,"715",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","","","","","","","",""
"368036",10,"7025",13,"0",30,"",30,"",10,"7025",13,"0",30,"",30,"",10,"7025",13,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"6029",10,"6335",10,"7025",10,"6029",10,"6335",10,"7025",10,"6029",10,"6335",10,"7025",10,"0",30,"",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"7378",10,"6240",10,"0",10,"4200",10,"5579",10,"0",10,"3000",10,"5579","","","","18844","18844","18844","12604","12604","12604"
"368160",10,"4600",13,"0",10,"5",30,"",10,"4600",13,"0",10,"5",30,"",10,"4600",13,"0",10,"5",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4800",30,"",30,"",10,"4800",30,"",30,"",10,"4800",30,"",30,"",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",31,"",31,"",10,"6111",31,"",31,"",10,"4795",30,"",30,"",10,"4552","","","","15706","15706","15706","9352","9352","9352"
"368443",10,"7200",10,"1800",10,"225",30,"",10,"7200",10,"1800",10,"225",30,"",10,"7200",10,"1800",10,"225",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"6400",10,"7200",10,"7200",10,"6400",10,"7200",10,"7200",10,"6400",10,"7200",10,"7200",10,"1500",10,"1800",10,"1800",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"3800",10,"0",10,"0",10,"2500",30,"",30,"",10,"2500","","","","15300","15300","15300","11500","11500","11500"
