unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,cindon,cinson,cotson,cindoff,cinsoff,cotsoff,cindfam,cinsfam,cotsfam
"100636",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",13,"0",10,"0",10,"0",13,"0",10,"0",10,"0",13,"0",10,"0",10,"0",13,"0",10,"0",10,"0",30,"",10,"0",10,"0",30,"",31,"",31,"",30,"",31,"",31,"",30,"",30,"",30,"",30,"","","","","","","","","",""
"100654",10,"2832",10,"520",10,"236",30,"",10,"2832",10,"520",10,"236",30,"",10,"5664",10,"520",10,"472",30,"",10,"3250",10,"530",10,"370",10,"3250",10,"530",10,"370",10,"6490",10,"530",10,"740",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3040",10,"3040",10,"3352",10,"3040",10,"3040",10,"3352",10,"5560",10,"5560",10,"6184",10,"800",10,"800",10,"900",10,"4500",10,"4500",10,"4500",10,"2300",10,"2300",10,"2300",10,"4500",10,"4500",10,"4500",10,"2300",10,"2300",10,"2300",10,"1300",10,"1300",10,"1300","11052","11052","13884","11052","11052","13884","5552","5552","8384"
"100663",10,"3480",10,"794",10,"116",30,"",10,"3480",10,"794",10,"116",30,"",10,"8700",10,"794",10,"290",30,"",10,"3384",10,"662",10,"141",10,"3384",10,"662",10,"141",10,"8472",10,"662",10,"353",33,"",33,"",33,"",33,"",10,"7614",10,"1612",10,"22842",10,"1612",10,"8886",10,"1387",10,"26658",10,"1387",10,"8296",10,"2733",10,"24888",10,"2733",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3640",10,"3880",10,"4274",10,"3640",10,"3880",10,"4274",10,"6610",10,"7810",10,"9494",10,"900",10,"900",10,"900",10,"6471",10,"7218",10,"8627",10,"2438",10,"2438",10,"2438",10,"7875",10,"7875",10,"8823",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375","16239","16239","21459","17372","17372","22592","8549","8549","13769"
"100690",10,"8640",10,"800",10,"360",30,"",10,"8640",10,"800",10,"360",30,"",10,"8640",10,"800",10,"360",30,"",10,"7920",10,"800",10,"440",10,"7920",10,"800",10,"440",10,"7920",10,"800",10,"440",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"7920",10,"800",10,"7920",10,"800",33,"",33,"",33,"",33,"",10,"7680",10,"8960",10,"9440",10,"7680",10,"8960",10,"9440",10,"7680",10,"8960",10,"9440",10,"500",10,"600",10,"600",30,"",30,"",30,"",30,"",30,"",30,"",10,"5559",10,"7782",10,"7782",10,"2660",10,"1474",10,"1474",30,"",10,"1474",10,"1474","","","","19296","19296","19296","11514","11514","11514"
"100706",10,"3256",10,"870",10,"126",30,"",10,"3256",10,"870",10,"126",30,"",10,"6962",10,"1740",10,"268",30,"",10,"4472",10,"696",10,"211",10,"4472",10,"696",10,"211",10,"9228",10,"1392",10,"447",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3536",10,"3764",10,"4126",10,"3536",10,"3764",10,"4126",10,"7430",10,"7940",10,"8702",10,"720",10,"720",10,"720",10,"5960",10,"6180",10,"6380",10,"2100",10,"2015",10,"2015",10,"5345",10,"6180",10,"6380",10,"2550",10,"2280",10,"2280",10,"2250",10,"2280",10,"2280","13241","13241","17817","13506","13506","18082","7126","7126","11702"
"100724",10,"3600",10,"0",10,"150",30,"",10,"3600",10,"0",10,"150",30,"",10,"7200",10,"0",10,"300",30,"",10,"4128",13,"0",10,"172",10,"4128",13,"0",10,"172",10,"8256",13,"0",10,"344",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2904",10,"2904",10,"3600",10,"2904",10,"2904",10,"3600",10,"5808",10,"5808",10,"7200",10,"800",10,"800",10,"800",10,"3500",10,"3580",10,"3600",10,"2310",10,"2310",10,"2310",10,"5625",10,"5625",10,"5625",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820","10310","10310","13910","12845","12845","16445","7220","7220","10820"
"100751",10,"4134",10,"0",10,"172",30,"",10,"4134",10,"0",10,"172",30,"",10,"11294",10,"0",10,"471",30,"",10,"4134",10,"0",10,"230",10,"4134",10,"0",10,"230",10,"11294",10,"0",10,"627",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"9874",10,"0",10,"27646",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"7252",10,"0",10,"14982",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3292",10,"3556",10,"4134",10,"3292",10,"3556",10,"4134",10,"8912",10,"9624",10,"11294",10,"700",10,"700",10,"800",10,"5586",10,"5824",10,"6568",10,"2324",10,"2392",10,"2392",10,"5902",10,"6104",10,"7102",10,"2416",10,"2722",10,"2722",10,"3028",10,"3378",10,"3378","13894","13894","21054","14758","14758","21918","8312","8312","15472"
"100760",10,"2040",10,"240",10,"68",30,"",10,"2040",10,"240",10,"68",30,"",10,"4080",10,"240",10,"136",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2040",10,"2040",10,"2296",10,"2040",10,"2040",10,"2296",10,"4080",10,"4080",10,"4560",10,"600",10,"600",10,"700",30,"",30,"",30,"",30,"",30,"",30,"",10,"4266",10,"4266",10,"6400",10,"1250",10,"1250",10,"1075",10,"1000",10,"1000",10,"1000","","","","10471","10471","12735","3996","3996","6260"
"100812",10,"3150",10,"420",10,"105",30,"",10,"3150",10,"420",10,"105",30,"",10,"6300",10,"420",10,"210",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","","","","","","","",""
"100830",10,"3900",10,"230",10,"130",30,"",10,"3900",10,"230",10,"130",30,"",10,"11700",10,"230",10,"390",30,"",10,"3744",10,"200",10,"156",10,"3744",10,"200",10,"156",10,"11232",10,"200",10,"468",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3210",10,"3620",10,"4130",10,"3210",10,"3620",10,"4130",10,"9630",10,"10400",10,"11930",10,"600",10,"600",10,"600",10,"4770",10,"4610",10,"4890",10,"1760",10,"2360",10,"2360",10,"4770",10,"4610",10,"4890",10,"1760",10,"2360",10,"2360",10,"1760",10,"2360",10,"2360","11980","11980","19780","11980","11980","19780","7090","7090","14890"
"100858",10,"4230",10,"196",10,"175",30,"",10,"4230",10,"196",10,"175",30,"",10,"12690",10,"196",10,"525",30,"",10,"4230",10,"196",10,"175",10,"4230",10,"196",10,"175",10,"12690",10,"196",10,"525",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"10830",10,"196",10,"20610",10,"196",33,"",33,"",33,"",33,"",10,"8110",10,"196",10,"24330",10,"196",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3380",10,"3784",10,"4426",10,"3380",10,"3784",10,"4426",10,"9900",10,"11084",10,"12886",10,"900",10,"900",10,"900",10,"5500",10,"5586",10,"5970",10,"1592",10,"1640",10,"1689",10,"5966",10,"6086",10,"6270",10,"1992",10,"2052",10,"2114",10,"1592",10,"1640",10,"1689","12985","12985","21445","13710","13710","22170","7015","7015","15475"
"100919",10,"2040",10,"480",10,"68",30,"",10,"2040",10,"480",10,"68",30,"",10,"4080",10,"480",10,"136",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1718",10,"1743",10,"2199",10,"1718",10,"1743",10,"2199",10,"2978",10,"3281",10,"3881",10,"963",10,"1001",10,"1001",30,"",30,"",30,"",30,"",30,"",30,"",10,"5454",10,"5667",10,"5667",10,"2182",10,"2267",10,"2267",10,"2182",10,"2267",10,"2267","","","","11134","11134","12816","5467","5467","7149"
"100937",10,"18530",10,"434",10,"773",30,"",10,"18530",10,"434",10,"773",30,"",10,"18530",10,"434",10,"773",30,"",10,"12480",10,"193",10,"520",10,"12480",10,"193",10,"520",10,"12480",10,"193",10,"520",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"17650",10,"18530",30,"",10,"17650",10,"18530",30,"",10,"17650",10,"18530",30,"",10,"600",10,"600",30,"",10,"6348",10,"7202",30,"",10,"400",10,"400",31,"",10,"6348",10,"7202",31,"",10,"400",10,"400",30,"",10,"400",10,"400","26732","26732","26732","26732","26732","26732","19530","19530","19530"
"100973",10,"1800",10,"480",10,"60",30,"",10,"1800",10,"480",10,"60",30,"",10,"3600",10,"480",10,"120",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2040",10,"2280",10,"2280",10,"2040",10,"2280",10,"2280",10,"3840",10,"4080",10,"4080",10,"1000",10,"1250",10,"1500",30,"",30,"",30,"",30,"",30,"",30,"",10,"2700",10,"3000",10,"3300",10,"2550",10,"2550",10,"2750",10,"2500",10,"2500",10,"2750","","","","9830","9830","11630","6530","6530","8330"
"101028",10,"2040",10,"480",10,"68",30,"",10,"2040",10,"480",10,"68",30,"",10,"4320",10,"480",10,"144",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2040",10,"2100",10,"2316",10,"2040",10,"2100",10,"2316",10,"3840",10,"3900",10,"3948",10,"800",10,"800",10,"800",30,"",30,"",30,"",30,"",30,"",30,"",10,"5400",10,"5400",10,"5400",10,"1800",10,"1800",10,"1800",10,"1800",10,"1800",10,"1800","","","","10316","10316","11948","4916","4916","6548"
"101073",10,"6000",10,"264",10,"233",30,"",10,"6000",10,"264",10,"233",30,"",10,"6000",10,"264",10,"233",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"5954",10,"6104",10,"6104",10,"5954",10,"6104",10,"6104",10,"5954",10,"6104",10,"6104",10,"300",10,"600",10,"600",10,"3200",10,"3200",10,"3200",10,"1600",10,"1364",10,"1364",10,"2500",10,"2500",10,"2500",10,"2300",10,"1104",10,"1104",10,"2300",10,"1104",10,"1104","11268","11268","11268","10308","10308","10308","7808","7808","7808"
"101107",10,"2040",10,"480",10,"68",30,"",10,"2040",10,"480",10,"68",30,"",10,"4080",10,"480",10,"136",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1680",10,"1920",10,"2520",10,"1680",10,"1920",10,"2520",10,"3240",10,"3720",10,"4560",10,"845",10,"845",10,"622",30,"",30,"",30,"",30,"",30,"",30,"",10,"5700",10,"5700",10,"5400",10,"1000",10,"1000",10,"1000",10,"1000",10,"1000",10,"1000","","","","9542","9542","11582","4142","4142","6182"
"101116",10,"10185",10,"25",10,"200",30,"",10,"10185",10,"25",10,"200",30,"",10,"10185",10,"25",10,"200",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"8685",10,"9585",10,"10185",10,"8685",10,"9585",10,"10185",10,"8685",10,"9585",10,"10185",10,"900",10,"900",10,"900",30,"",30,"",30,"",30,"",30,"",30,"",10,"4950",10,"4950",10,"4950",10,"2826",10,"2826",10,"2826",10,"2826",10,"2826",10,"2826","","","","18861","18861","18861","13911","13911","13911"
"101143",10,"2040",10,"480",10,"68",30,"",10,"2040",10,"480",10,"68",30,"",10,"4080",10,"480",10,"136",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2040",10,"2040",10,"2520",10,"2040",10,"2040",10,"2520",10,"3840",10,"3840",10,"4560",10,"600",10,"600",10,"600",30,"",30,"",30,"",30,"",30,"",30,"",10,"4275",10,"4275",10,"4275",10,"1300",10,"1300",10,"1300",10,"1000",10,"1000",10,"1000","","","","8695","8695","10735","4120","4120","6160"
"101161",10,"2040",10,"570",10,"68",30,"",10,"2040",10,"570",10,"68",30,"",10,"4080",10,"570",10,"136",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1896",10,"1896",10,"2088",10,"1896",10,"1896",10,"2088",10,"3336",10,"3336",10,"3720",10,"600",10,"600",10,"700",10,"2966",10,"2965",10,"2965",10,"1500",10,"1500",10,"1500",10,"3300",10,"3300",10,"3300",10,"2400",10,"2400",10,"2400",10,"1500",10,"1500",10,"1500","7253","7253","8885","8488","8488","10120","4288","4288","5920"
"101189",10,"9750",13,"0",10,"325",30,"",10,"9750",13,"0",10,"325",30,"",10,"9750",13,"0",10,"325",30,"",10,"12500",13,"0",10,"425",10,"12500",13,"0",10,"425",10,"12500",13,"0",10,"425",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"15300",10,"0",10,"15300",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"8700",10,"9300",10,"9750",10,"8700",10,"9300",10,"9750",10,"8700",10,"9300",10,"9750",10,"850",10,"900",10,"900",10,"4300",10,"4600",10,"4800",10,"2200",10,"2200",10,"2200",10,"4500",10,"4800",10,"4800",10,"2200",10,"2200",10,"2200",10,"2200",10,"2200",10,"2200","17650","17650","17650","17650","17650","17650","12850","12850","12850"
"101198",10,"4860",13,"0",10,"180",30,"",10,"4860",13,"0",10,"180",30,"",10,"4860",13,"0",10,"180",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4320",10,"4570",10,"4860",10,"4320",10,"4570",10,"4860",10,"4320",10,"4570",10,"4860",10,"750",10,"900",10,"900",30,"",30,"",30,"",30,"",30,"",30,"",10,"4200",10,"4800",10,"4800",10,"2400",10,"2400",10,"2400",10,"2400",10,"2400",10,"2400","","","","12960","12960","12960","8160","8160","8160"
"101213",10,"4380",10,"25",10,"180",30,"",10,"4380",10,"25",10,"180",30,"",10,"4380",10,"25",10,"180",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3840",10,"4080",10,"4380",10,"3840",10,"4080",10,"4380",10,"3840",10,"4080",10,"4380",10,"800",10,"900",10,"1000",30,"",30,"",30,"",30,"",30,"",30,"",10,"4200",10,"4400",10,"4600",10,"2400",10,"2400",10,"2400",10,"2400",10,"2400",10,"2400","","","","12380","12380","12380","7780","7780","7780"
"101231",10,"6830",10,"0",30,"",30,"",10,"6830",13,"0",30,"",30,"",10,"6830",13,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"6830",10,"6830",30,"",10,"6830",10,"6830",30,"",10,"6830",10,"6830",30,"",30,"",10,"1000",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"1000",10,"0",10,"0",10,"1000",30,"",30,"",10,"1000","","","","9830","9830","9830","8830","8830","8830"
"101240",10,"2040",10,"480",10,"68",30,"",10,"2040",10,"480",10,"68",30,"",10,"4080",10,"480",10,"136",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1680",10,"2280",10,"2520",10,"1680",10,"2280",10,"2520",10,"3240",10,"4080",10,"4560",10,"600",10,"600",10,"600",10,"2350",10,"2350",10,"2350",10,"232",10,"465",10,"495",10,"3150",10,"3150",10,"4500",10,"2405",10,"2420",10,"2786",10,"2420",10,"2420",10,"2786","5965","5965","8005","10406","10406","12446","5906","5906","7946"
"101286",10,"1920",10,"420",10,"64",30,"",10,"1920",10,"420",10,"64",30,"",10,"3840",10,"420",10,"128",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2040",10,"2040",10,"2340",10,"2040",10,"2040",10,"2340",10,"3840",10,"3840",10,"4260",10,"427",10,"508",10,"605",30,"",30,"",30,"",30,"",30,"",30,"",10,"3639",10,"3759",10,"3887",10,"225",10,"266",10,"300",30,"",10,"266",10,"300","","","","7132","7132","9052","3245","3245","5165"
"101295",10,"2040",10,"480",10,"68",30,"",10,"2040",10,"480",10,"68",30,"",10,"4080",10,"480",10,"136",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1768",10,"2108",10,"2520",10,"1768",10,"2108",10,"2520",10,"3536",10,"4216",10,"4560",10,"1200",10,"1400",10,"1400",10,"3000",10,"3300",10,"3300",10,"1818",10,"1950",10,"2300",10,"4200",10,"4450",10,"5150",10,"4600",10,"4700",10,"5000",10,"5100",10,"5100",10,"5100","9520","9520","11560","14070","14070","16110","9020","9020","11060"
