unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,"xcmp1ay1",cmp1ay1,"xcmp1ay2",cmp1ay2,"xcmp1ay3",cmp1ay3,"xcmp2ay1",cmp2ay1,"xcmp2ay2",cmp2ay2,"xcmp2ay3",cmp2ay3,"xcmp3ay1",cmp3ay1,"xcmp3ay2",cmp3ay2,"xcmp3ay3",cmp3ay3
"138293",10,"17000",10,"0",10,"235",30,"",10,"17000",13,"0",10,"235",30,"",10,"17000",13,"0",10,"235",30,"",10,"12240",10,"0",10,"510",10,"12240",13,"0",10,"510",10,"12240",13,"0",10,"510",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"15900",10,"16760",10,"17000",10,"15900",10,"16760",10,"17000",10,"15900",10,"16760",10,"17000",10,"700",10,"700",10,"800",10,"4990",10,"5960",10,"6354",10,"4008",10,"4120",10,"4240",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138309",10,"12600",10,"0",10,"350",30,"",10,"12600",13,"0",10,"350",30,"",10,"12600",13,"0",10,"350",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"10205",10,"13560",10,"12660",10,"10205",10,"13560",10,"12660",10,"10205",10,"13560",10,"12660",10,"1275",10,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",10,"4256",10,"8415",10,"6840",10,"2141",10,"4635",10,"3420",10,"2118",10,"3042",10,"3420",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138336",10,"12600",10,"0",10,"350",30,"",10,"12600",13,"0",10,"350",30,"",10,"12600",13,"0",10,"350",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"10205",10,"13560",10,"12660",10,"10205",10,"13560",10,"12660",10,"10205",10,"13560",10,"12660",10,"1275",10,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",10,"4256",10,"8415",10,"6840",10,"2141",10,"4635",10,"3420",10,"2118",10,"3042",10,"3420",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138354",10,"2460",10,"1194",10,"122",30,"",10,"2460",10,"1194",10,"122",30,"",10,"14729",10,"1807",10,"551",30,"",10,"4982",10,"1113",10,"254",10,"4982",10,"1113",10,"254",10,"20059",10,"1860",10,"913",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2860",10,"2860",10,"3016",10,"2860",10,"2860",10,"3016",10,"13702",10,"13702",10,"14170",10,"1000",10,"1000",10,"1200",10,"6600",10,"6600",10,"6900",10,"2850",10,"2850",10,"2900",10,"6600",10,"6600",10,"6900",10,"3500",10,"3500",10,"3800",10,"3200",10,"3200",10,"3800",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138479",10,"1935",10,"30",30,"",30,"",10,"1935",10,"30",30,"",30,"",10,"7650",10,"30",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1873",10,"1891",10,"1965",10,"1873",10,"1891",10,"1965",10,"7048",10,"7201",10,"7680",10,"500",10,"500",10,"500",30,"",30,"",30,"",30,"",30,"",30,"",10,"6750",10,"8000",10,"8000",10,"2100",10,"2100",10,"2100",10,"2100",10,"2100",10,"2100",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138558",10,"1783",10,"502",10,"75",30,"",10,"1783",10,"502",10,"75",30,"",10,"7126",10,"502",10,"298",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2106",10,"2374",10,"2496",10,"2106",10,"2374",10,"2496",10,"6914",10,"7990",10,"8478",10,"1125",10,"1125",10,"1125",10,"5180",10,"6100",10,"5560",10,"3150",10,"3150",10,"3150",10,"5850",10,"5850",10,"7020",10,"3150",10,"3150",10,"3150",10,"3150",10,"3150",10,"3150",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138600",10,"28200",10,"840",10,"1175",30,"",10,"28200",10,"840",10,"1175",30,"",10,"28200",10,"840",10,"1175",30,"",10,"14560",10,"415",10,"455",10,"14560",10,"415",10,"455",10,"14560",10,"415",10,"455",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"25685",10,"27387",10,"29060",10,"25685",10,"27387",10,"29060",10,"25685",10,"27387",10,"29060",10,"700",10,"1000",10,"1000",10,"8990",10,"9350",10,"9850",10,"900",10,"1000",10,"1000",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138655",10,"7150",10,"50",10,"295",30,"",10,"7150",10,"50",10,"295",30,"",10,"7150",10,"50",10,"295",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"6650",10,"6800",10,"7050",10,"6650",10,"6800",10,"7050",10,"6650",10,"6800",10,"7050",10,"800",10,"1000",10,"1200",30,"",30,"",30,"",30,"",30,"",30,"",10,"4984",10,"4984",10,"4984",10,"2776",10,"2776",10,"2776",10,"1800",10,"1800",10,"1800",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138664",10,"7900",10,"50",30,"",30,"",10,"7900",10,"50",30,"",30,"",10,"7900",10,"50",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"6650",10,"7150",10,"7150",10,"6650",10,"7150",10,"7150",10,"6650",10,"7150",10,"7150",10,"1000",10,"1200",10,"1200",30,"",30,"",30,"",30,"",30,"",30,"",10,"4984",10,"4984",10,"4984",10,"2776",10,"2776",10,"2776",10,"1800",10,"1800",10,"1800",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"138682",10,"1296",10,"243",10,"36",30,"",10,"1296",10,"243",10,"36",30,"",10,"2592",10,"243",10,"72",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1366",10,"1539",10,"1539",10,"1366",10,"1539",10,"1539",10,"2475",10,"2835",10,"3078",10,"1260",10,"1260",10,"1400",30,"",30,"",30,"",30,"",30,"",30,"",10,"9304",10,"9304",10,"9304",10,"6588",10,"6588",10,"6588",10,"5700",10,"5700",10,"5700",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
