unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,"xcmp1ay1",cmp1ay1,"xcmp1ay2",cmp1ay2,"xcmp1ay3",cmp1ay3,"xcmp2ay1",cmp2ay1,"xcmp2ay2",cmp2ay2,"xcmp2ay3",cmp2ay3,"xcmp3ay1",cmp3ay1,"xcmp3ay2",cmp3ay2,"xcmp3ay3",cmp3ay3
"100654",10,"3120",10,"520",10,"130",30,"",10,"3120",10,"520",10,"130",30,"",10,"6240",10,"520",10,"260",30,"",10,"3564",10,"530",10,"198",10,"3564",10,"530",10,"198",10,"7128",10,"530",10,"396",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","R","3040","R","3352","R","4420","R","3040","R","3352","R","4420","R","5560","R","6184","R","8320","R","800","R","900","R","1800","R","4500","R","4500","R","4770","R","2300","R","2300","R","2600","R","4500","R","4500","R","4770","R","2300","R","2300","R","2600","R","1300","R","1300","R","1300","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100663",10,"3840",10,"822",10,"128",30,"",10,"3840",10,"822",10,"128",30,"",10,"9600",10,"822",10,"320",30,"",10,"3888",10,"714",10,"162",10,"3888",10,"714",10,"162",10,"9720",10,"714",10,"405",33,"",33,"",33,"",33,"",10,"8757",10,"1616",10,"26271",10,"1616",10,"10219",10,"1391",10,"30657",10,"1391",10,"9540",10,"2751",10,"28620",10,"2751",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"","R","3880","R","4274","R","4662","R","3880","R","4274","R","4662","R","7810","R","9494","R","10422","R","900","R","900","R","900","R","7218","R","8627","R","8743","R","2438","R","2438","R","2438","R","7875","R","8823","R","8823","R","3375","R","3375","R","3375","R","3375","R","3375","R","3375","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100690",10,"10040",13,"0",10,"385",30,"",10,"10040",13,"0",10,"385",30,"",10,"10040",13,"0",10,"385",30,"",10,"8370",13,"0",10,"465",10,"8370",13,"0",10,"465",10,"8370",13,"0",10,"465",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"8370",10,"800",10,"8370",10,"800",33,"",33,"",33,"",33,"","R","8960","R","9440","R","10040","R","8960","R","9440","R","10040","R","8960","R","9440","R","10040","R","600","R","600","R","600","A","","A","","A","","A","","A","","A","","R","7782","R","7782","R","7782","R","1474","R","1474","R","1474","R","1474","R","1474","R","1474","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100706",10,"3646",10,"870",10,"140",30,"",10,"3646",10,"870",10,"140",30,"",10,"7778",10,"1740",10,"299",30,"",10,"4950",10,"696",10,"234",10,"4950",10,"696",10,"234",10,"10216",10,"1392",10,"479",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","R","3764","R","4126","R","4516","R","3764","R","4126","R","4516","R","7940","R","8702","R","9518","R","720","R","720","R","720","R","6180","R","6380","R","6480","R","2015","R","2015","R","2015","R","6180","R","6380","R","6480","R","2280","R","2280","R","2280","R","2280","R","2280","R","2280","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100724",10,"4008",10,"0",10,"167",30,"",10,"4008",10,"0",10,"167",30,"",10,"8016",10,"0",10,"334",30,"",10,"4608",10,"0",10,"192",10,"4608",10,"0",10,"192",10,"9216",10,"0",10,"384",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","R","2904","R","3600","R","4008","R","2904","R","3600","R","4008","R","5808","R","7200","R","8016","R","800","R","800","R","800","R","3580","R","3600","R","3600","R","2310","R","2310","R","2310","R","5625","R","5625","R","5625","R","2820","R","2820","R","2820","R","2820","R","2820","R","2820","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100751",10,"4630",10,"0",10,"190",30,"",10,"4630",10,"0",10,"190",30,"",10,"12664",10,"0",10,"535",30,"",10,"4630",10,"0",10,"201",10,"4630",10,"0",10,"201",10,"12664",10,"0",10,"586",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"11391",10,"0",10,"31757",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"8130",10,"0",10,"16802",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"","R","3556","R","4134","R","4630","R","3556","R","4134","R","4630","R","9624","R","11294","R","12664","R","700","R","800","R","800","R","4232","R","4456","R","4734","R","2392","R","2392","R","2426","R","6104","R","7102","R","7310","R","2722","R","2722","R","2762","R","3378","R","3378","R","3438","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100760",10,"2130",10,"570",10,"71",30,"",10,"2130",10,"570",10,"71",30,"",10,"4260",10,"570",10,"142",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","R","2040","R","2296","R","2700","R","2040","R","2296","R","2700","R","4080","R","4560","R","5400","R","600","R","700","R","700","A","","A","","A","","A","","A","","A","","R","4266","R","6400","R","6400","R","1250","R","1075","R","1075","R","1000","R","1000","R","1000","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100812",10,"3300",10,"570",10,"110",30,"",10,"3300",10,"570",10,"110",30,"",10,"6600",10,"570",10,"220",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100830",10,"4230",10,"230",10,"141",30,"",10,"4230",10,"230",10,"141",30,"",10,"12690",10,"230",10,"423",30,"",10,"4056",10,"200",10,"169",10,"4056",10,"200",10,"169",10,"12168",10,"200",10,"507",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","R","3620","R","4130","R","4460","R","3620","R","4130","R","4460","R","10400","R","11930","R","12920","R","600","R","600","R","600","R","4610","R","4890","R","4890","R","2360","R","2360","R","2510","R","4610","R","4890","R","4890","R","2360","R","2360","R","2510","R","2360","R","2360","R","2510","A","","A","","A","","A","","A","","A","","A","","A","","A",""
"100858",10,"4610",10,"218",10,"191",30,"",10,"4610",10,"218",10,"191",30,"",10,"13830",10,"218",10,"573",30,"",10,"4610",10,"218",10,"191",10,"4610",10,"218",10,"191",10,"13830",10,"218",10,"573",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"12290",10,"218",10,"21750",10,"218",33,"",33,"",33,"",33,"",10,"8830",10,"218",10,"26490",10,"218",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"","R","3784","R","4426","R","4828","R","3784","R","4426","R","4828","R","11084","R","12886","R","14048","R","900","R","900","R","900","R","5586","R","5970","R","6686","R","1640","R","1689","R","1988","R","6086","R","6270","R","6692","R","2052","R","2114","R","2424","R","1640","R","1689","R","1988","A","","A","","A","","A","","A","","A","","A","","A","","A",""
