unitid,efcstate,line,"xefres01",efres01,"xefres02",efres02
"100654","1","1",10,"624",10,"552"
"100654","4","4",10,"1",10,"1"
"100654","5","5",10,"3",10,"3"
"100654","6","6",10,"14",10,"12"
"100654","9","9",10,"2",10,"2"
"100654","11","11",10,"1",10,"1"
"100654","12","12",10,"10",10,"9"
"100654","13","13",10,"89",10,"83"
"100654","17","17",10,"97",10,"92"
"100654","18","18",10,"20",10,"17"
"100654","19","19",10,"1",10,"1"
"100654","20","20",10,"7",10,"7"
"100654","21","21",10,"2",10,"2"
"100654","22","22",10,"6",10,"6"
"100654","24","24",10,"7",10,"7"
"100654","26","26",10,"53",10,"48"
"100654","27","27",10,"1",10,"0"
"100654","28","28",10,"8",10,"8"
"100654","29","29",10,"44",10,"41"
"100654","32","32",10,"1",10,"1"
"100654","34","34",10,"3",10,"3"
"100654","36","36",10,"13",10,"11"
"100654","37","37",10,"1",10,"1"
"100654","39","39",10,"30",10,"26"
"100654","45","45",10,"2",10,"1"
"100654","47","47",10,"27",10,"25"
"100654","48","48",10,"9",10,"8"
"100654","53","53",10,"1",10,"1"
"100654","55","55",10,"5",10,"5"
"100654","57","57",10,"4",10,"3"
"100654","58","999",10,"1086",10,"977"
"100654","78","78",10,"2",10,"2"
"100654","89","999",10,"2",10,"2"
"100654","90","90",10,"11",10,"2"
"100654","99","99",10,"1099",10,"981"
"100663","1","1",10,"1430",10,"1307"
"100663","2","2",10,"3",10,"2"
"100663","4","4",10,"1",10,"1"
"100663","6","6",10,"2",10,"2"
"100663","8","8",10,"1",10,"1"
"100663","9","9",10,"1",10,"1"
"100663","12","12",10,"6",10,"5"
"100663","13","13",10,"38",10,"36"
"100663","17","17",10,"5",10,"5"
"100663","18","18",10,"4",10,"3"
"100663","21","21",10,"2",10,"2"
"100663","22","22",10,"6",10,"5"
"100663","24","24",10,"2",10,"2"
"100663","26","26",10,"2",10,"2"
"100663","27","27",10,"1",10,"1"
"100663","28","28",10,"17",10,"17"
"100663","36","36",10,"2",10,"2"
"100663","37","37",10,"3",10,"2"
"100663","39","39",10,"2",10,"2"
"100663","40","40",10,"2",10,"2"
"100663","42","42",10,"4",10,"3"
"100663","45","45",10,"1",10,"1"
"100663","47","47",10,"8",10,"8"
"100663","48","48",10,"3",10,"3"
"100663","51","51",10,"3",10,"3"
"100663","53","53",10,"1",10,"1"
"100663","54","54",10,"1",10,"1"
"100663","55","55",10,"3",10,"3"
"100663","58","999",10,"1554",10,"1423"
"100663","90","90",10,"33",10,"25"
"100663","99","99",10,"1587",10,"1448"
"100690","98","98",10,"4",13,"0"
"100690","99","99",10,"4",13,"0"
"100706","1","1",10,"524",10,"471"
"100706","6","6",10,"2",10,"2"
"100706","8","8",10,"1",10,"1"
"100706","12","12",10,"4",10,"2"
"100706","13","13",10,"2",10,"2"
"100706","17","17",10,"5",10,"5"
"100706","18","18",10,"5",10,"5"
"100706","21","21",10,"3",10,"3"
"100706","24","24",10,"2",10,"2"
"100706","25","25",10,"1",10,"1"
"100706","26","26",10,"3",10,"3"
"100706","27","27",10,"1",10,"1"
"100706","28","28",10,"1",10,"1"
"100706","32","32",10,"1",10,"0"
"100706","33","33",10,"1",10,"1"
"100706","36","36",10,"3",10,"3"
"100706","37","37",10,"3",10,"3"
"100706","42","42",10,"4",10,"3"
"100706","45","45",10,"2",10,"2"
"100706","47","47",10,"53",10,"52"
"100706","48","48",10,"2",10,"1"
"100706","50","50",10,"1",10,"0"
"100706","51","51",10,"3",10,"3"
"100706","53","53",10,"3",10,"3"
"100706","55","55",10,"2",10,"2"
"100706","58","999",10,"632",10,"572"
