unitid,line,"xefres01",efres01,"xefres02",efres02
"100858","45",10,"42",10,"39"
"102270","12",10,"15",10,"15"
"104531","31",10,"1",10,"1"
"106148","32",10,"2",10,"1"
"117113","98",12,"94",31,""
"127024","36",10,"2",10,"2"
"110097","2",10,"3",10,"3"
"110662","5",10,"1",10,"0"
"111513","48",10,"1",10,"0"
"132268","26",10,"12",31,""
"119270","53",10,"7",10,"0"
"123165","90",10,"15",10,"15"
"138275","12",10,"86",10,"38"
"128258","40",10,"1",10,"1"
"131399","57",10,"139",10,"5"
"133997","99",12,"627",12,"14"
"137403","98",12,"84",31,""
"139931","24",10,"1",10,"1"
"142461","4",10,"1",10,"0"
"146612","39",10,"1",10,"1"
"160977","53",10,"2",10,"2"
"153825","53",10,"1",10,"1"
"156295","36",10,"1",10,"1"
"160621","40",10,"3",10,"3"
"163976","53",10,"3",10,"2"
"166674","42",10,"1",10,"1"
"170736","99",12,"59",31,""
"174659","12",10,"1",10,"0"
"177931","99",12,"40",12,"7"
"181534","57",10,"5",10,"5"
"186584","47",10,"3",10,"3"
"190512","36",10,"1028",10,"982"
"194824","36",10,"582",10,"566"
"197869","36",10,"3",10,"3"
"199157","24",10,"8",10,"8"
"202763","20",10,"1",10,"1"
"206695","34",10,"3",10,"3"
"210146","23",10,"1",10,"1"
"213598","42",10,"161",10,"161"
"216542","36",10,"16",10,"15"
"218724","21",10,"8",10,"8"
"221838","12",10,"10",10,"10"
"226833","90",10,"5",10,"3"
"229814","20",10,"4",10,"3"
"232681","24",10,"61",10,"60"
"234085","21",10,"2",10,"2"
"237181","42",10,"99",10,"96"
"406486","49",10,"35",10,"5"
"239318","2",10,"1",10,"0"
"240277","19",10,"1",10,"1"
"240620","8",10,"19",10,"19"
"242130","72",10,"192",10,"149"
"243780","72",10,"5",10,"5"
"247649","36",10,"1",10,"1"
"260947","26",10,"1",10,"0"
"433688","99",12,"867",12,"17"
"366289","6",10,"218",10,"1"
"368805","98",12,"60",31,""
"373216","6",10,"1",31,""
"377069","99",12,"292",12,"96"
"381422","99",12,"89",31,""
"381431","98",12,"89",31,""
"381431","99",12,"89",31,""
"381486","19",10,"18",10,"8"
"381486","98",12,"0",31,""
"381486","99",12,"18",12,"8"
"381501","29",10,"5",10,"1"
"381501","98",12,"0",31,""
"381501","99",12,"5",12,"1"
"381529","53",10,"135",10,"11"
"381529","57",10,"1",31,""
"381529","98",12,"0",31,""
"381529","99",12,"136",12,"11"
"381617","26",10,"306",10,"109"
"381617","90",10,"6",10,"2"
"381617","98",12,"0",31,""
"381617","99",12,"312",12,"111"
"381635","25",10,"54",10,"20"
"381635","98",12,"0",31,""
"381635","99",12,"54",12,"20"
"381644","37",10,"150",10,"5"
"381644","98",12,"0",31,""
"381644","99",12,"150",12,"5"
"381699","8",10,"18",10,"2"
"381699","98",12,"0",31,""
"381699","99",12,"18",12,"2"
"381705","8",10,"38",10,"5"
"381705","98",12,"0",31,""
"381705","99",12,"38",12,"5"
"381732","8",10,"109",10,"28"
"381732","17",10,"1",31,""
"381732","98",12,"0",31,""
"381732","99",12,"110",12,"28"
"381741","8",10,"126",10,"8"
"381741","98",12,"0",31,""
"381741","99",12,"126",12,"8"
"381750","8",10,"35",10,"0"
"381750","98",12,"0",31,""
"381750","99",12,"35",12,"0"
"381787","8",10,"373",10,"25"
"381787","30",10,"1",10,"0"
"381787","31",10,"1",10,"0"
"381787","36",10,"1",10,"0"
"381787","98",12,"0",31,""
"381787","99",12,"376",12,"25"
"381848","42",10,"2347",10,"2347"
"381848","98",12,"0",31,""
"381848","99",12,"2347",12,"2347"
"381909","4",10,"1",10,"0"
"381909","6",10,"367",10,"144"
"381909","32",10,"1",10,"1"
"381909","57",10,"1",31,""
"381909","98",12,"0",31,""
"381909","99",12,"370",12,"145"
"381945","6",10,"154",10,"3"
"381945","98",12,"0",31,""
"381945","99",12,"154",12,"3"
"381990","6",10,"1",31,""
"381990","48",10,"139",10,"26"
"381990","98",12,"0",31,""
"381990","99",12,"140",12,"26"
"382018","98",12,"222",31,""
"382018","99",12,"222",31,""
"382027","1",10,"1",31,""
"382027","2",10,"1",31,""
"382027","4",10,"2",31,""
"382027","6",10,"4",31,""
"382027","8",10,"4",31,""
"382027","9",10,"4",31,""
"382027","11",10,"1",31,""
"382027","12",10,"15",31,""
"382027","15",10,"1",31,""
"382027","17",10,"3",31,""
"382027","18",10,"1",31,""
"382027","19",10,"1",31,""
"382027","20",10,"1",31,""
"382027","21",10,"1",31,""
"382027","23",10,"5",31,""
"382027","25",10,"20",31,""
"382027","26",10,"1",31,""
"382027","27",10,"1",31,""
"382027","29",10,"1",31,""
"382027","30",10,"1",31,""
"382027","32",10,"1",31,""
"382027","33",10,"4",31,""
"382027","34",10,"11",31,""
"382027","36",10,"18",31,""
"382027","37",10,"2",31,""
"382027","38",10,"1",31,""
"382027","40",10,"1",31,""
"382027","42",10,"3",31,""
"382027","48",10,"12",10,"0"
"382027","49",10,"1",10,"0"
"382027","50",10,"20",10,"10"
"382027","51",10,"1",10,"0"
"382027","53",10,"2",10,"0"
"382027","55",10,"2",10,"0"
"382027","56",10,"1",10,"0"
"382027","57",10,"3",10,"0"
