unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,"xcmp1ay1",cmp1ay1,"xcmp1ay2",cmp1ay2,"xcmp1ay3",cmp1ay3,"xcmp2ay1",cmp2ay1,"xcmp2ay2",cmp2ay2,"xcmp2ay3",cmp2ay3,"xcmp3ay1",cmp3ay1,"xcmp3ay2",cmp3ay2,"xcmp3ay3",cmp3ay3
"100636",10,"0",10,"0",10,"0",30,"",10,"0",13,"0",10,"0",30,"",10,"0",13,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100654",10,"3432",10,"640",10,"143",30,"",10,"3432",10,"640",10,"143",30,"",10,"6864",10,"640",10,"286",30,"",10,"3924",10,"650",10,"218",10,"3924",10,"650",10,"218",10,"7848",10,"650",10,"436",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3640",10,"3640",10,"4072",10,"3640",10,"3640",10,"4072",10,"6760",10,"6760",10,"7304",10,"1800",10,"1800",10,"1800",10,"4770",10,"4770",10,"4770",10,"2600",10,"2600",10,"2600",10,"4770",10,"4770",10,"4770",10,"2600",10,"2600",10,"2600",10,"1300",10,"1300",10,"1300",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100663",10,"3384",10,"824",10,"141",30,"",10,"3384",10,"824",10,"141",30,"",10,"8472",10,"824",10,"353",30,"",10,"3276",10,"644",10,"182",10,"3276",10,"644",10,"182",10,"8190",10,"644",10,"455",33,"",33,"",33,"",33,"",10,"11544",10,"1632",10,"34632",10,"1632",10,"13620",10,"1405",10,"40860",10,"1405",10,"12128",10,"2772",10,"36384",10,"2772",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3892",10,"3892",10,"4208",10,"3892",10,"3892",10,"4208",10,"8644",10,"8644",10,"9296",10,"900",10,"900",10,"900",10,"8924",10,"9080",10,"8924",10,"2438",10,"2438",10,"3575",10,"8904",10,"8904",10,"8924",10,"3375",10,"3375",10,"3575",10,"3375",10,"3375",10,"3575",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100690",10,"6240",10,"0",10,"260",30,"",10,"6240",13,"0",10,"260",30,"",10,"6240",13,"0",10,"260",30,"",10,"9180",10,"800",10,"510",10,"9180",10,"800",10,"510",10,"9180",10,"800",10,"510",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"9180",10,"800",10,"9180",10,"800",33,"",33,"",33,"",33,"",10,"10400",10,"6000",10,"6240",10,"10400",10,"6000",10,"6240",10,"10400",10,"6000",10,"6240",10,"600",10,"720",10,"500",30,"",30,"",30,"",30,"",30,"",30,"",10,"7782",10,"8000",10,"9600",10,"1474",10,"1500",10,"2400",10,"1474",10,"1500",10,"2400",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100706",10,"4346",10,"870",10,"166",30,"",10,"4346",10,"870",10,"166",30,"",10,"9284",10,"1740",10,"355",30,"",10,"5852",10,"696",10,"276",10,"5852",10,"696",10,"276",10,"12074",10,"1392",10,"565",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4688",10,"4848",10,"5216",10,"4688",10,"4848",10,"5216",10,"9886",10,"10224",10,"11024",10,"720",10,"720",10,"942",10,"6180",10,"6180",10,"6290",10,"2015",10,"2176",10,"2944",10,"6180",10,"6180",10,"6290",10,"2280",10,"2176",10,"2944",10,"2280",10,"2176",10,"2944",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100724",10,"4008",10,"500",10,"167",30,"",10,"4008",10,"500",10,"167",30,"",10,"8016",10,"500",10,"334",30,"",10,"4608",10,"500",10,"192",10,"4608",10,"500",10,"192",10,"9216",10,"500",10,"384",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4008",10,"4008",10,"4508",10,"4008",10,"4008",10,"4508",10,"8016",10,"8016",10,"8516",10,"800",10,"1000",10,"1000",10,"3600",10,"3600",10,"4150",10,"2310",10,"2310",10,"2310",10,"5625",10,"5625",10,"5625",10,"2820",10,"2310",10,"2310",10,"2820",10,"2820",10,"2820",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100751",10,"5700",10,"0",10,"433",30,"",10,"5700",10,"0",10,"433",30,"",10,"16518",10,"0",10,"907",30,"",10,"5700",10,"0",10,"448",10,"5700",10,"0",10,"448",10,"16518",10,"0",10,"973",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"15025",10,"0",10,"42265",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"11190",10,"0",10,"22170",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"4864",10,"5278",10,"5700",10,"4864",10,"5278",10,"5700",10,"13516",10,"15294",10,"16518",10,"900",10,"950",10,"950",10,"8000",10,"8550",10,"8950",10,"2820",10,"3093",10,"3002",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100760",10,"2130",10,"570",10,"71",30,"",10,"2130",10,"570",10,"71",30,"",10,"4260",10,"570",10,"142",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2340",10,"2340",10,"2700",10,"2340",10,"2340",10,"2700",10,"4830",10,"4830",10,"4830",10,"700",10,"800",10,"800",30,"",30,"",30,"",30,"",30,"",30,"",10,"6400",10,"6400",10,"6400",10,"1075",10,"1075",10,"1075",10,"1000",10,"1000",10,"1000",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100812",10,"3300",10,"750",10,"110",30,"",10,"3300",10,"750",10,"110",30,"",10,"6600",10,"750",10,"220",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100830",10,"4740",10,"270",10,"158",30,"",10,"4740",10,"270",10,"158",30,"",10,"14220",10,"270",10,"474",30,"",10,"4536",10,"234",10,"189",10,"4536",10,"234",10,"189",10,"13608",10,"234",10,"567",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4640",10,"4760",10,"5010",10,"4640",10,"4760",10,"5010",10,"13460",10,"13760",10,"14490",10,"800",10,"800",10,"800",10,"4890",10,"4890",10,"4890",10,"1910",10,"1910",10,"2150",10,"6890",10,"6890",10,"6890",10,"2360",10,"2360",10,"2600",10,"1910",10,"1910",10,"2150",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
