unitid,efcstate,line,"xefres01",efres01,"xefres02",efres02
"100654","1","1",10,"736",10,"586"
"100654","2","2",10,"1",10,"1"
"100654","5","5",10,"6",10,"6"
"100654","6","6",10,"23",10,"22"
"100654","8","8",10,"1",10,"1"
"100654","9","9",10,"2",10,"1"
"100654","10","10",10,"1",10,"0"
"100654","11","11",10,"4",10,"4"
"100654","12","12",10,"22",10,"19"
"100654","13","13",10,"88",10,"80"
"100654","17","17",10,"98",10,"92"
"100654","18","18",10,"23",10,"23"
"100654","20","20",10,"3",10,"2"
"100654","21","21",10,"6",10,"4"
"100654","22","22",10,"10",10,"10"
"100654","24","24",10,"8",10,"6"
"100654","25","25",10,"2",10,"2"
"100654","26","26",10,"68",10,"62"
"100654","27","27",10,"1",10,"1"
"100654","28","28",10,"11",10,"11"
"100654","29","29",10,"55",10,"53"
"100654","32","32",10,"2",10,"1"
"100654","34","34",10,"4",10,"3"
"100654","35","35",10,"1",10,"1"
"100654","36","36",10,"12",10,"11"
"100654","37","37",10,"7",10,"5"
"100654","39","39",10,"30",10,"26"
"100654","40","40",10,"1",10,"1"
"100654","41","41",10,"1",10,"0"
"100654","42","42",10,"1",10,"0"
"100654","45","45",10,"1",10,"1"
"100654","47","47",10,"31",10,"28"
"100654","48","48",10,"7",10,"7"
"100654","55","55",10,"4",10,"4"
"100654","57","57",10,"5",10,"4"
"100654","58","999",10,"1276",10,"1078"
"100654","72","72",10,"1",10,"1"
"100654","78","78",10,"2",10,"2"
"100654","89","999",10,"3",10,"3"
"100654","90","90",10,"22",10,"3"
"100654","99","99",10,"1301",10,"1084"
"100663","1","1",10,"1539",10,"1381"
"100663","5","5",10,"1",10,"1"
"100663","6","6",10,"3",10,"2"
"100663","8","8",10,"1",10,"1"
"100663","11","11",10,"1",10,"1"
"100663","12","12",10,"14",10,"14"
"100663","13","13",10,"23",10,"23"
"100663","17","17",10,"5",10,"5"
"100663","18","18",10,"3",10,"3"
"100663","21","21",10,"2",10,"2"
"100663","22","22",10,"5",10,"4"
"100663","24","24",10,"4",10,"4"
"100663","26","26",10,"1",10,"1"
"100663","27","27",10,"1",10,"1"
"100663","28","28",10,"20",10,"19"
"100663","29","29",10,"2",10,"2"
"100663","35","35",10,"1",10,"1"
"100663","36","36",10,"5",10,"4"
"100663","37","37",10,"3",10,"3"
"100663","39","39",10,"3",10,"3"
"100663","40","40",10,"2",10,"2"
"100663","41","41",10,"2",10,"2"
"100663","45","45",10,"1",10,"1"
"100663","47","47",10,"20",10,"20"
"100663","48","48",10,"9",10,"7"
"100663","51","51",10,"4",10,"4"
"100663","53","53",10,"2",10,"2"
"100663","58","999",10,"1677",10,"1513"
"100663","90","90",10,"31",10,"18"
"100663","99","99",10,"1708",10,"1531"
"100690","1","1",10,"2",10,"0"
"100690","58","999",10,"2",13,"0"
"100690","99","99",10,"2",10,"0"
"100706","1","1",10,"630",10,"591"
"100706","5","5",10,"2",10,"2"
"100706","10","10",10,"1",10,"1"
"100706","12","12",10,"1",10,"1"
"100706","13","13",10,"7",10,"7"
"100706","17","17",10,"4",10,"4"
"100706","18","18",10,"5",10,"4"
"100706","20","20",10,"1",10,"1"
"100706","21","21",10,"4",10,"4"
"100706","22","22",10,"3",10,"3"
"100706","23","23",10,"1",10,"0"
"100706","25","25",10,"1",10,"1"
"100706","26","26",10,"1",10,"1"
"100706","27","27",10,"1",10,"1"
"100706","28","28",10,"3",10,"3"
"100706","29","29",10,"4",10,"4"
"100706","34","34",10,"1",10,"1"
"100706","35","35",10,"1",10,"1"
"100706","36","36",10,"1",10,"1"
"100706","39","39",10,"2",10,"2"
"100706","42","42",10,"4",10,"3"
"100706","45","45",10,"1",10,"1"
"100706","47","47",10,"91",10,"88"
"100706","48","48",10,"2",10,"2"
"100706","51","51",10,"4",10,"4"
"100706","57","57",10,"11",10,"0"
"100706","58","999",10,"787",10,"731"
"100706","90","90",10,"11",10,"5"
"100706","99","99",10,"798",10,"736"
"100724","1","1",10,"255",10,"120"
"100724","2","2",10,"1",10,"0"
"100724","6","6",10,"23",10,"13"
"100724","8","8",10,"6",10,"1"
"100724","9","9",10,"2",10,"1"
"100724","11","11",10,"2",10,"1"
"100724","12","12",10,"14",10,"4"
"100724","13","13",10,"60",10,"24"
"100724","17","17",10,"16",10,"9"
"100724","18","18",10,"2",10,"1"
"100724","19","19",10,"1",10,"0"
"100724","20","20",10,"3",10,"3"
"100724","21","21",10,"1",10,"0"
"100724","22","22",10,"3",10,"3"
"100724","23","23",10,"5",10,"3"
"100724","24","24",10,"1",10,"1"
"100724","26","26",10,"28",10,"14"
"100724","27","27",10,"1",10,"1"
"100724","28","28",10,"8",10,"2"
"100724","29","29",10,"3",10,"1"
"100724","34","34",10,"1",10,"1"
"100724","36","36",10,"5",10,"3"
"100724","37","37",10,"1",10,"0"
"100724","39","39",10,"13",10,"5"
"100724","42","42",10,"1",10,"0"
"100724","45","45",10,"4",10,"1"
"100724","47","47",10,"5",10,"0"
"100724","48","48",10,"4",10,"3"
"100724","51","51",10,"2",10,"2"
"100724","55","55",10,"2",10,"1"
"100724","57","57",10,"776",10,"404"
"100724","58","999",10,"1249",10,"622"
"100724","99","99",10,"1249",10,"622"
"100751","1","1",10,"2278",10,"2209"
"100751","5","5",10,"2",10,"2"
"100751","6","6",10,"9",10,"9"
"100751","8","8",10,"4",10,"3"
"100751","9","9",10,"3",10,"3"
"100751","10","10",10,"2",10,"2"
"100751","12","12",10,"59",10,"58"
"100751","13","13",10,"215",10,"212"
"100751","17","17",10,"10",10,"10"
"100751","18","18",10,"6",10,"6"
"100751","21","21",10,"14",10,"14"
"100751","22","22",10,"58",10,"57"
"100751","23","23",10,"1",10,"1"
"100751","24","24",10,"12",10,"11"
"100751","25","25",10,"2",10,"2"
"100751","26","26",10,"8",10,"8"
"100751","27","27",10,"2",10,"2"
"100751","28","28",10,"56",10,"56"
"100751","29","29",10,"7",10,"7"
"100751","31","31",10,"1",10,"1"
"100751","32","32",10,"2",10,"2"
"100751","33","33",10,"3",10,"2"
"100751","34","34",10,"8",10,"7"
"100751","35","35",10,"3",10,"3"
"100751","36","36",10,"3",10,"3"
"100751","37","37",10,"19",10,"18"
"100751","39","39",10,"14",10,"14"
"100751","40","40",10,"3",10,"3"
"100751","41","41",10,"2",10,"1"
"100751","42","42",10,"8",10,"8"
"100751","45","45",10,"13",10,"13"
"100751","47","47",10,"141",10,"138"
"100751","48","48",10,"50",10,"50"
"100751","50","50",10,"1",10,"1"
"100751","51","51",10,"30",10,"28"
"100751","53","53",10,"1",10,"1"
"100751","54","54",10,"1",10,"1"
"100751","55","55",10,"2",10,"2"
"100751","58","999",10,"3053",10,"2968"
"100751","72","72",10,"1",10,"1"
"100751","89","999",10,"1",10,"1"
"100751","90","90",10,"23",10,"14"
"100751","99","99",10,"3077",10,"2983"
"100760","1","1",10,"622",13,"0"
"100760","13","13",10,"1",13,"0"
"100760","58","999",10,"623",13,"0"
"100760","90","90",10,"4",13,"0"
"100760","99","99",10,"627",13,"0"
"100858","1","1",10,"2182",10,"2134"
"100858","2","2",10,"2",10,"2"
"100858","4","4",10,"1",10,"1"
"100858","5","5",10,"2",10,"2"
"100858","6","6",10,"6",10,"5"
"100858","8","8",10,"3",10,"2"
"100858","9","9",10,"4",10,"4"
"100858","10","10",10,"1",10,"1"
"100858","12","12",10,"199",10,"194"
"100858","13","13",10,"629",10,"618"
"100858","15","15",10,"1",10,"0"
"100858","17","17",10,"21",10,"21"
"100858","18","18",10,"13",10,"13"
"100858","19","19",10,"2",10,"2"
"100858","21","21",10,"39",10,"39"
"100858","22","22",10,"38",10,"36"
"100858","24","24",10,"14",10,"14"
"100858","25","25",10,"4",10,"4"
"100858","26","26",10,"2",10,"2"
"100858","27","27",10,"1",10,"1"
"100858","28","28",10,"19",10,"19"
"100858","29","29",10,"18",10,"17"
"100858","31","31",10,"1",10,"1"
"100858","32","32",10,"1",10,"1"
"100858","33","33",10,"2",10,"2"
"100858","34","34",10,"10",10,"10"
"100858","35","35",10,"2",10,"2"
"100858","36","36",10,"4",10,"4"
"100858","37","37",10,"34",10,"34"
"100858","38","38",10,"1",10,"1"
"100858","39","39",10,"16",10,"16"
"100858","40","40",10,"3",10,"3"
"100858","42","42",10,"17",10,"17"
"100858","44","44",10,"4",10,"4"
"100858","45","45",10,"34",10,"34"
"100858","47","47",10,"209",10,"207"
"100858","48","48",10,"86",10,"85"
"100858","50","50",10,"2",10,"2"
"100858","51","51",10,"46",10,"43"
"100858","53","53",10,"4",10,"4"
"100858","55","55",10,"7",10,"7"
"100858","58","999",10,"3684",10,"3608"
"100858","64","64",10,"1",10,"1"
"100858","89","999",10,"1",10,"1"
"100858","90","90",10,"21",10,"16"
"100858","99","99",10,"3706",10,"3625"
"100919","1","1",10,"180",10,"64"
"100919","17","17",10,"1",10,"1"
"100919","29","29",10,"1",10,"0"
"100919","47","47",10,"2",10,"1"
"100919","58","999",10,"184",10,"66"
"100919","99","99",10,"184",10,"66"
"100937","1","1",10,"248",13,"0"
"100937","8","8",10,"2",13,"0"
"100937","11","11",10,"1",13,"0"
"100937","12","12",10,"14",13,"0"
"100937","13","13",10,"19",13,"0"
"100937","16","16",10,"1",13,"0"
"100937","18","18",10,"2",13,"0"
"100937","21","21",10,"2",13,"0"
"100937","22","22",10,"16",13,"0"
"100937","24","24",10,"2",13,"0"
"100937","26","26",10,"2",13,"0"
"100937","28","28",10,"9",13,"0"
"100937","31","31",10,"1",13,"0"
"100937","37","37",10,"2",13,"0"
"100937","39","39",10,"2",13,"0"
"100937","41","41",10,"1",13,"0"
"100937","42","42",10,"1",13,"0"
"100937","47","47",10,"22",13,"0"
"100937","48","48",10,"4",13,"0"
"100937","51","51",10,"2",13,"0"
"100937","53","53",10,"1",13,"0"
"100937","58","999",10,"354",13,"0"
"100937","90","90",10,"2",13,"0"
"100937","99","99",10,"356",13,"0"
"100973","1","1",10,"109",10,"46"
"100973","47","47",10,"1",10,"0"
"100973","58","999",10,"110",10,"46"
"100973","98","98",10,"11",10,"0"
"100973","99","99",10,"121",10,"46"
"101028","1","1",10,"211",10,"105"
"101028","13","13",10,"128",10,"75"
"101028","58","999",10,"339",10,"180"
"101028","99","99",10,"339",10,"180"
"101073","1","1",10,"139",10,"119"
"101073","5","5",10,"1",10,"0"
"101073","8","8",10,"3",10,"0"
"101073","12","12",10,"4",10,"0"
"101073","13","13",10,"3",10,"0"
"101073","17","17",10,"1",10,"1"
"101073","26","26",10,"2",10,"1"
"101073","28","28",10,"4",10,"0"
"101073","29","29",10,"4",10,"3"
"101073","36","36",10,"1",10,"0"
"101073","47","47",10,"1",10,"0"
"101073","58","999",10,"163",10,"124"
"101073","90","90",10,"7",10,"0"
"101073","98","98",10,"16",10,"0"
"101073","99","99",10,"186",10,"124"
"101143","1","1",10,"439",10,"308"
"101143","12","12",10,"13",10,"10"
"101143","13","13",10,"2",10,"2"
"101143","17","17",10,"1",10,"0"
"101143","22","22",10,"1",10,"1"
"101143","29","29",10,"1",10,"0"
"101143","42","42",10,"1",10,"0"
"101143","48","48",10,"1",10,"0"
"101143","51","51",10,"1",10,"1"
"101143","58","999",10,"460",10,"322"
"101143","99","99",10,"460",10,"322"
"101161","1","1",10,"830",10,"638"
"101161","12","12",10,"11",10,"10"
"101161","13","13",10,"1",10,"1"
"101161","22","22",10,"2",10,"0"
"101161","28","28",10,"4",10,"4"
"101161","29","29",10,"1",10,"1"
"101161","37","37",10,"1",10,"1"
"101161","39","39",10,"1",10,"1"
"101161","44","44",10,"1",10,"1"
"101161","48","48",10,"1",10,"1"
"101161","58","999",10,"853",10,"658"
"101161","99","99",10,"853",10,"658"
"101231","1","1",10,"300",10,"22"
"101231","58","999",10,"300",10,"22"
"101231","99","99",10,"300",10,"22"
"101240","1","1",10,"1386",10,"1002"
"101240","12","12",10,"6",10,"1"
"101240","13","13",10,"26",10,"10"
"101240","18","18",10,"1",10,"0"
"101240","28","28",10,"4",10,"0"
"101240","45","45",10,"1",10,"1"
"101240","47","47",10,"3",10,"1"
"101240","48","48",10,"1",10,"0"
"101240","53","53",10,"1",10,"0"
"101240","58","999",10,"1429",10,"1015"
"101240","98","98",10,"46",10,"0"
"101240","99","99",10,"1475",10,"1015"
"101286","1","1",10,"828",10,"486"
"101286","12","12",10,"14",10,"10"
"101286","13","13",10,"15",10,"7"
"101286","22","22",10,"3",10,"3"
"101286","28","28",10,"1",10,"0"
"101286","34","34",10,"1",10,"1"
"101286","57","57",10,"7",10,"4"
"101286","58","999",10,"869",10,"511"
"101286","99","99",10,"869",10,"511"
"101295","1","1",10,"999",10,"466"
"101295","12","12",10,"6",10,"5"
"101295","13","13",10,"6",10,"5"
"101295","25","25",10,"1",10,"1"
"101295","26","26",10,"1",10,"0"
"101295","28","28",10,"1",10,"1"
"101295","42","42",10,"2",10,"1"
"101295","47","47",10,"8",10,"4"
"101295","48","48",10,"4",10,"0"
"101295","49","49",10,"1",10,"0"
"101295","57","57",10,"7",10,"0"
"101295","58","999",10,"1036",10,"483"
"101295","72","72",10,"2",10,"2"
"101295","89","999",10,"2",10,"2"
"101295","98","98",10,"2",10,"0"
"101295","99","99",10,"1040",10,"485"
"101301","1","1",10,"362",10,"234"
"101301","57","57",10,"56",10,"32"
"101301","58","999",10,"418",10,"266"
"101301","99","99",10,"418",10,"266"
"101435","1","1",10,"152",10,"152"
"101435","9","9",10,"1",10,"1"
"101435","12","12",10,"26",10,"26"
"101435","13","13",10,"5",10,"5"
"101435","26","26",10,"1",10,"1"
"101435","28","28",10,"2",10,"2"
"101435","37","37",10,"1",10,"1"
"101435","47","47",10,"4",10,"4"
"101435","48","48",10,"3",10,"3"
"101435","58","999",10,"195",10,"195"
"101435","90","90",10,"6",10,"6"
"101435","99","99",10,"201",10,"201"
"101453","1","1",10,"2",13,"0"
"101453","21","21",10,"1",13,"0"
"101453","28","28",10,"1",13,"0"
"101453","47","47",10,"1",13,"0"
"101453","51","51",10,"1",13,"0"
"101453","58","999",10,"6",13,"0"
"101453","99","99",10,"6",13,"0"
"101462","1","1",10,"197",10,"69"
"101462","47","47",10,"11",10,"2"
"101462","57","57",10,"7",10,"1"
"101462","58","999",10,"215",10,"72"
"101462","99","99",10,"215",10,"72"
"101471","1","1",10,"265",10,"23"
"101471","58","999",10,"265",10,"23"
"101471","99","99",10,"265",10,"23"
"101480","1","1",10,"799",13,"0"
"101480","6","6",10,"1",13,"0"
"101480","10","10",10,"1",13,"0"
"101480","12","12",10,"18",13,"0"
"101480","13","13",10,"168",13,"0"
"101480","17","17",10,"3",13,"0"
"101480","18","18",10,"1",13,"0"
"101480","21","21",10,"2",13,"0"
"101480","23","23",10,"1",13,"0"
"101480","24","24",10,"1",13,"0"
"101480","25","25",10,"1",13,"0"
"101480","26","26",10,"1",13,"0"
"101480","27","27",10,"1",13,"0"
"101480","28","28",10,"6",13,"0"
"101480","29","29",10,"4",13,"0"
"101480","30","30",10,"1",13,"0"
"101480","34","34",10,"2",13,"0"
"101480","36","36",10,"3",13,"0"
"101480","37","37",10,"1",13,"0"
"101480","39","39",10,"3",13,"0"
"101480","41","41",10,"1",13,"0"
"101480","42","42",10,"1",13,"0"
"101480","45","45",10,"1",13,"0"
"101480","47","47",10,"8",13,"0"
"101480","48","48",10,"4",13,"0"
"101480","50","50",10,"1",13,"0"
"101480","51","51",10,"3",13,"0"
"101480","53","53",10,"1",13,"0"
"101480","55","55",10,"4",13,"0"
"101480","56","56",10,"2",13,"0"
"101480","58","999",10,"1044",13,"0"
"101480","90","90",10,"34",13,"0"
"101480","99","99",10,"1078",13,"0"
"101499","1","1",10,"350",10,"107"
"101499","12","12",10,"50",10,"37"
"101499","13","13",10,"6",10,"5"
"101499","47","47",10,"1",10,"1"
"101499","58","999",10,"407",10,"150"
"101499","99","99",10,"407",10,"150"
"101505","1","1",10,"1210",10,"781"
"101505","13","13",10,"1",10,"0"
"101505","20","20",10,"1",10,"1"
"101505","31","31",10,"1",10,"0"
"101505","48","48",10,"2",10,"2"
"101505","51","51",10,"1",10,"1"
"101505","53","53",10,"1",10,"1"
"101505","54","54",10,"1",10,"1"
"101505","58","999",10,"1218",10,"787"
"101505","90","90",10,"16",10,"0"
"101505","99","99",10,"1234",10,"787"
"101514","1","1",10,"1588",10,"1552"
"101514","22","22",10,"1",10,"1"
"101514","28","28",10,"1",10,"1"
"101514","47","47",10,"15",10,"15"
"101514","53","53",10,"1",10,"1"
"101514","58","999",10,"1606",10,"1570"
"101514","98","98",10,"10",10,"0"
"101514","99","99",10,"1616",10,"1570"
