unitid,efcstate,line,"xefres01",efres01,"xefres02",efres02
"100654","1","1",10,"576",10,"533"
"100654","2","2",10,"2",10,"1"
"100654","4","4",10,"1",10,"1"
"100654","5","5",10,"5",10,"5"
"100654","6","6",10,"18",10,"16"
"100654","8","8",10,"2",10,"2"
"100654","9","9",10,"1",10,"1"
"100654","11","11",10,"3",10,"3"
"100654","12","12",10,"15",10,"14"
"100654","13","13",10,"100",10,"94"
"100654","15","15",10,"1",10,"1"
"100654","17","17",10,"61",10,"56"
"100654","18","18",10,"12",10,"12"
"100654","19","19",10,"1",10,"1"
"100654","20","20",10,"3",10,"3"
"100654","21","21",10,"3",10,"3"
"100654","22","22",10,"5",10,"4"
"100654","24","24",10,"1",10,"1"
"100654","25","25",10,"3",10,"3"
"100654","26","26",10,"34",10,"32"
"100654","27","27",10,"1",10,"1"
"100654","28","28",10,"10",10,"9"
"100654","29","29",10,"63",10,"60"
"100654","31","31",10,"1",10,"1"
"100654","34","34",10,"5",10,"4"
"100654","36","36",10,"20",10,"19"
"100654","37","37",10,"6",10,"4"
"100654","39","39",10,"13",10,"12"
"100654","42","42",10,"2",10,"2"
"100654","45","45",10,"3",10,"3"
"100654","47","47",10,"19",10,"18"
"100654","48","48",10,"17",10,"16"
"100654","51","51",10,"7",10,"7"
"100654","53","53",10,"2",10,"2"
"100654","54","54",10,"1",10,"1"
"100654","55","55",10,"3",10,"3"
"100654","58","999",10,"1020",10,"948"
"100654","72","72",10,"3",10,"3"
"100654","89","999",10,"3",10,"3"
"100654","90","90",10,"23",10,"14"
"100654","99","99",10,"1046",10,"965"
"100663","1","1",10,"1155",10,"1114"
"100663","5","5",10,"1",10,"1"
"100663","6","6",10,"3",10,"3"
"100663","8","8",10,"1",10,"1"
"100663","9","9",10,"1",10,"1"
"100663","11","11",10,"1",10,"1"
"100663","12","12",10,"4",10,"4"
"100663","13","13",10,"37",10,"37"
"100663","17","17",10,"5",10,"5"
"100663","18","18",10,"2",10,"2"
"100663","21","21",10,"3",10,"3"
"100663","22","22",10,"3",10,"2"
"100663","24","24",10,"1",10,"1"
"100663","28","28",10,"20",10,"19"
"100663","29","29",10,"1",10,"1"
"100663","36","36",10,"1",10,"0"
"100663","37","37",10,"1",10,"1"
"100663","39","39",10,"1",10,"1"
"100663","45","45",10,"4",10,"4"
"100663","47","47",10,"5",10,"5"
"100663","48","48",10,"7",10,"7"
"100663","51","51",10,"1",10,"1"
"100663","57","57",10,"1",10,"1"
"100663","58","999",10,"1259",10,"1215"
"100663","90","90",10,"18",10,"0"
"100663","99","99",10,"1277",10,"1215"
"100690","1","1",10,"6",13,"0"
"100690","12","12",10,"1",13,"0"
"100690","13","13",10,"3",10,"1"
"100690","24","24",10,"1",13,"0"
"100690","34","34",10,"1",13,"0"
"100690","58","999",10,"12",10,"1"
"100690","98","98",10,"1",30,""
"100690","99","99",10,"13",10,"1"
"100706","1","1",10,"650",10,"587"
"100706","4","4",10,"2",10,"2"
"100706","5","5",10,"1",10,"1"
"100706","6","6",10,"1",10,"0"
"100706","12","12",10,"7",10,"7"
"100706","13","13",10,"9",10,"9"
"100706","15","15",10,"1",10,"1"
"100706","17","17",10,"7",10,"6"
"100706","18","18",10,"1",10,"1"
"100706","20","20",10,"4",10,"4"
"100706","21","21",10,"5",10,"4"
"100706","24","24",10,"1",10,"0"
"100706","26","26",10,"1",10,"0"
"100706","28","28",10,"1",10,"1"
"100706","29","29",10,"5",10,"4"
"100706","34","34",10,"1",10,"1"
"100706","36","36",10,"3",10,"3"
"100706","37","37",10,"4",10,"3"
"100706","39","39",10,"3",10,"3"
"100706","40","40",10,"1",10,"1"
"100706","41","41",10,"1",10,"1"
"100706","42","42",10,"2",10,"2"
"100706","47","47",10,"47",10,"42"
"100706","48","48",10,"4",10,"3"
"100706","50","50",10,"1",10,"1"
"100706","51","51",10,"8",10,"8"
"100706","53","53",10,"1",10,"0"
"100706","57","57",10,"3",10,"3"
"100706","58","999",10,"775",10,"698"
"100706","78","78",10,"2",10,"2"
"100706","89","999",10,"2",10,"2"
"100706","90","90",10,"19",10,"11"
"100706","99","99",10,"796",10,"711"
"100724","1","1",10,"705",10,"582"
"100724","2","2",10,"1",10,"1"
"100724","5","5",10,"1",10,"1"
"100724","6","6",10,"28",10,"20"
"100724","8","8",10,"3",10,"3"
"100724","9","9",10,"1",10,"1"
"100724","11","11",10,"2",13,"0"
"100724","12","12",10,"87",10,"77"
"100724","13","13",10,"210",10,"167"
"100724","15","15",10,"1",13,"0"
"100724","17","17",10,"41",10,"36"
"100724","18","18",10,"4",10,"4"
"100724","22","22",10,"8",10,"8"
"100724","24","24",10,"7",10,"6"
"100724","25","25",10,"3",10,"3"
"100724","26","26",10,"97",10,"87"
"100724","27","27",10,"2",10,"2"
"100724","28","28",10,"9",10,"9"
"100724","29","29",10,"5",10,"5"
"100724","31","31",10,"2",10,"1"
"100724","32","32",10,"5",10,"5"
"100724","34","34",10,"6",10,"6"
"100724","36","36",10,"9",10,"7"
"100724","37","37",10,"3",10,"3"
"100724","39","39",10,"31",10,"24"
"100724","42","42",10,"2",10,"2"
"100724","45","45",10,"5",10,"4"
"100724","47","47",10,"20",10,"18"
"100724","48","48",10,"12",10,"9"
"100724","51","51",10,"9",10,"7"
"100724","53","53",10,"6",10,"5"
"100724","55","55",10,"8",10,"8"
"100724","57","57",10,"43",10,"30"
"100724","58","999",10,"1376",10,"1141"
"100724","90","90",10,"2",13,"0"
"100724","99","99",10,"1378",10,"1141"
"100751","1","1",10,"3221",10,"3112"
"100751","2","2",10,"3",10,"3"
"100751","5","5",10,"7",10,"7"
"100751","6","6",10,"14",10,"14"
"100751","8","8",10,"13",10,"13"
"100751","9","9",10,"14",10,"14"
"100751","10","10",10,"1",10,"1"
"100751","11","11",10,"2",10,"2"
"100751","12","12",10,"207",10,"202"
"100751","13","13",10,"567",10,"560"
"100751","15","15",10,"1",10,"1"
"100751","17","17",10,"45",10,"43"
"100751","18","18",10,"10",10,"10"
"100751","19","19",10,"2",10,"2"
"100751","20","20",10,"4",10,"4"
"100751","21","21",10,"23",10,"23"
"100751","22","22",10,"71",10,"69"
"100751","23","23",10,"1",10,"1"
"100751","24","24",10,"41",10,"39"
"100751","25","25",10,"9",10,"8"
"100751","26","26",10,"7",10,"7"
"100751","27","27",10,"3",10,"3"
"100751","28","28",10,"39",10,"39"
"100751","29","29",10,"8",10,"8"
"100751","32","32",10,"1",10,"1"
"100751","33","33",10,"3",10,"2"
"100751","34","34",10,"14",10,"14"
"100751","36","36",10,"16",10,"14"
"100751","37","37",10,"79",10,"77"
"100751","39","39",10,"44",10,"42"
"100751","40","40",10,"2",10,"2"
"100751","41","41",10,"1",10,"1"
"100751","42","42",10,"22",10,"21"
"100751","45","45",10,"48",10,"47"
"100751","46","46",10,"1",10,"1"
"100751","47","47",10,"247",10,"244"
"100751","48","48",10,"185",10,"179"
"100751","49","49",10,"2",10,"2"
"100751","51","51",10,"107",10,"106"
"100751","53","53",10,"2",10,"2"
"100751","54","54",10,"3",10,"3"
"100751","55","55",10,"10",10,"10"
"100751","57","57",10,"1",13,"0"
"100751","58","999",10,"5101",10,"4953"
"100751","90","90",10,"15",10,"2"
"100751","99","99",10,"5116",10,"4955"
"100760","1","1",10,"468",10,"360"
"100760","12","12",10,"3",10,"3"
"100760","13","13",10,"2",10,"2"
"100760","22","22",10,"1",10,"1"
"100760","47","47",10,"1",10,"1"
"100760","48","48",10,"1",10,"1"
"100760","57","57",10,"20",10,"12"
"100760","58","999",10,"496",10,"380"
"100760","99","99",10,"496",10,"380"
"100830","1","1",10,"750",10,"579"
"100830","5","5",10,"2",10,"2"
"100830","6","6",10,"1",10,"1"
"100830","12","12",10,"9",10,"8"
"100830","13","13",10,"28",10,"26"
"100830","17","17",10,"1",10,"0"
"100830","26","26",10,"2",10,"0"
"100830","28","28",10,"1",10,"1"
"100830","31","31",10,"1",10,"1"
"100830","33","33",10,"1",10,"1"
"100830","36","36",10,"3",10,"3"
"100830","37","37",10,"2",10,"1"
"100830","39","39",10,"1",10,"1"
"100830","45","45",10,"2",10,"1"
"100830","47","47",10,"3",10,"3"
"100830","48","48",10,"2",10,"2"
"100830","53","53",10,"1",10,"1"
"100830","57","57",10,"1",10,"1"
"100830","58","999",10,"811",10,"632"
"100830","90","90",10,"10",10,"0"
"100830","99","99",10,"821",10,"632"
"100858","1","1",10,"2283",10,"2279"
"100858","2","2",10,"1",10,"1"
"100858","4","4",10,"4",10,"4"
"100858","5","5",10,"3",10,"3"
"100858","6","6",10,"18",10,"18"
"100858","8","8",10,"6",10,"6"
"100858","9","9",10,"13",10,"13"
"100858","10","10",10,"3",10,"3"
"100858","12","12",10,"283",10,"282"
"100858","13","13",10,"654",10,"653"
"100858","17","17",10,"26",10,"26"
"100858","18","18",10,"10",10,"10"
"100858","20","20",10,"6",10,"6"
"100858","21","21",10,"16",10,"16"
"100858","22","22",10,"28",10,"27"
"100858","23","23",10,"1",10,"1"
"100858","24","24",10,"29",10,"29"
"100858","25","25",10,"7",10,"7"
"100858","26","26",10,"4",10,"4"
"100858","27","27",10,"3",10,"3"
"100858","28","28",10,"22",10,"22"
"100858","29","29",10,"17",10,"16"
"100858","31","31",10,"1",10,"1"
"100858","32","32",10,"1",10,"1"
"100858","33","33",10,"2",10,"2"
"100858","34","34",10,"17",10,"17"
"100858","35","35",10,"3",10,"3"
"100858","36","36",10,"10",10,"10"
"100858","37","37",10,"44",10,"43"
"100858","39","39",10,"24",10,"24"
"100858","40","40",10,"5",10,"5"
"100858","41","41",10,"1",10,"1"
"100858","42","42",10,"12",10,"12"
"100858","44","44",10,"1",10,"1"
"100858","45","45",10,"46",10,"46"
"100858","46","46",10,"1",10,"1"
"100858","47","47",10,"139",10,"139"
"100858","48","48",10,"130",10,"130"
"100858","51","51",10,"69",10,"68"
"100858","53","53",10,"3",10,"3"
"100858","54","54",10,"2",10,"2"
"100858","55","55",10,"7",10,"7"
"100858","57","57",10,"4",10,"4"
"100858","58","999",10,"3959",10,"3949"
"100858","72","72",10,"1",10,"1"
"100858","89","999",10,"1",10,"1"
"100858","90","90",10,"24",10,"24"
"100858","99","99",10,"3984",10,"3974"
"100937","1","1",10,"256",10,"256"
"100937","6","6",10,"1",10,"1"
"100937","12","12",10,"24",10,"24"
"100937","13","13",10,"50",10,"50"
"100937","17","17",10,"1",10,"1"
"100937","18","18",10,"1",10,"1"
"100937","20","20",10,"1",10,"1"
"100937","21","21",10,"6",10,"6"
"100937","22","22",10,"15",10,"15"
"100937","24","24",10,"3",10,"3"
"100937","27","27",10,"1",10,"1"
"100937","28","28",10,"17",10,"17"
"100937","29","29",10,"2",10,"2"
"100937","30","30",10,"1",10,"1"
"100937","37","37",10,"1",10,"1"
"100937","39","39",10,"2",10,"2"
"100937","45","45",10,"6",10,"6"
"100937","47","47",10,"39",10,"39"
"100937","48","48",10,"16",10,"16"
"100937","50","50",10,"1",10,"1"
"100937","51","51",10,"1",10,"1"
"100937","53","53",10,"1",10,"1"
"100937","57","57",10,"1",10,"1"
"100937","58","999",10,"447",10,"447"
"100937","90","90",10,"4",10,"4"
"100937","99","99",10,"451",10,"451"
"101028","1","1",10,"247",10,"156"
