unitid,ftstu,apfee,applfeeu,applfeeg,applfeep,chgper1,chgper2,chgper3,chgper4,chgper5,tuition1,tuition2,tuition3,tuition4,tpugcred,tpugcont,tuition5,tuition6,tuition7,tuition8,tpgdcred,isprof1,osprof1,isprof2,osprof2,isprof3,osprof3,isprof4,osprof4,isprof5,osprof5,isprof6,osprof6,isprof7,osprof7,isprof8,osprof8,isprof9,osprof9,isprof10,osprof10,isprof11,osprof11,profna,tpfpcred,room,roomcap,board,mealswk,mealsvry,roomamt,boardamt,roombord,rmbrdamt,prgmoffr,pg300,cipcode1,ciptuit1,cipsupp1,ciplgth1,cipenrl1,cipcomp1,cipcode2,ciptuit2,cipsupp2,ciplgth2,cipenrl2,cipcomp2,cipcode3,ciptuit3,cipsupp3,ciplgth3,cipenrl3,cipcomp3,cipcode4,ciptuit4,cipsupp4,ciplgth4,cipenrl4,cipcomp4,cipcode5,ciptuit5,cipsupp5,ciplgth5,cipenrl5,cipcomp5,cipcode6,ciptuit6,cipsupp6,ciplgth6,cipenrl6,cipcomp6
"427326","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",120503,10550,,300,49,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427308","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1",529999,8900,,1440,0,0,529999,8900,,1440,49,0,119999,8900,,1440,37,20,510705,8900,,1440,12,27,220103,3100,,600,0,0,,,,,,
"427344","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",120502,499,,40,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427371","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",520701,0,,60,0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427405","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",520302,3400,,1390,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427423","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","2",480508,5310,,200,5,,480508,2010,,50,6,,480508,2750,,80,4,,,,,,,,,,,,,,,,,,,
"427432","1","1","20","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","3","1",511699,2500,,120,16,16,200399,1825,,132,3,3,510801,9000,,1500,0,0,,,,,,,,,,,,,,,,,,
"427469","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",511614,945,,120,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427487","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",511614,795,,120,6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427520","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1",510705,5450,,720,2,3,110301,5450,,720,2,3,520401,5450,,720,0,1,520101,5450,,720,0,9,520399,5450,,720,0,1,,,,,,
"427557","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1",510705,5450,,720,0,13,110301,5450,,720,1,8,520401,5450,,720,0,5,520101,5450,,720,0,5,520399,5450,,720,0,3,,,,,,
"427566","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1",520402,5000,,528,4,,520404,10000,,880,0,,521299,5200,,736,1,,,,,,,,,,,,,,,,,,,
"427584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427627","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",510601,1995,,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427663","1","1","100","","","","1","","","","7144","7144","7144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427681","1","1","200","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",512399,2400,250,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427751","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",460501,594,,2780,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427760","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1",110101,3500,,300,90,,520407,3500,,300,2,,,,,,,,,,,,,,,,,,,,,,,,,
"427788","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1",490107,3360,,80,,,490199,3000,,40,,,490102,16500,,300,,,,,,,,,,,,,,,,,,,,
"427797","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2",490107,3000,,40,12,,490199,4000,,60,6,,490102,7000,,70,3,,,,,,,,,,,,,,,,,,,
"427812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427830","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",520903,1745,,144,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427849","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",120405,6300,,760,13,3,120499,750,,72,0,,120499,700,,72,0,,,,,,,,,,,,,,,,,,,
"427876","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",460401,6635,0,1030,,,520408,7085,0,1130,,,499999,5870,0,860,,,,,,,,,,,,,,,,,,,,
"427894","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1",520408,6500,0,1000,,,460401,6635,0,1030,,,470201,6500,0,1000,,,480201,6770,0,1060,,,499999,5870,0,860,,,,,,,,
"427900","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1",520408,6500,0,1000,,,460401,6635,0,1030,,,510801,7085,0,1130,,,460501,3500,0,325,,,,,,,,,,,,,,
"427919","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1",510705,6500,0,1000,,,150399,6185,0,930,,,460401,6635,0,1030,,,499999,5870,0,860,,,,,,,,,,,,,,
"427937","1","1","50","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",520405,1850,,3264,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427964","1","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",511004,0,270,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427973","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","1",470607,14925,,2000,,,470607,8965,,1200,,,470608,8965,,1200,,,,,,,,,,,,,,,,,,,,
"427982","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",511614,4800,,600,,,119999,7200,,900,,,510801,7200,,900,,,,,,,,,,,,,,,,,,,,
"427991","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","1",520101,1200,,1260,,,511614,2400,,1321,,,430199,2460,,900,,,,,,,,,,,,,,,,,,,,
"428000","1","2","","","","","1","","1","","11400","11400","11400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","1",90201,2850,2920,1936,,,90201,2850,2920,1936,,,500401,2850,2920,1936,,,500401,2850,2920,1936,,,500605,2850,2920,1936,,,,,,,,
"428019","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","8","1",511613,2660,332,1500,,,110101,1312,0,1050,,,521299,1312,0,1050,,,460201,1312,0,1050,,,430107,1312,0,1050,,,510899,1312,0,1050,,
"428028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428037","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",150501,3200,100,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428046","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1",510801,7450,114,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428055","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",500402,2700,350,900,,,520803,2030,90,700,,,500402,1500,250,600,,,,,,,,,,,,,,,,,,,,
"428073","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1",120403,5375,,1500,,,120406,2975,,600,,,,,,,,,,,,,,,,,,,,,,,,,,
"428082","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1",120403,8000,500,1600,,,120403,4500,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
"428091","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",510601,4485,1010,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428125","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1",120403,4575,400,1600,,,120402,4325,400,1500,,,120406,1575,275,600,,,129999,1575,0,600,,,120402,1207,125,400,,,120403,1207,125,400,,
"428134","1","1","125","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1",120402,4065,635,1500,,,120403,4065,635,1500,,,,,,,,,,,,,,,,,,,,,,,,,,
"428143","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",511613,5321,678,1443,,,510801,2808,391,900,,,512601,2239,330,720,,,,,,,,,,,,,,,,,,,,
"428152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428161","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",120403,5100,500,1500,,,120403,1300,265,320,,,120499,2600,430,1500,,,,,,,,,,,,,,,,,,,,
"428170","1","1","50","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",520903,2100,0,,,,520903,2100,0,,,,520903,4990,400,,,,,,,,,,,,,,,,,,,,,
"428189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428198","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",120403,7800,500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428222","1","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","1",161101,0,,1890,,,160399,0,,1890,,,160402,0,,1410,,,160301,0,,1890,,,160905,0,,750,,,161199,0,,1410,,
"428259","1","1","40","","","1","","","","","5940","5940","5940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428268","1","1","50","50","","1","","","","","5280","5280","5280","","","","14976","14976","14976","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428277","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",120403,3400,250,1500,,,120499,1520,80,600,,,120403,1915,60,600,,,,,,,,,,,,,,,,,,,,
"428286","1","1","50","","","1","","","","","13312","13312","13312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","2","","","5200","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428295","1","1","195","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2",490205,1395,,40,,,490205,2495,,160,,,490205,2995,,200,,,490205,3495,,240,,,,,,,,,,,,,,
"428301","1","1","20","","","","","1","1","","2200","2200","2200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","1",511613,7200,200,1440,,,470603,2200,400,900,,,460302,2200,150,900,,,480501,2200,480,900,,,,,,,,,,,,,,
"428310","1","1","20","","","","","1","1","","2200","2200","2200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","1",511613,7200,200,1440,,,470603,2200,400,900,,,460302,2200,150,900,,,480501,2200,410,900,,,,,,,,,,,,,,
"428329","1","1","15","","","","1","","","","4975","4975","4975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428338","1","1","","","50","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7500","7500","","","","","","30","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428347","1","1","50","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",510601,4445,255,900,,,520404,3708,392,628,,,511301,4607,218,628,,,,,,,,,,,,,,,,,,,,
"428374","1","1","50","","","","1","","","","7900","7900","7900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428383","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2",80503,1095,,80,18,72,80503,550,,32,18,54,,,,,,,,,,,,,,,,,,,,,,,,
"428392","1","2","","","","1","","","","","1260","1260","3924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428365","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1",120403,4116,175,1200,,,120402,4116,175,1200,,,120499,3435,175,1000,,,120401,3093,175,900,,,120499,2070,175,600,,,120406,2070,175,600,,
"428408","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428417","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","6","1",520499,12175,1500,1392,,,520301,12175,1500,1296,,,110101,12175,1500,1392,,,520499,8175,1150,864,,,520301,6175,1025,696,,,110101,8175,1270,1008,,
"428426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428444","1","1","50","","","1","","","","","10464","10464","10464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","24","2","","","3525","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429003","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","5","1",120599,3682,63,1000,,,120503,3324,70,900,,,120599,3797,70,1100,,,80503,3675,70,900,,,120503,3324,70,900,,,,,,,,
"429012","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","1","1",490102,29470,575,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429021","1","1","15","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","1","1",511613,4620,1000,1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429030","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","4","1",520201,6875,575,900,,,520299,5525,450,600,,,,,,,,,,,,,,,,,,,,,,,,,,
"429076","1","1","","25","","1","","","1","","","","","","","","4470","4470","4470","","30","","","","","","","","","","","","","","","","","","","4470","4470","","","","30","2","","2","","","","","","","5","1",399999,185,200,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429085","1","1","","50","","1","","","","","","","","","","","5380","5380","5380","","36","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429094","1","1","","75","","1","","","","","","","","","","","6720","6720","6720","","64","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429100","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","1","1",510801,4100,400,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429128","1","","","","","1","","","","","1500","1500","1500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429137","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","11","1",520499,6100,500,600,,,520401,6100,500,600,,,520404,6100,500,600,,,520302,6100,500,600,,,520499,3100,225,300,,,520302,3100,260,300,,
"429146","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",480101,6840,,1000,,,480199,4175,,300,,,500499,7140,,600,,,,,,,,,,,,,,,,,,,,
"429155","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","14","1",520399,4608,392,660,,,510708,4496,504,600,,,511099,4010,565,600,,,510801,4112,888,960,,,470104,4530,470,654,,,510801,3849,576,360,,
"429173","1","","","","","1","","","","","1950","2580","4055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429182","1","1","100","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","1","1",120402,3946,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429191","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1",120406,1100,,400,,,120499,1100,,500,,,120403,4200,,1500,,,,,,,,,,,,,,,,,,,,
"429289","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","1","1",470102,6095,790,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429216","1","1","75","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","5","1",510907,5500,,793,,,510907,7700,,961,,,510801,5550,,640,,,511099,3000,,408,,,510799,3295,,360,,,,,,,,
"429313","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2",521501,295,70,90,,,521501,190,50,45,,,521501,190,70,45,,,521501,125,50,18,,,,,,,,,,,,,,
"429340","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","1","1",520903,3950,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429368","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2",512303,995,0,75,,,512399,995,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,
"429386","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2",521501,295,,90,,,521501,180,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
"429429","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","5","2",520408,950,,68,,,520401,975,,68,,,520403,1980,,132,,,520404,2395,,178,,,520401,650,,68,,,,,,,,
"429456","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","1","2",470499,3020,0,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429508","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",119999,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429535","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","3","2",520408,900,95,80,,,521299,1900,95,160,,,521302,1900,95,160,,,,,,,,,,,,,,,,,,,,
"429599","1","1","100","","","","1","","","","7574","7574","7574","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429605","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1",520407,,,,,,520302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429669","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2",460401,425,,32,,,460499,450,,32,,,470201,495,,32,,,,,,,,,,,,,,,,,,,,
"429702","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",120502,495,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429739","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",521501,200,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429827","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2",521501,200,,45,,,521501,200,,45,,,521501,90,,18,,,,,,,,,,,,,,,,,,,,
"429836","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2",119999,5000,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429872","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",120502,464,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429915","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",119999,6650,1000,161,,,119999,5999,1000,210,,,,,,,,,,,,,,,,,,,,,,,,,,
"429988","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1",520999,4995,,,,,520901,7195,,,,,520901,4495,,,,,,,,,,,,,,,,,,,,,,
"429997","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","4","1",120403,4995,561,1500,,,120499,1960,35,800,,,120499,784,35,320,,,120499,502,174,160,,,,,,,,,,,,,,
"430032","1","1","50","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",512701,5786,250,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"422385","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1",470609,2345,,3240,26,7,470607,1545,,2160,11,0,,,,,,,,,,,,,,,,,,,,,,,,
"422136","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","1",110301,4050,206,1125,,,511613,5265,223,1755,,,120403,3900,272,1300,,,510904,4500,202,1500,,,520499,4050,226,1125,,,119999,4050,198,1125,,
"422145","1","1","40","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","1",520499,5940,375,1440,,,490199,5940,375,1440,,,520803,5940,375,1440,,,520302,5940,375,1440,,,110201,5940,375,1440,,,80299,5940,375,1440,,
"422181","1","1","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1",460401,6095,1000,800,,,460201,6095,500,800,,,460302,6095,500,800,,,460501,6095,500,800,,,460499,6095,1000,800,,,,,,,,
"422394","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2",490107,3000,,45,10,,490199,3500,,50,2,,490102,12000,,250,0,,,,,,,,,,,,,,,,,,,
"422400","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"422419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
