unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a05a",f2a05a,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e013",f2e013,"xf2e014",f2e014,"xf2e015",f2e015,"xf2e016",f2e016,"xf2e017",f2e017,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e023",f2e023,"xf2e024",f2e024,"xf2e025",f2e025,"xf2e026",f2e026,"xf2e027",f2e027,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e033",f2e033,"xf2e034",f2e034,"xf2e035",f2e035,"xf2e036",f2e036,"xf2e037",f2e037,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e043",f2e043,"xf2e044",f2e044,"xf2e045",f2e045,"xf2e046",f2e046,"xf2e047",f2e047,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e053",f2e053,"xf2e054",f2e054,"xf2e055",f2e055,"xf2e056",f2e056,"xf2e057",f2e057,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e063",f2e063,"xf2e064",f2e064,"xf2e065",f2e065,"xf2e066",f2e066,"xf2e067",f2e067,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e073",f2e073,"xf2e074",f2e074,"xf2e075",f2e075,"xf2e076",f2e076,"xf2e077",f2e077,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e083",f2e083,"xf2e084",f2e084,"xf2e085",f2e085,"xf2e086",f2e086,"xf2e087",f2e087,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e093",f2e093,"xf2e094",f2e094,"xf2e095",f2e095,"xf2e096",f2e096,"xf2e097",f2e097,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e103",f2e103,"xf2e104",f2e104,"xf2e105",f2e105,"xf2e106",f2e106,"xf2e107",f2e107,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e113",f2e113,"xf2e114",f2e114,"xf2e115",f2e115,"xf2e116",f2e116,"xf2e117",f2e117,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e123",f2e123,"xf2e124",f2e124,"xf2e125",f2e125,"xf2e126",f2e126,"xf2e127",f2e127,"xf2e131",f2e131,"xf2e132",f2e132,"xf2e133",f2e133,"xf2e134",f2e134,"xf2e135",f2e135,"xf2e136",f2e136,"xf2e137",f2e137,"xf2h01",f2h01,"xf2h02",f2h02,f2fha
"100690",10,"751263",10,"5050212",10,"1490123",10,"3385284",10,"174805",13,"0",10,"3560089",10,"610976",10,"1028166",10,"2297310",13,"0",10,"7216977",10,"6287850",10,"0",10,"929127",10,"2630962",10,"0",10,"3560089",10,"642764",10,"50029",13,"0",13,"0",10,"0",10,"2428789",10,"3121582",10,"2428789",13,"0",10,"5856644",13,"0",13,"0",13,"0",10,"50029",13,"0",13,"0",10,"1190058",13,"0",10,"27033",13,"0",13,"0",13,"0",13,"0",10,"93213",10,"7216977",10,"2614536",10,"1601943",10,"95042",10,"92388",10,"64967",13,"0",10,"760196",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"179695",10,"123172",10,"9036",10,"8799",10,"6187",13,"0",10,"32501",10,"704340",10,"443707",10,"33323",10,"24197",10,"17015",13,"0",10,"186098",10,"2789279",10,"771871",10,"379609",10,"94587",10,"66515",13,"0",10,"1476697",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",31,"",31,"",31,"",31,"",31,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-219971",13,"0",13,"0",10,"219971",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6287850",10,"2940693",10,"517010",31,"",10,"154684",13,"0",10,"2675463",10,"174805",10,"174805","1"
"100937",10,"123593848",10,"247585056",10,"56174271",10,"91782421",10,"99628364",10,"65367028",10,"191410785",10,"18123947",10,"121578035",10,"26503118",10,"0",10,"48752939",10,"49817255",10,"0",10,"-1064316",10,"192475101",10,"0",10,"191410785",10,"428536",10,"1280991",10,"317391",10,"215558",10,"13784940",10,"337862",10,"16365278",10,"13784940",13,"0",10,"13750717",10,"0",10,"0",10,"0",10,"1709527",10,"317391",10,"215558",10,"7394000",10,"0",10,"15271133",10,"0",10,"8683427",10,"0",10,"0",10,"1411186",10,"48752939",10,"16189213",10,"7557507",10,"2011189",10,"2241067",10,"2324121",10,"735399",10,"1319930",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3372375",10,"1021140",10,"390067",10,"517334",10,"536506",10,"169762",10,"737566",10,"9874947",10,"2886768",10,"921934",10,"1472749",10,"1527328",10,"483278",10,"2582890",10,"5986210",10,"2812145",10,"1102339",10,"340436",10,"353053",10,"111713",10,"1266524",10,"11375574",10,"342498",10,"111889",10,"2570783",10,"2666055",10,"843594",10,"4840755",10,"2580337",31,"",31,"",31,"",31,"",31,"",10,"2580337",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-7142369",13,"0",13,"0",10,"7142369",10,"438599",10,"0",10,"0",10,"0",10,"0",10,"0",10,"438599",10,"49817255",10,"14620058",10,"4537418",31,"",10,"7407063",10,"2343746",10,"20908970",10,"122495222",10,"123593848","1"
"101073",10,"4395840",10,"17254018",10,"2126446",10,"8902504",10,"6225068",10,"1436051",10,"15127572",10,"400629",10,"11757370",10,"2047118",13,"0",10,"5632460",10,"6401949",10,"0",10,"-769489",10,"15897062",10,"-1",10,"15127572",10,"2236291",10,"197291",13,"0",13,"0",10,"2943361",13,"0",10,"5376943",10,"2943361",13,"0",10,"1896745",13,"0",13,"0",13,"0",10,"1255235",10,"217377",13,"0",10,"765658",13,"0",10,"293462",13,"0",10,"1034510",13,"0",13,"0",10,"169473",10,"5632460",10,"2375038",10,"1655455",10,"224361",10,"245521",10,"50253",13,"0",10,"199448",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"339311",10,"156321",10,"22887",10,"34115",13,"0",13,"0",10,"125988",10,"446350",10,"111193",10,"22796",10,"44877",10,"44108",13,"0",10,"223376",10,"360350",10,"157523",10,"23604",10,"36230",13,"0",13,"0",10,"142993",10,"1686735",10,"545485",10,"117671",10,"169587",10,"63137",13,"0",10,"790855",10,"1127212",10,"175478",10,"43489",10,"113331",10,"283697",13,"0",10,"511217",13,"0",31,"",31,"",31,"",31,"",31,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-643661",13,"0",13,"0",10,"643661",10,"66953",10,"0",10,"0",10,"0",10,"0",10,"0",10,"66953",10,"6401949",10,"2801455",10,"454808",31,"",10,"441195",13,"0",10,"2704491",10,"3949295",10,"2700030","1"
"101189",10,"13655704",10,"49667600",10,"19067828",10,"20168247",10,"10431525",10,"5501055",10,"30599772",10,"1255020",10,"30605196",10,"13548558",13,"0",10,"25225931",10,"25858585",10,"0",10,"-632654",10,"31232426",10,"0",10,"30599772",10,"4145381",10,"514906",10,"361520",13,"0",10,"307074",10,"2843180",10,"8172061",10,"3364943",10,"278742",10,"18444195",13,"0",13,"0",13,"0",10,"1085911",13,"0",13,"0",10,"2396113",13,"0",10,"1159925",13,"0",10,"1528671",13,"0",13,"0",10,"611116",10,"25225931",10,"11022142",10,"6653524",10,"1123626",10,"1059981",10,"795590",10,"252695",10,"1136726",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"2580095",10,"633644",10,"125677",10,"233893",10,"175553",10,"55759",10,"1355569",10,"5160407",10,"1861714",10,"369090",10,"430462",10,"323092",10,"102620",10,"2073429",10,"4796614",10,"2000931",10,"405879",10,"159246",10,"119525",10,"37964",10,"2073069",10,"2299327",10,"114488",10,"22694",10,"604638",10,"453822",10,"144143",10,"959542",13,"0",31,"",31,"",31,"",31,"",31,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-2488220",13,"0",13,"0",10,"2488220",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"25858585",10,"11264301",10,"2046966",31,"",10,"1867582",10,"593181",10,"10086555",10,"13917550",10,"14026385","1"
"101435",10,"36047003",10,"64959401",10,"25515370",10,"1828091",10,"37615940",10,"35988165",10,"39444031",10,"3485795",10,"24707839",10,"11634837",13,"0",10,"14842656",10,"13561949",10,"3050440",10,"4331147",10,"35112884",10,"0",10,"39444031",10,"601529",10,"92714",10,"85667",13,"0",10,"2331757",10,"2048034",10,"5159701",10,"4379791",13,"0",10,"4997947",13,"0",13,"0",13,"0",10,"250000",13,"0",13,"0",10,"4411692",13,"0",10,"2269681",13,"0",10,"2558209",13,"0",13,"0",10,"355127",10,"14842656",10,"4456245",10,"1868751",10,"448500",10,"452608",10,"445051",10,"362136",10,"879199",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"780525",10,"344595",10,"62027",10,"109986",10,"111263",10,"90534",10,"62120",10,"3518673",10,"1373242",10,"329578",10,"250585",10,"236433",10,"192385",10,"1136450",10,"2008585",10,"1508261",10,"286570",10,"1",10,"69539",10,"56584",10,"87630",10,"2797920",13,"0",13,"0",10,"508698",10,"528498",10,"430036",10,"1330688",13,"0",31,"",31,"",31,"",31,"",31,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-1321878",13,"0",13,"0",10,"1321878",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"13561949",10,"5094849",10,"1126675",31,"",10,"1390784",10,"1131675",10,"4817966",10,"34941424",10,"36047483","1"
"101453",10,"5232474",10,"8333477",10,"2137061",10,"1341909",10,"4854507",10,"2708909",10,"6196416",10,"1037145",10,"1466451",10,"2024661",13,"0",10,"3068954",10,"2733760",10,"0",10,"335194",10,"5861222",10,"0",10,"6196416",10,"150496",10,"11494",13,"0",13,"0",10,"151237",10,"2579",10,"315806",10,"2579",13,"0",10,"648523",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"2018459",10,"34059",10,"222806",10,"19480",10,"125627",13,"0",13,"0",10,"0",10,"3068954",10,"464096",10,"391046",10,"0",10,"43443",10,"0",10,"0",10,"29607",10,"7974",10,"0",10,"0",10,"797",10,"0",10,"0",10,"7177",10,"20236",10,"0",10,"0",10,"1894",10,"0",10,"0",10,"18342",10,"118158",10,"83341",10,"5706",10,"11060",10,"0",10,"0",10,"18051",10,"224711",10,"150734",10,"0",10,"21035",10,"0",10,"0",10,"52942",10,"1640828",10,"428620",10,"229743",10,"251629",10,"0",10,"83579",10,"647257",10,"106520",10,"13252",10,"0",10,"6705",10,"0",10,"0",10,"86563",10,"151237",31,"",31,"",31,"",31,"",31,"",10,"151237",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",31,"",10,"0",10,"0",10,"-336563",10,"150291",10,"0",10,"186272",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2733760",10,"1066993",10,"235449",31,"",10,"150291",10,"83579",10,"1197448",10,"3410929",10,"3784861","1"
"101541",10,"14823615",10,"35622906",10,"13508252",10,"4646498",10,"17468156",10,"14823615",10,"22114654",10,"293792",10,"15965250",10,"4675068",10,"0",10,"6819747",10,"8286755",10,"2868145",10,"1401137",10,"20713517",10,"0",10,"22114654",10,"391327",10,"0",10,"0",10,"0",10,"600059",10,"627466",10,"1618852",10,"1227525",10,"0",10,"1442429",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1359519",10,"0",10,"307480",10,"0",10,"1475468",10,"0",10,"0",10,"2234851",10,"6819747",10,"3298949",10,"1341091",10,"234786",13,"0",10,"450358",10,"255764",10,"1016950",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"520284",10,"216267",10,"37847",13,"0",10,"58988",13,"0",10,"207182",10,"1108474",10,"123140",10,"21549",13,"0",10,"126403",13,"0",10,"837382",10,"2128594",10,"1261203",10,"220710",13,"0",10,"35953",10,"78261",10,"532467",10,"1230454",10,"169907",10,"29734",13,"0",10,"138990",10,"16496",10,"875327",13,"0",31,"",31,"",31,"",31,"",31,"",13,"0",10,"0",10,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",13,"0",10,"0",10,"0",10,"0",31,"",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8286755",10,"3111608",10,"544626",31,"",10,"810692",10,"350521",10,"3469308",10,"20204704",10,"22114654","1"
"101648",10,"806098",10,"7093928",10,"3270286",10,"2628893",10,"1194749",13,"0",10,"3823642",10,"0",10,"10461014",10,"1782149",10,"0",10,"6375168",10,"5838400",10,"0",10,"536768",10,"10494678",10,"-7207804",10,"3823642",10,"177350",10,"32165",10,"0",10,"0",10,"97107",10,"591127",10,"897749",10,"897749",10,"0",10,"3843326",13,"0",10,"276185",13,"0",10,"0",10,"0",10,"0",10,"1613067",10,"0",10,"75989",10,"0",10,"126587",31,"",31,"",10,"440014",10,"6375168",10,"885393",10,"605380",10,"58958",10,"178724",13,"0",13,"0",10,"42331",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"530539",10,"150041",10,"14613",10,"54947",10,"258866",13,"0",10,"52072",10,"1973172",10,"663170",10,"64587",10,"258319",10,"62755",13,"0",10,"924341",10,"961072",10,"331705",10,"32305",10,"10303",10,"11767",10,"108952",10,"466040",10,"799990",10,"121483",10,"11831",10,"51513",10,"58833",13,"0",10,"556330",10,"688234",31,"",31,"",31,"",31,"",31,"",10,"688234",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"194477",10,"18940",10,"-553806",13,"0",13,"0",10,"340389",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5838400",10,"2066256",10,"201234",31,"",10,"392221",10,"108952",10,"3069737",10,"39277",10,"806098","1"
"101675",10,"12612225",10,"55742554",10,"20691342",10,"26522461",10,"8528751",10,"2346442",10,"35051212",10,"1711039",10,"49034770",10,"11371457",13,"0",10,"19117753",10,"18373152",10,"0",10,"744601",10,"34306611",10,"0",10,"35051212",10,"4888588",10,"434916",10,"220782",10,"32209",10,"164788",10,"1084376",10,"6825659",10,"2404897",13,"0",10,"8484992",13,"0",13,"0",13,"0",10,"3612669",10,"156749",13,"0",10,"1505500",13,"0",10,"677273",13,"0",10,"4415232",13,"0",10,"262338",10,"3000",10,"19117753",10,"8419772",10,"4156691",10,"514919",10,"1773294",10,"954851",13,"0",10,"1020017",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"340758",10,"140160",10,"20523",10,"71767",10,"38644",13,"0",10,"69664",10,"1247973",10,"312059",10,"47301",10,"262837",10,"141527",13,"0",10,"484249",10,"2089783",10,"757483",10,"115073",10,"440131",10,"236993",13,"0",10,"540103",10,"3682170",10,"1152807",10,"137038",10,"775505",10,"417579",13,"0",10,"1199241",10,"2592696",10,"567951",10,"56043",10,"546049",10,"294027",13,"0",10,"1128626",10,"0",31,"",31,"",31,"",31,"",31,"",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-3869583",13,"0",13,"0",10,"3869583",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"18373152",10,"7087151",10,"890897",31,"",10,"2083621",13,"0",10,"8311483",10,"6234569",10,"7546486","1"
"101693",10,"9846966",10,"39854330",10,"18523926",10,"8564140",10,"12766264",10,"9386094",10,"21330404",10,"812038",10,"24072299",10,"9051653",10,"0",10,"19878794",10,"18564459",10,"0",10,"1314335",10,"20016069",10,"0",10,"21330404",10,"2004782",10,"240195",10,"112140",10,"0",10,"1064184",10,"3591132",10,"7012433",10,"4825116",10,"0",10,"10827566",10,"0",10,"0",10,"0",10,"240195",10,"0",10,"0",10,"5082289",10,"0",10,"654594",10,"0",10,"2952894",10,"0",10,"0",10,"121256",10,"19878794",10,"8197464",10,"4905492",10,"1518597",10,"665000",10,"384906",10,"210086",10,"513383",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"920163",10,"367012",10,"107551",10,"133709",10,"77392",10,"42241",10,"192258",10,"1394823",10,"828591",10,"214598",10,"54443",10,"31512",10,"17200",10,"248479",10,"3567393",10,"1640598",10,"463279",10,"236338",10,"136794",10,"74664",10,"1015720",10,"4484616",10,"795359",10,"220658",10,"996457",10,"576756",10,"314798",10,"1580588",10,"0",31,"",31,"",31,"",31,"",31,"",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-2085947",13,"0",13,"0",10,"2085947",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"18564459",10,"8537052",10,"2524683",31,"",10,"1207360",10,"658989",10,"5636375",10,"8897263",10,"9913787","1"
