unitid,"xf1a01",f1a01,"xf1a02",f1a02,"xf1a03",f1a03,"xf1a04",f1a04,"xf1a05",f1a05,"xf1a06",f1a06,"xf1a07",f1a07,"xf1a08",f1a08,"xf1a09",f1a09,"xf1a10",f1a10,"xf1a11",f1a11,"xf1a12",f1a12,"xf1a13",f1a13,"xf1a14",f1a14,"xf1a15",f1a15,"xf1a16",f1a16,"xf1a17",f1a17,"xf1a18",f1a18,"xf1a211",f1a211,"xf1a212",f1a212,"xf1a213",f1a213,"xf1a214",f1a214,"xf1a221",f1a221,"xf1a222",f1a222,"xf1a223",f1a223,"xf1a224",f1a224,"xf1a231",f1a231,"xf1a232",f1a232,"xf1a233",f1a233,"xf1a234",f1a234,"xf1a241",f1a241,"xf1a242",f1a242,"xf1a243",f1a243,"xf1a244",f1a244,"xf1a251",f1a251,"xf1a252",f1a252,"xf1a253",f1a253,"xf1a254",f1a254,"xf1a261",f1a261,"xf1a262",f1a262,"xf1a263",f1a263,"xf1a264",f1a264,"xf1a271",f1a271,"xf1a272",f1a272,"xf1a273",f1a273,"xf1a274",f1a274,"xf1a281",f1a281,"xf1a282",f1a282,"xf1a283",f1a283,"xf1a284",f1a284,"xf1b01",f1b01,"xf1b02",f1b02,"xf1b03",f1b03,"xf1b04",f1b04,"xf1b05",f1b05,"xf1b06",f1b06,"xf1b07",f1b07,"xf1b08",f1b08,"xf1b09",f1b09,"xf1b10",f1b10,"xf1b11",f1b11,"xf1b12",f1b12,"xf1b13",f1b13,"xf1b14",f1b14,"xf1b15",f1b15,"xf1b16",f1b16,"xf1b17",f1b17,"xf1b18",f1b18,"xf1b19",f1b19,"xf1b20",f1b20,"xf1b21",f1b21,"xf1b22",f1b22,"xf1b23",f1b23,"xf1b24",f1b24,"xf1b25",f1b25,"xf1c011",f1c011,"xf1c012",f1c012,"xf1c013",f1c013,"xf1c014",f1c014,"xf1c015",f1c015,"xf1c021",f1c021,"xf1c022",f1c022,"xf1c023",f1c023,"xf1c024",f1c024,"xf1c025",f1c025,"xf1c031",f1c031,"xf1c032",f1c032,"xf1c033",f1c033,"xf1c034",f1c034,"xf1c035",f1c035,"xf1c051",f1c051,"xf1c052",f1c052,"xf1c053",f1c053,"xf1c054",f1c054,"xf1c055",f1c055,"xf1c061",f1c061,"xf1c062",f1c062,"xf1c063",f1c063,"xf1c064",f1c064,"xf1c065",f1c065,"xf1c071",f1c071,"xf1c072",f1c072,"xf1c073",f1c073,"xf1c074",f1c074,"xf1c075",f1c075,"xf1c081",f1c081,"xf1c082",f1c082,"xf1c083",f1c083,"xf1c084",f1c084,"xf1c085",f1c085,"xf1c091",f1c091,"xf1c094",f1c094,"xf1c101",f1c101,"xf1c102",f1c102,"xf1c103",f1c103,"xf1c104",f1c104,"xf1c105",f1c105,"xf1c111",f1c111,"xf1c112",f1c112,"xf1c113",f1c113,"xf1c114",f1c114,"xf1c115",f1c115,"xf1c121",f1c121,"xf1c122",f1c122,"xf1c123",f1c123,"xf1c124",f1c124,"xf1c125",f1c125,"xf1c131",f1c131,"xf1c132",f1c132,"xf1c133",f1c133,"xf1c134",f1c134,"xf1c135",f1c135,"xf1c141",f1c141,"xf1c142",f1c142,"xf1c143",f1c143,"xf1c144",f1c144,"xf1c145",f1c145,"xf1c151",f1c151,"xf1c152",f1c152,"xf1c153",f1c153,"xf1c154",f1c154,"xf1c155",f1c155,"xf1c161",f1c161,"xf1c165",f1c165,"xf1c171",f1c171,"xf1c172",f1c172,"xf1c173",f1c173,"xf1c174",f1c174,"xf1c175",f1c175,"xf1c181",f1c181,"xf1c182",f1c182,"xf1c183",f1c183,"xf1c184",f1c184,"xf1c185",f1c185,"xf1c191",f1c191,"xf1c192",f1c192,"xf1c193",f1c193,"xf1c194",f1c194,"xf1c195",f1c195,"xf1d01",f1d01,"xf1d02",f1d02,"xf1d03",f1d03,"xf1d04",f1d04,"xf1d05",f1d05,"xf1d06",f1d06,"xf1h01",f1h01,"xf1h02",f1h02,"xf1e01",f1e01,"xf1e02",f1e02,"xf1e03",f1e03,"xf1e04",f1e04,"xf1e05",f1e05,"xf1e06",f1e06,"xf1e07",f1e07,"xf1e08",f1e08,"xf1e09",f1e09,"xf1e10",f1e10,"xf1e11",f1e11,f1fha
"100654",10,"41952134",10,"165056035",10,"58399298",10,"0",10,"106656737",10,"148608871",10,"2837128",10,"24885644",10,"27722772",10,"55873240",10,"0",10,"55873240",10,"83596012",10,"48442976",10,"17057452",13,"0",10,"-487569",10,"65012859",10,"4982207",13,"0",10,"0",10,"4982207",10,"0",13,"0",10,"0",13,"0",10,"138096694",13,"0",10,"0",10,"138096694",10,"7678671",10,"2124778",10,"273130",10,"9530319",10,"9719887",10,"144937",10,"0",10,"9864824",10,"0",13,"0",10,"0",13,"0",10,"2402032",10,"179958",10,"0",10,"2581990",10,"54156313",10,"4242984",10,"0",10,"58399297",10,"27082059",10,"30337711",10,"5673614",10,"2739930",10,"10241059",13,"0",13,"0",10,"-711441",10,"75362932",10,"3588237",10,"40036159",10,"0",10,"0",10,"0",10,"0",10,"0",10,"62906",10,"0",10,"43687302",10,"0",10,"0",10,"0",10,"0",10,"0",10,"119050234",10,"25467610",10,"19924012",10,"4616977",13,"0",10,"926621",10,"15256037",10,"8127634",10,"1374316",13,"0",10,"5754087",10,"12309176",10,"7333690",10,"1472148",13,"0",10,"3503338",10,"6941290",10,"3855835",10,"814911",13,"0",10,"2270544",10,"8990947",10,"4803295",10,"1052904",13,"0",10,"3134748",10,"19360489",10,"7862245",10,"3289952",13,"0",10,"8208292",10,"6644557",10,"2690199",10,"652342",13,"0",10,"3302016",10,"4242984",10,"4242984",10,"11988150",30,"",30,"",30,"",10,"11988150",10,"9061481",10,"2752661",10,"654125",13,"0",10,"5654695",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"120262721",10,"57349571",10,"13927675",10,"4242984",10,"44742491",10,"3039349",10,"3039349",10,"557613",10,"0",10,"0",10,"0",10,"557613",10,"3596962",10,"0",10,"0",10,"0",10,"3596962",10,"123859683",10,"57349571",10,"13927675",10,"4242984",10,"48339453",10,"119050234",10,"123859683",10,"-4809449",10,"69822308",10,"0",10,"65012859",30,"",30,"",10,"9197469",10,"1079442",13,"0",13,"0",13,"0",10,"9098458",10,"19375369",10,"7387219",10,"0",10,"7387219",10,"11988150","2"
"100663",10,"458088525",10,"2327965565",10,"1063703490",10,"1189807465",10,"2454069540",10,"2912158065",10,"22207425",10,"247682255",10,"269889680",10,"752741533",10,"16558056",10,"769299589",10,"1039189269",10,"614914698",10,"171837946",10,"231036993",10,"855179159",10,"1872968796",10,"59559985",10,"6738684",10,"0",10,"66298669",10,"80365770",10,"3209933",10,"0",10,"83575703",10,"1339747825",10,"147332039",10,"637206",10,"1486442658",10,"589954147",10,"58782036",10,"67330880",10,"581405303",10,"66286003",10,"4996094",10,"0",10,"71282097",10,"0",10,"0",10,"0",10,"0",10,"107945822",10,"18577228",10,"87561915",10,"38961135",10,"1009885072",10,"110161349",10,"56342931",10,"1063703490",10,"74407657",10,"345245469",10,"3630932",10,"47372128",10,"20743394",10,"776047904",10,"48988217",10,"37677602",10,"1354113303",10,"0",10,"260174828",10,"0",10,"7923090",10,"118414",10,"363799",10,"37542725",10,"83050211",10,"3478240",10,"392651307",10,"286940",10,"33573934",10,"14715755",10,"53881489",10,"102458118",10,"1849222728",10,"226529559",10,"160685997",10,"35902194",13,"0",10,"29941368",10,"266079350",10,"134271338",10,"28672260",13,"0",10,"103135752",10,"70836765",10,"38020864",10,"8570004",13,"0",10,"24245897",10,"89899865",10,"53411914",10,"12422647",13,"0",10,"24065304",10,"19177449",10,"10543534",10,"2387689",13,"0",10,"6246226",10,"77344185",10,"42235095",10,"15362667",13,"0",10,"19746423",10,"46600285",10,"18598809",10,"4741032",13,"0",10,"23260444",10,"110161349",10,"110161349",10,"20505063",30,"",30,"",30,"",10,"20505063",10,"29300799",10,"9859756",10,"2534989",13,"0",10,"16906054",10,"716153464",10,"299177543",10,"77271876",13,"0",10,"339704045",10,"0",10,"0",10,"0",13,"0",10,"0",10,"109009",10,"80679",10,"12057",10,"0",10,"16273",10,"1672697142",10,"766885529",10,"187877415",10,"110161349",10,"607772849",10,"23053333",10,"23053333",10,"11427321",10,"0",10,"0",10,"0",10,"11427321",10,"34480654",10,"0",10,"0",10,"0",10,"34480654",10,"1707177796",10,"766885529",10,"187877415",10,"110161349",10,"642253503",10,"1849222728",10,"1707177796",10,"142044932",10,"1730923864",10,"0",10,"1872968796",10,"304338640",10,"337246637",10,"8896712",10,"10796840",10,"53951",10,"597683",10,"6850705",10,"16189518",10,"43385409",10,"22348700",10,"531646",10,"22880346",10,"20505063","1"
"100706",10,"71849951",10,"295814723",10,"134656307",10,"59451686",10,"220610102",10,"292460053",10,"1995000",10,"37856725",10,"39851725",10,"56671000",10,"0",10,"56671000",10,"96522725",10,"105519987",10,"5761158",10,"1864511",10,"82791672",10,"195937328",10,"7794100",10,"929346",10,"0",10,"8723446",10,"0",10,"0",10,"0",10,"0",10,"172662637",10,"7670714",10,"0",10,"180333351",10,"56081795",10,"2336884",10,"763568",10,"57655111",10,"22293688",10,"1290784",10,"0",10,"23584472",10,"0",10,"0",10,"0",10,"0",10,"0",10,"25518343",10,"0",10,"25518343",10,"125617417",10,"9652788",10,"613898",10,"134656307",10,"27626227",10,"50801409",10,"3668782",10,"4983396",10,"4965498",10,"0",10,"0",10,"1490755",10,"93536067",10,"0",10,"43292282",10,"0",10,"0",10,"0",10,"0",10,"3115836",10,"4933857",10,"20419505",10,"71761480",10,"0",10,"31698914",10,"0",10,"0",10,"31698914",10,"196996461",10,"39527055",10,"27432336",10,"7851756",10,"0",10,"4242963",10,"48592689",10,"29612344",10,"7575511",10,"0",10,"11404834",10,"3869161",10,"1416186",10,"329411",10,"0",10,"2123564",10,"5691060",10,"3418685",10,"935490",10,"0",10,"1336885",10,"9362320",10,"4017128",10,"1104794",10,"0",10,"4240398",10,"11815202",10,"7193510",10,"1944954",10,"0",10,"2676738",10,"9116318",10,"2890969",10,"982638",10,"0",10,"5242711",10,"9652788",10,"9652788",10,"641399",30,"",30,"",30,"",10,"641399",10,"2557820",10,"632875",10,"130838",10,"0",10,"1794107",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"140825812",10,"76614033",10,"20855392",10,"9652788",10,"33703599",10,"2695679",10,"2695679",10,"149670",10,"0",10,"0",10,"0",10,"149670",10,"2845349",10,"0",10,"0",10,"0",10,"2845349",10,"143671161",10,"76614033",10,"20855392",10,"9652788",10,"36548948",10,"196996461",10,"143671161",10,"53325300",10,"142612028",10,"0",10,"195937328",10,"27191692",10,"24550732",10,"3852144",10,"233192",10,"19356",10,"0",10,"1262676",10,"3720337",10,"9087705",10,"8161802",10,"284504",10,"8446306",10,"641399","1"
"100724",10,"114732191",10,"153937281",10,"66923368",10,"5563573",10,"92577486",10,"207309677",10,"1835000",10,"17340663",10,"19175663",10,"99715780",10,"1799745",10,"101515525",10,"120691188",10,"55796441",10,"16811060",13,"0",10,"14010988",10,"86618489",10,"13249427",10,"523653",10,"0",10,"13773080",10,"6542612",10,"666022",10,"0",10,"7208634",10,"86589868",10,"616567",10,"0",10,"87206435",10,"20863122",10,"1317437",10,"1148655",10,"21031904",10,"8763721",10,"243573",10,"0",10,"9007294",10,"0",13,"0",10,"0",13,"0",10,"1365419",10,"14344515",10,"0",10,"15709934",10,"64509032",10,"3512766",10,"1098430",10,"66923368",10,"23836015",10,"20736202",10,"14928955",10,"1494136",10,"9126472",13,"0",13,"0",10,"1896131",10,"72017911",13,"0",10,"34318844",13,"0",13,"0",13,"0",13,"0",10,"521483",10,"2693371",10,"0",10,"37533698",10,"0",10,"0",10,"0",10,"0",10,"0",10,"109551609",10,"25962545",10,"18748784",10,"4014092",13,"0",10,"3199669",10,"1253134",10,"566999",10,"134113",13,"0",10,"552022",10,"5217202",10,"1142722",10,"250200",13,"0",10,"3824280",10,"7439281",10,"3769158",10,"868603",13,"0",10,"2801520",10,"8793363",10,"4645775",10,"1667921",13,"0",10,"2479667",10,"16985150",10,"5737338",10,"2589362",13,"0",10,"8658450",10,"8020540",10,"4057833",10,"1129857",13,"0",10,"2832850",10,"3503766",10,"3503766",10,"12634373",30,"",30,"",30,"",10,"12634373",10,"7049137",10,"2185068",10,"591257",13,"0",10,"4272812",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"96858491",10,"40853677",10,"11245405",10,"3503766",10,"41255643",10,"2769973",10,"2769973",10,"348281",10,"0",10,"0",10,"0",10,"348281",10,"3118254",10,"0",10,"0",10,"0",10,"3118254",10,"99976745",10,"40853677",10,"11245405",10,"3503766",10,"44373897",10,"109551609",10,"99976745",10,"9574864",10,"76650296",10,"393329",10,"86618489",10,"39552627",10,"46135768",10,"10288979",10,"534043",10,"358025",10,"0",10,"0",10,"5448465",10,"16629512",10,"2197326",10,"1797813",10,"3995139",10,"12634373","1"
"100733",10,"4714274",10,"2891970",10,"1749588",10,"5388859",10,"6531241",10,"11245515",10,"0",10,"2114076",10,"2114076",10,"0",10,"0",13,"0",10,"2114076",10,"1142382",13,"0",13,"0",10,"7989057",10,"9131439",10,"106750",10,"0",10,"0",10,"106750",10,"56543",10,"0",10,"0",10,"56543",10,"1906216",10,"0",10,"0",10,"1906216",10,"1359228",10,"29865",10,"566632",10,"822461",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2076975",10,"190661",10,"518048",10,"1749588",13,"0",13,"0",13,"0",13,"0",13,"0",30,"",30,"",10,"10566461",10,"10566461",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"295876",10,"-16160",10,"279716",13,"0",13,"0",13,"0",10,"0",10,"0",10,"10846177",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"10450014",10,"6285778",10,"1891887",10,"190661",10,"2081688",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"10450014",10,"6285778",10,"1891887",10,"190661",10,"2081688",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"10450014",10,"6285778",10,"1891887",10,"190661",10,"2081688",10,"10846177",10,"10450014",10,"396163",10,"8735275",10,"1",10,"9131439",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",31,"","2"
"100751",10,"201437203",10,"1083525132",10,"351000027",10,"776662295",10,"1509187400",10,"1710624603",10,"7642003",10,"156300465",10,"163942468",10,"374085092",10,"14231000",10,"388316092",10,"552258560",10,"408136653",10,"276941218",10,"228047012",10,"245241160",10,"1158366043",10,"22832693",10,"0",10,"0",10,"22832693",10,"23719270",10,"202192",10,"0",10,"23921462",10,"599479843",10,"117225667",10,"0",10,"716705510",10,"154905470",10,"10693707",10,"50757300",10,"114841877",10,"89618378",10,"3292239",10,"0",10,"92910617",10,"0",10,"0",10,"0",10,"0",10,"75958788",10,"36354185",10,"0",10,"112312973",10,"362828783",10,"32681032",10,"44509788",10,"351000027",10,"135420343",10,"50474698",10,"12970100",10,"1647409",10,"104203777",10,"0",10,"0",10,"21436568",10,"326152895",10,"0",10,"145930652",10,"0",10,"0",10,"253500",10,"603633",10,"41465864",10,"56484511",10,"0",10,"244738160",10,"0",10,"16113911",10,"11913805",10,"0",10,"28027716",10,"598918771",10,"142390344",10,"97916752",10,"24239668",13,"0",10,"20233924",10,"25742863",10,"11642619",10,"1953263",13,"0",10,"12146981",10,"37883445",10,"19349962",10,"5004286",13,"0",10,"13529197",10,"43734320",10,"26661145",10,"6369937",13,"0",10,"10703238",10,"25711341",10,"10564053",10,"9078443",13,"0",10,"6068845",10,"41740549",10,"22059652",10,"9783219",13,"0",10,"9897678",10,"38838264",10,"18900510",10,"5386931",13,"0",10,"14550823",10,"38470361",10,"38470361",10,"10817099",30,"",30,"",30,"",10,"10817099",10,"80934920",10,"28786354",10,"6406895",13,"0",10,"45741671",10,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"486263506",10,"235881047",10,"68222642",10,"38470361",10,"143689456",10,"8885356",10,"8885356",10,"1407278",10,"0",10,"0",10,"0",10,"1407278",10,"10292634",10,"0",10,"0",10,"0",10,"10292634",10,"496556140",10,"235881047",10,"68222642",10,"38470361",10,"153982090",10,"598918771",10,"496556140",10,"102362631",10,"1056003412",10,"0",10,"1158366043",10,"409257866",10,"445817333",10,"9799073",10,"3147069",10,"76003",10,"0",10,"9024217",10,"24487994",10,"46534356",10,"32917319",10,"2799938",10,"35717257",10,"10817099","1"
"100760",10,"8332426",10,"29702652",10,"10115010",10,"2067168",10,"21654810",10,"29987236",10,"335000",10,"1971726",10,"2306726",10,"8050000",10,"511755",10,"8561755",10,"10868481",10,"12735013",10,"836215",10,"500",10,"5547027",10,"19118755",10,"1331474",10,"0",10,"0",10,"1331474",10,"1146121",10,"151511",10,"0",10,"1297632",10,"18636298",10,"5010637",10,"0",10,"23646935",10,"3173752",10,"849549",10,"13017",10,"4010284",10,"501462",10,"15800",10,"5610",10,"511652",10,"0",10,"0",10,"0",10,"0",10,"3672557",10,"2555289",10,"5991697",10,"236149",10,"8976869",10,"1156823",10,"18682",10,"10115010",10,"2432547",10,"6056835",10,"384689",10,"26997",10,"1237766",30,"",30,"",10,"3791",10,"10142625",10,"0",10,"8037590",10,"10000",10,"0",10,"0",10,"0",10,"20000",10,"221147",10,"216856",10,"8505593",10,"0",10,"1827246",10,"0",10,"0",10,"1827246",10,"20475464",10,"7942469",10,"5420589",10,"1306776",10,"0",10,"1215104",10,"0",10,"0",10,"0",10,"0",10,"0",10,"147462",10,"0",10,"5038",10,"0",10,"142424",10,"764913",10,"471936",10,"141248",10,"0",10,"151729",10,"1455531",10,"867689",10,"271654",10,"0",10,"316188",10,"1601568",10,"845826",10,"336378",10,"0",10,"419364",10,"1316966",10,"363880",10,"148201",10,"0",10,"804885",10,"1156823",10,"1156823",10,"2093261",30,"",30,"",30,"",10,"2093261",10,"1809924",10,"422499",10,"149075",10,"0",10,"1238350",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"18288917",10,"8392419",10,"2358370",10,"1156823",10,"6381305",10,"350791",10,"350791",10,"811461",10,"0",10,"0",10,"0",10,"811461",10,"1162252",10,"0",10,"0",10,"0",10,"1162252",10,"19451169",10,"8392419",10,"2358370",10,"1156823",10,"7543557",10,"20475464",10,"19451169",10,"1024295",10,"18083686",10,"10774",10,"19118755",10,"5048",10,"5056",10,"3265205",10,"134428",10,"6250",13,"0",10,"68395",10,"1248674",10,"4722952",10,"2629691",10,"0",10,"2629691",10,"2093261","1"
"100812",10,"11389734",10,"20777878",10,"8512466",10,"742584",10,"13007996",10,"24397730",10,"210000",10,"2904431",10,"3114431",10,"1985000",10,"667566",10,"2652566",10,"5766997",10,"10712681",10,"440419",10,"0",10,"7477633",10,"18630733",10,"517268",10,"125000",10,"0",10,"642268",10,"1060677",10,"11000",10,"0",10,"1071677",10,"15530984",10,"573912",10,"0",10,"16104896",10,"2202358",10,"185604",10,"58165",10,"2329797",10,"951185",10,"49787",10,"16005",10,"984967",10,"0",10,"0",10,"0",10,"0",10,"61344",10,"238309",10,"13110",10,"286543",10,"7871006",10,"715630",10,"74170",10,"8512466",10,"4309151",10,"11801516",10,"1181177",10,"1075",10,"151816",10,"0",10,"0",10,"7117",10,"17451852",10,"0",10,"11383760",10,"0",10,"0",10,"0",10,"0",10,"0",10,"353148",10,"55896",10,"11792804",10,"0",10,"0",10,"0",10,"0",10,"0",10,"29244656",10,"10763116",10,"7616392",10,"1938778",10,"0",10,"1207946",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1367144",10,"922894",10,"286094",10,"0",10,"158156",10,"1761707",10,"1273612",10,"396289",10,"0",10,"91806",10,"4260634",10,"1953657",10,"675735",10,"0",10,"1631242",10,"2427581",10,"1056145",10,"399307",10,"0",10,"972129",10,"715630",10,"715630",10,"6873569",30,"",30,"",30,"",10,"6873569",10,"113076",10,"32003",10,"10133",10,"0",10,"70940",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"28282457",10,"12854703",10,"3706336",10,"715630",10,"11005788",10,"127337",10,"127337",10,"458403",10,"0",10,"0",10,"0",10,"458403",10,"585740",10,"0",10,"0",10,"0",10,"585740",10,"28868197",10,"12854703",10,"3706336",10,"715630",10,"11591528",10,"29244656",10,"28868197",10,"376459",10,"18254274",10,"0",10,"18630733",10,"948248",10,"1019950",10,"2338235",10,"9384123",10,"28000",10,"0",10,"0",10,"304081",10,"12054439",10,"5180870",10,"0",10,"5180870",10,"6873569","1"
"100830",10,"8573214",10,"83404270",10,"44856777",10,"20103283",10,"58650776",10,"67223990",10,"245000",10,"13107202",10,"13352202",10,"1455000",10,"1892784",10,"3347784",10,"16699986",10,"35694867",10,"5171344",10,"5576753",10,"4081040",10,"50524004",10,"1085032",13,"0",10,"0",10,"1085032",10,"1471207",13,"0",10,"0",10,"1471207",10,"53677101",10,"442517",10,"30000",10,"54089618",10,"4309453",10,"712350",10,"149748",10,"4872055",10,"20525523",10,"893313",10,"402691",10,"21016145",10,"0",13,"0",10,"0",13,"0",10,"0",13,"0",10,"0",13,"0",10,"42384974",10,"2471803",10,"0",10,"44856777",10,"17186915",10,"6340823",10,"15260220",10,"537257",10,"4759529",13,"0",13,"0",10,"3619281",10,"47704025",13,"0",10,"23140350",13,"0",13,"0",13,"0",13,"0",10,"738607",10,"1134516",10,"0",10,"25013473",10,"867",10,"43898",10,"38151",10,"0",10,"82916",10,"72800414",10,"21380230",10,"16191053",10,"3414405",13,"0",10,"1774772",10,"225771",10,"103304",10,"20753",13,"0",10,"101714",10,"19719635",10,"2794064",10,"602393",13,"0",10,"16323178",10,"4775608",10,"2701274",10,"630052",13,"0",10,"1444282",10,"4636594",10,"2873326",10,"616792",13,"0",10,"1146476",10,"8546608",10,"3738061",10,"1749213",13,"0",10,"3059334",10,"5006460",10,"1213855",10,"430589",13,"0",10,"3362016",10,"2471803",10,"2471803",10,"2550273",30,"",30,"",30,"",10,"2550273",10,"4418790",10,"843735",10,"194661",13,"0",10,"3380394",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"73731772",10,"30458672",10,"7658858",10,"2471803",10,"33142439",10,"46625",10,"46625",10,"0",10,"0",10,"0",10,"0",10,"0",10,"46625",10,"0",10,"0",10,"0",10,"46625",10,"73778397",10,"30458672",10,"7658858",10,"2471803",10,"33189064",10,"72800414",10,"73778397",10,"-977983",10,"51501987",10,"0",10,"50524004",10,"16025220",10,"23888763",10,"3845208",10,"232747",10,"83000",10,"0",10,"344570",10,"1732396",10,"6237921",10,"3318884",10,"368764",10,"3687648",10,"2550273","1"
"100858",10,"156160371",10,"1051204463",10,"472703210",10,"544801876",10,"1123303129",10,"1279463500",10,"12712509",10,"151179080",10,"163891589",10,"261618259",10,"28020799",10,"289639058",10,"453530647",10,"402864367",10,"85407536",10,"17756104",10,"319904846",10,"825932853",10,"41818121",10,"12102590",10,"3318",10,"53917393",10,"81651329",10,"45389667",10,"0",10,"127040996",10,"583066573",10,"54808244",10,"2040700",10,"635834117",10,"146670706",10,"8742618",10,"3545525",10,"151867799",10,"105101173",10,"5539260",10,"290000",10,"110350433",10,"0",13,"0",10,"0",13,"0",10,"70726410",10,"83552102",10,"112032195",10,"42246317",10,"446594248",10,"31714554",10,"5605592",10,"472703210",10,"186945588",10,"77418855",10,"3983928",10,"13125973",10,"59733046",13,"0",13,"0",10,"33044318",10,"374251708",13,"0",10,"222600345",13,"0",13,"0",13,"0",13,"0",10,"21808427",10,"34537155",10,"0",10,"278945927",10,"1150467",10,"7371235",10,"111954",10,"0",10,"8633656",10,"661831291",10,"168938595",10,"119085703",10,"25902911",13,"0",10,"23949981",10,"80574143",10,"47028737",10,"9428887",13,"0",10,"24116519",10,"65469323",10,"34456568",10,"12015223",13,"0",10,"18997532",10,"42037764",10,"23877725",10,"5773540",13,"0",10,"12386499",10,"11408995",10,"5617386",10,"1315482",13,"0",10,"4476127",10,"43495495",10,"15112881",10,"7813225",13,"0",10,"20569389",10,"43815027",10,"15351657",10,"4959185",13,"0",10,"23504185",10,"31714554",10,"31714554",10,"11602409",30,"",30,"",30,"",10,"11602409",10,"71588925",10,"22388982",10,"5168587",13,"0",10,"44031356",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"570645230",10,"282919639",10,"72377040",10,"31714554",10,"183633997",10,"9921332",10,"9921332",10,"0",10,"0",10,"0",10,"0",10,"0",10,"9921332",10,"0",10,"0",10,"0",10,"9921332",10,"580566562",10,"282919639",10,"72377040",10,"31714554",10,"193555329",10,"661831291",10,"580566562",10,"81264729",10,"744668124",10,"0",10,"825932853",10,"354378773",10,"378570463",10,"7154678",10,"1259518",13,"0",13,"0",10,"6737622",10,"31380848",10,"46532666",10,"33465222",10,"1465035",10,"34930257",10,"11602409","1"
