unitid,"xa013",a013,"xa023",a023,"xa043",a043,"xa053",a053,"xa063",a063,"xa073",a073,"xa083",a083,"xa093",a093,"xa103",a103,"xa113",a113,"xa123",a123,"xa133",a133,"xa143",a143,"xa153",a153,"xa163",a163,"xj013",j013,"xj023",j023,"xj033",j033,"xj043",j043,"xj053",j053,"xj063",j063,"xj073",j073,"xj083",j083,"xb013",b013,"xb023",b023,"xb033",b033,"xb043",b043,"xb063",b063,"xb073",b073,"xb083",b083,"xb093",b093,"xb103",b103,"xb113",b113,"xb123",b123,"xb133",b133,"xbline15",bline15,"xb163",b163,"xbline18",bline18,"xb193",b193,"xbline21",bline21,"xbother",bother,"xb223",b223,"xb234",b234,"xb244",b244,"xb254",b254,"xb274",b274,"xe013",e013,"xe023",e023,"xe033",e033,"xe043",e043,"xe053",e053,"xe063",e063,"xe073",e073,"xg01",g01,"xg02",g02,"xg03",g03,"xg04",g04,"xg05",g05,fha,"xh011",h011,"xh012",h012,"xh021",h021,"xh022",h022,"xk014",k014,"xk025",k025,"xk035",k035
"206084",10,"103914217",10,"0",10,"87705988",10,"0",10,"18160158",10,"9443292",10,"667843",10,"8557506",10,"1536929",10,"2379217",10,"38594024",10,"0",10,"3484423",10,"0",10,"274443597",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"98514711",10,"9529882",10,"4902578",10,"25789122",10,"14542874",10,"23795907",10,"12480819",10,"23467315",10,"2318264",10,"12293066",10,"227634538",10,"38835998",10,"11638655",10,"0",10,"0",10,"0",10,"0",10,"0",10,"266470536",10,"116240560",10,"39537194",10,"0",10,"155777754",10,"9441800",10,"2454741",10,"3089034",10,"0",10,"1390773",10,"7090967",10,"23467315",10,"90033684",10,"0",10,"3871187",10,"86162497",10,"4754102","1",10,"29079026",10,"36808222",10,"30316535",10,"38578726",10,"17798450",10,"395488529",10,"94935721"
"206172",10,"464188",10,"0",10,"271245",10,"25000",10,"101511",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"861944",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"603501",10,"0",10,"0",10,"41777",10,"7315",10,"37535",10,"0",10,"101511",10,"0",10,"0",10,"791639",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"791639",10,"300569",10,"77787",10,"0",10,"378356",10,"101511",10,"0",10,"0",10,"0",10,"0",10,"0",10,"101511",10,"0",10,"0",10,"0",10,"0",10,"0","2",31,"",31,"",31,"",31,"",10,"0",10,"0",10,"0"
"206181",10,"425074",10,"0",10,"166094",10,"0",10,"137986",10,"1614",10,"108933",10,"19714",10,"0",10,"40222",10,"0",10,"0",10,"0",10,"0",10,"899637",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"511288",10,"0",10,"0",10,"90016",10,"5578",10,"100000",10,"893043",10,"260547",10,"50000",10,"69174",10,"1979646",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1979646",10,"426330",10,"174970",10,"0",10,"601300",10,"35314",10,"82414",10,"1614",10,"21872",10,"119333",10,"0",10,"260547",10,"1240415",10,"0",10,"148042",10,"1092373",10,"36018","2",31,"",31,"",31,"",31,"",10,"8014850",10,"0",10,"2443623"
"206321",10,"1017101",10,"0",10,"693880",10,"25000",10,"222609",10,"36987",10,"0",10,"22500",10,"0",10,"144712",10,"0",10,"0",10,"14452",10,"0",10,"2177241",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1641365",10,"0",10,"0",10,"0",10,"194869",10,"262760",10,"36140",10,"112715",10,"0",10,"0",10,"2247849",10,"144277",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2392126",10,"1612478",10,"110681",10,"228923",10,"1952082",10,"96683",10,"0",10,"0",10,"0",10,"16032",10,"0",10,"112715",10,"205725",10,"31650",10,"174075",10,"63300",10,"0","2",10,"0",10,"0",10,"0",10,"0",10,"116708",10,"973736",10,"925131"
"206446",10,"4504869",10,"0",10,"4716423",10,"0",10,"2546030",10,"1246049",10,"0",10,"0",10,"0",10,"97262",10,"796612",10,"0",10,"220190",10,"0",10,"14127435",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"4312483",10,"0",10,"0",10,"1511882",10,"1472512",10,"2741022",10,"837398",10,"2429845",10,"0",10,"0",10,"13305142",10,"794778",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"14099920",10,"5792898",10,"2171116",10,"0",10,"7964014",10,"1505208",10,"42951",10,"500405",10,"0",10,"0",10,"381281",10,"2429845",10,"0",10,"0",10,"0",10,"0",10,"0","1",10,"100000",10,"100000",10,"111615",10,"111615",10,"980000",10,"16778591",10,"3256010"
"206455",21,"110324",21,"0",21,"187075",21,"0",21,"63072",21,"86623",21,"0",21,"0",21,"0",21,"0",21,"46700",21,"0",21,"0",21,"0",21,"493794",21,"0",21,"0",21,"0",21,"0",21,"0",21,"0",21,"0",21,"0",21,"50050",21,"0",21,"0",21,"630647",21,"75933",21,"43750",21,"43750",21,"90467",21,"0",21,"0",21,"934597",21,"122062",21,"0",21,"0",21,"0",21,"0",21,"0",21,"0",21,"1056659",21,"51614",21,"7974",21,"50000",21,"109588",21,"55188",21,"0",21,"27360",21,"0",21,"0",21,"7919",21,"90467",21,"0",21,"0",21,"0",21,"0",21,"0","",21,"0",21,"0",21,"0",21,"0",21,"42000",21,"22947304",21,"7365800"
"175935",10,"3101183",10,"0",10,"9899001",10,"1179964",10,"3876505",10,"1881835",10,"7809",10,"422801",10,"0",10,"71759",10,"2275526",10,"0",10,"322717",10,"0",10,"23039100",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8705159",10,"0",10,"0",10,"1722727",10,"2158213",10,"1817624",10,"1676080",10,"3432450",10,"266939",10,"0",10,"19779192",10,"1965566",10,"0",10,"0",10,"0",10,"0",10,"0",10,"118957",10,"21863715",10,"9981093",10,"2254585",10,"0",10,"12235678",10,"2702858",10,"90198",10,"218672",10,"0",10,"0",10,"420722",10,"3432450",10,"6715000",10,"16195",10,"482002",10,"6249193",10,"359049","1",10,"2312156",10,"4701073",10,"2434026",10,"5336684",10,"228479",10,"62960700",10,"7378205"
"175999",10,"0",10,"0",10,"29180680",10,"0",10,"5694393",10,"942909",10,"0",10,"273541",10,"0",10,"827723",10,"0",10,"0",10,"7690777",10,"0",10,"44610023",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1104109",10,"0",10,"1074949",10,"0",10,"19659028",10,"1364901",10,"20096350",10,"0",10,"0",10,"43299337",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"43299337",10,"5491045",10,"1276668",10,"0",10,"6767713",10,"0",10,"216190",10,"19880160",10,"0",10,"0",10,"0",10,"20096350",10,"0",10,"0",10,"0",10,"0",10,"0","2",31,"",31,"",31,"",31,"",10,"0",10,"12000000",10,"1400000"
"176008",10,"2751875",10,"0",10,"9611689",10,"1669920",10,"7112492",10,"2244194",10,"0",10,"0",10,"0",10,"0",10,"2185330",10,"0",10,"322638",10,"0",10,"25898138",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"11096300",10,"0",10,"0",10,"591846",10,"1315451",10,"2053630",10,"3940026",10,"4747699",10,"0",10,"0",10,"23744952",10,"2077952",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"25822904",10,"10158901",10,"2209608",10,"0",10,"12368509",10,"3984798",10,"182582",10,"153851",10,"0",10,"0",10,"426468",10,"4747699",10,"706006",10,"0",10,"58410",10,"647596",10,"33635","2",31,"",31,"",31,"",31,"",10,"1691340",10,"43000000",10,"9600000"
"176017",10,"47899424",10,"0",10,"79353774",10,"0",10,"31930942",10,"8000944",10,"0",10,"12048747",10,"446532",10,"4261107",10,"31381348",10,"0",10,"7175764",10,"0",10,"222498582",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"70976111",10,"28419813",10,"2055055",10,"19889175",10,"9289061",10,"17811270",10,"10625118",10,"22507338",10,"716376",10,"4123425",10,"186412742",10,"32251463",10,"1220790",10,"0",10,"0",10,"0",10,"0",10,"0",10,"218664205",10,"83043887",10,"20397002",10,"0",10,"103440889",10,"4302999",10,"779594",10,"4274950",10,"0",10,"4150154",10,"8999641",10,"22507338",10,"28446290",10,"20265500",10,"2726086",10,"45985704",10,"1494122","1",10,"8802120",10,"17856413",10,"7867688",10,"18710987",10,"3785379",10,"0",10,"0"
"176026",10,"4871564",10,"0",10,"122446755",10,"0",10,"10887929",10,"813084",10,"0",10,"18649064",10,"1932413",10,"760594",10,"6239655",10,"301142207",10,"7858557",10,"0",10,"475601822",10,"0",10,"35731458",10,"0",10,"250479439",10,"0",10,"0",10,"14931310",10,"301142207",10,"87326311",10,"11354049",10,"4259879",10,"12352919",10,"806268",10,"32169956",10,"23095482",10,"2674841",10,"2776574",10,"5770020",10,"182586299",10,"7045367",10,"658364",10,"294682459",10,"6176285",10,"0",10,"0",10,"0",10,"484314125",10,"103116982",10,"22988079",10,"0",10,"126105061",10,"270808",10,"736504",10,"393953",10,"0",10,"1273576",10,"0",10,"2674841",10,"6756301",10,"0",10,"2472952",10,"4283349",10,"291862","1",10,"28261132",10,"29045944",10,"32278892",10,"33465132",10,"1734733",10,"320359584",10,"232651201"
"176035",10,"6950991",10,"0",10,"15298369",10,"427992",10,"2441115",10,"5041970",10,"480521",10,"1431900",10,"104239",10,"980565",10,"3341452",10,"0",10,"530429",10,"0",10,"37029543",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"10345743",10,"11489",10,"728732",10,"6205223",10,"2805978",10,"3564814",10,"2844850",10,"5881575",10,"295485",10,"982736",10,"33666625",10,"3095868",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"36762493",10,"16633113",10,"3907814",10,"0",10,"20540927",10,"1872969",10,"252281",10,"666116",10,"0",10,"1073832",10,"2016377",10,"5881575",10,"376197",10,"0",10,"189117",10,"187080",10,"14959","1",10,"18392138",10,"18392138",10,"20340761",10,"20340761",10,"1600405",10,"141656282",10,"9249055"
"176044",10,"7714418",10,"0",10,"14845280",10,"0",10,"11223123",10,"104191",10,"179760",10,"0",10,"0",10,"233335",10,"5074949",10,"0",10,"2104733",10,"0",10,"41479789",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"9772109",10,"3572",10,"2670113",10,"2510759",10,"2920160",10,"4897014",10,"3537705",10,"7705743",10,"312456",10,"0",10,"34329631",10,"4812384",10,"240038",10,"0",10,"0",10,"0",10,"0",10,"0",10,"39142015",10,"14203019",10,"3147304",10,"0",10,"17350323",10,"5245584",10,"646830",10,"8932",10,"0",10,"2500",10,"1801897",10,"7705743",10,"280000",10,"567325",10,"178807",10,"668518",10,"22962","1",10,"652418",10,"989369",10,"1065418",10,"1468798",10,"47500",10,"100000000",10,"30000000"
"176071",10,"8312812",10,"0",10,"25163027",10,"5806724",10,"7947145",10,"6714971",10,"560052",10,"1256740",10,"0",10,"100906",10,"2672563",10,"0",10,"713156",10,"0",10,"59248096",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"28022425",10,"0",10,"0",10,"3330133",10,"4751162",10,"6493126",10,"5752507",10,"7471691",10,"0",10,"0",10,"55821044",10,"2451363",10,"373000",10,"0",10,"0",10,"0",10,"0",10,"0",10,"58272407",10,"32668021",10,"7178779",10,"0",10,"39846800",10,"6178466",10,"151323",10,"501949",10,"0",10,"0",10,"639953",10,"7471691",10,"0",10,"0",10,"0",10,"0",10,"0","2",31,"",31,"",31,"",31,"",10,"1118621",10,"72000000",10,"21000000"
