unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,cntlaffi,pubprime,pubsecon,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,fopna,fopna1,fopna2,accrd1,accrd2,regaccrd,accrd3,accrd4,saccr,openadmp,admcon1,admcon2,admcon3,admcon4,admcon5,admcon6,admcon7,admcon8,yrscoll,stusrv1,stusrv2,stusrv3,stusrv4,stusrv8,stusrv9,libfac,rotc,rotc1,rotc2,rotc3,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,insttoyr,pctpost,calsys,apfee,"xappfeeu",applfeeu,"xappfeeg",applfeeg,"xappfeep",applfeep,ftstu,ft_ug,ft_ftug,ft_gd,ft_fp,tuitvary,room,"xroomcap",roomcap,board,"xmealswk",mealswk,"xroomamt",roomamt,"xbordamt",boardamt,"xrmbdamt",rmbrdamt
"112446","0","1","0","0","0","0","3","-2","-2","-2","0","1","1","0","1","0","1","0","0","0","0","0","2","-2","-2","1","0","-2","0","0","1","2","-1","-1","-1","-1","-1","1","-1","-1","-2","1","1","0","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","2","1",10,"100",10,"100",31,"","1","1","1","1","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"113713","1","1","0","0","0","1","4","-2","-2","30","0","0","1","0","0","0","0","0","0","0","0","0","2","-2","-2","0","1","9","0","0","2","2","1","2","1","1","2","2","2","1","-2","0","1","0","0","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"114734","0","1","1","0","0","0","4","-2","-2","30","0","0","0","0","0","0","1","0","0","1","0","0","2","-2","-2","1","1","11","0","0","1","3","-2","-2","-2","-2","-2","-2","-2","-2","4","0","1","0","0","0","0","2","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","4","1",31,"",10,"25",10,"25","1","2","2","1","1","2","2",31,"","3",31,"",30,"",30,"",31,""
"115533","0","1","0","0","0","0","3","-2","-2","-2","0","1","1","0","0","0","0","0","0","0","0","0","2","-2","-2","0","1","9","0","0","2","2","3","3","1","3","3","3","1","3","-2","1","1","1","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","2","1",10,"50",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"116466","0","1","0","0","0","0","2","-2","-2","-2","0","0","1","0","1","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","0","0","1","2","3","3","3","3","3","3","1","1","-2","1","1","1","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","2","1",10,"100",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"117672","0","1","0","0","0","0","3","-2","-2","-2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","11","0","0","1","3","-2","-2","-2","-2","-2","-2","-2","-2","3","1","1","1","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","3","1",31,"",31,"",10,"50","1","2","2","2","1","2","2",31,"","3",31,"",30,"",30,"",31,""
"118374","1","0","0","0","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","0","0","1","2","-1","-1","-1","-1","-1","-1","1","-1","-3","0","1","0","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","6","2",31,"",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"119067","1","1","0","1","1","0","1","2","4","-2","1","1","1","1","0","0","0","0","0","0","0","0","2","-2","-2","1","1","9","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","1","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","1","2",31,"","3",31,"",30,"",30,"",31,""
"120069","1","0","0","0","0","0","2","-2","-2","-2","1","0","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","2","-1","-1","-1","-1","-1","1","-1","-1","-3","1","1","0","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","6","1",10,"75",31,"",31,"","1","1","2","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"120971","1","1","0","1","1","0","1","2","0","-2","1","1","1","0","0","0","0","0","0","0","0","0","1","1","-3","1","1","9","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","0","1","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","1","2",31,"","3",31,"",30,"",30,"",31,""
"121992","1","0","0","0","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","0","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-3","0","0","0","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","5","2",31,"",31,"",31,"","1","1","2","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"122676","1","0","0","0","0","0","1","5","0","-2","0","0","0","1","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","2","1","-1","-1","1","-1","-1","-1","-1","-2","1","1","1","0","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","2","2","2","1","2",31,"","3",31,"",30,"",30,"",31,""
"123509","1","1","0","0","1","0","1","5","2","-2","1","1","1","1","0","0","0","0","0","0","0","0","2","-2","-2","1","1","9","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","1","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","1","2",31,"","3",31,"",30,"",30,"",31,""
"124627","0","1","0","0","0","0","3","-2","-2","-2","0","0","0","0","1","0","0","0","0","0","0","0","2","-2","-2","0","1","5","0","0","2","2","3","3","-1","3","1","3","3","3","-2","0","1","0","0","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","1",10,"50",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"125602","0","1","0","0","0","0","2","-2","-2","-2","0","0","1","0","1","0","0","0","0","1","0","0","2","-2","-2","0","0","-2","1","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","0","1","0","0","0","0","1","2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","-1","-1",31,"",31,"",31,"","-1","-1","-1","-1","-1","-1","-1",31,"","-1",31,"",31,"",31,"",30,""
"126562","0","1","1","0","0","0","1","2","0","-2","0","0","0","0","1","0","1","1","1","0","0","0","2","-2","-2","1","1","5","1","0","1","2","1","1","1","1","3","3","1","1","-2","0","1","1","1","1","0","2","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","1",10,"40",10,"50",31,"","1","1","1","1","2","1","2",31,"","3",31,"",30,"",30,"",31,""
