unitid,line,efres01,efres02,efres03,efres04,efres05,centers
"100654","1","652","571","100","0","234","0"
"100654","5","1","0","0","0","0","0"
"100654","6","7","3","4","0","0","0"
"100654","8","1","1","1","0","0","0"
"100654","10","2","2","0","0","0","0"
"100654","11","5","1","1","0","2","0"
"100654","12","12","11","5","0","0","0"
"100654","13","36","24","1","0","1","0"
"100654","17","33","25","8","0","3","0"
"100654","18","10","8","0","0","0","0"
"100654","19","1","1","0","0","0","0"
"100654","21","2","2","0","0","0","0"
"100654","22","0","0","1","0","2","0"
"100654","23","0","0","1","0","0","0"
"100654","24","0","0","2","0","0","0"
"100654","26","40","30","6","0","1","0"
"100654","28","5","4","1","0","1","0"
"100654","29","9","7","1","0","0","0"
"100654","32","3","0","0","0","0","0"
"100654","34","1","1","1","0","0","0"
"100654","36","10","6","4","0","3","0"
"100654","37","2","1","1","0","0","0"
"100654","39","12","8","2","0","1","0"
"100654","41","2","0","0","0","0","0"
"100654","42","2","2","1","0","0","0"
"100654","45","3","3","0","0","0","0"
"100654","47","17","14","3","0","2","0"
"100654","51","3","0","2","0","0","0"
"100654","53","0","0","2","0","0","0"
"100654","55","0","0","0","0","1","0"
"100654","65","871","725","148","0","251",""
"100663","1","1089","828","896","203","549","0"
"100663","2","1","1","0","0","0","0"
"100663","4","1","1","0","2","0","0"
"100663","5","0","0","0","0","1","0"
"100663","6","3","3","2","0","4","0"
"100663","8","1","1","0","0","0","0"
"100663","9","0","0","0","0","1","0"
"100663","10","0","0","0","0","2","0"
"100663","11","0","0","0","0","1","0"
"100663","12","9","6","17","6","6","0"
"100663","13","6","6","6","16","11","0"
"100663","17","4","2","0","0","0","0"
"100663","18","2","2","2","1","3","0"
"100663","19","1","1","1","1","0","0"
"100663","20","0","0","0","0","1","0"
"100663","21","3","2","0","3","5","0"
"100663","22","0","0","3","1","6","0"
"100663","24","0","0","1","3","0","0"
"100663","25","0","0","0","0","2","0"
"100663","26","3","3","0","0","1","0"
"100663","28","2","1","8","3","15","0"
"100663","29","1","1","1","0","1","0"
"100663","30","0","0","1","0","0","0"
"100663","31","0","0","0","0","2","0"
"100663","32","0","0","1","1","1","0"
"100663","34","0","0","0","1","0","0"
"100663","35","0","0","0","0","1","0"
"100663","36","2","2","2","2","5","0"
"100663","37","1","0","3","2","4","0"
"100663","39","1","1","1","0","1","0"
"100663","41","0","0","0","1","1","0"
"100663","42","0","0","3","2","3","0"
"100663","44","0","0","0","0","1","0"
"100663","45","3","2","1","2","4","0"
"100663","47","10","9","9","5","13","0"
"100663","48","1","1","1","0","7","0"
"100663","49","0","0","0","0","2","0"
"100663","50","1","1","0","0","0","0"
"100663","51","2","2","2","2","1","0"
"100663","53","0","0","0","1","2","0"
"100663","56","0","0","0","0","1","0"
"100663","64","6","0","18","1","79","0"
"100663","65","1153","876","979","259","737",""
"100672","1","55","26","37","0","0","0"
"100672","5","1","1","0","0","0","0"
"100672","12","5","2","0","0","0","0"
"100672","13","3","2","2","0","0","0"
"100672","17","1","1","0","0","0","0"
"100672","19","1","0","0","0","0","0"
"100672","24","2","1","0","0","0","0"
"100672","35","0","0","1","0","0","0"
"100672","36","6","6","0","0","0","0"
"100672","42","0","0","1","0","0","0"
"100672","47","3","2","0","0","0","0"
"100672","51","1","0","0","0","0","0"
"100672","61","1","0","0","0","0","0"
"100672","64","2","0","0","0","0","0"
"100672","65","81","41","41","0","0",""
"100690","57","22","0","0","0","5","0"
"100690","65","22","0","0","0","5",""
"100706","1","806","483","746","0","207","0"
"100706","6","0","0","0","0","2","0"
"100706","8","0","0","0","0","2","0"
"100706","12","1","1","1","0","2","0"
"100706","13","4","3","4","0","0","0"
