unitid,"xa013",a013,"xa023",a023,"xa043",a043,"xa053",a053,"xa063",a063,"xa073",a073,"xa083",a083,"xa093",a093,"xa103",a103,"xa113",a113,"xa123",a123,"xa133",a133,"xa143",a143,"xa153",a153,"xa163",a163,"xj013",j013,"xj023",j023,"xj033",j033,"xj043",j043,"xj053",j053,"xj063",j063,"xj073",j073,"xj083",j083,"xb013",b013,"xb023",b023,"xb033",b033,"xb043",b043,"xb063",b063,"xb073",b073,"xb083",b083,"xb093",b093,"xb103",b103,"xb113",b113,"xb123",b123,"xb133",b133,"xbline15",bline15,"xb163",b163,"xbline18",bline18,"xb193",b193,"xbline21",bline21,"xbother",bother,"xb223",b223,"xb234",b234,"xb244",b244,"xb254",b254,"xb274",b274,"xe013",e013,"xe023",e023,"xe033",e033,"xe043",e043,"xe053",e053,"xe063",e063,"xe073",e073,"xg01",g01,"xg02",g02,"xg03",g03,"xg04",g04,"xg05",g05,fha,"xh011",h011,"xh012",h012,"xh021",h021,"xh022",h022,"xk014",k014,"xk025",k025,"xk035",k035
"100654",10,"19383641",10,"2962517",10,"32047141",13,"0",10,"23690193",10,"1805707",13,"0",10,"624621",13,"0",10,"1064031",10,"11752470",13,"0",10,"524810",13,"0",10,"93855131",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"17077455",10,"8167183",10,"10996312",10,"5319925",10,"8927224",10,"13640096",10,"5812021",10,"12540300",13,"0",13,"0",10,"82480516",10,"14058151",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"96538667",10,"41140382",10,"7232139",10,"0",10,"48372521",10,"6242882",10,"238751",10,"280047",13,"0",13,"0",10,"5778620",10,"12540300",10,"73396139",13,"0",10,"1695244",10,"71700895",10,"3669348","2",31,"",31,"",31,"",31,"",10,"4982207",10,"117018301",10,"25929369"
"100663",10,"70428564",10,"0",10,"178753774",10,"0",10,"241658252",10,"2345212",10,"2246523",10,"63197709",10,"6158477",10,"42686920",10,"19699868",10,"665865838",10,"57807441",10,"0",10,"1350848578",10,"0",10,"27404605",10,"0",10,"638461233",10,"0",10,"0",10,"0",10,"665865838",10,"173492320",10,"195705928",10,"93257740",10,"48414154",10,"14367938",10,"42984478",10,"35766527",10,"29556701",10,"10584488",10,"-15188406",10,"628941868",10,"19589307",10,"-9255496",10,"685755398",10,"87583652",10,"0",10,"0",10,"0",10,"1334286573",10,"345378768",10,"80493001",10,"0",10,"425871769",10,"7700029",10,"9165071",10,"9000",10,"0",10,"3057371",10,"9625230",10,"29556701",10,"613560256",10,"0",10,"10268665",10,"603291591",10,"27245345","1",10,"234407133",10,"273679328",10,"261333666",10,"233631348",10,"42741338",10,"1278313592",10,"662568643"
"100706",10,"22643256",10,"0",10,"34886606",10,"0",10,"37312327",10,"1363562",10,"0",10,"9127144",10,"159739",10,"0",10,"3212399",10,"0",10,"3760235",10,"0",10,"112465268",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"29301748",10,"36929271",10,"1278953",10,"4657619",10,"6000774",10,"7748222",10,"5082272",10,"6488353",10,"2828853",10,"6085879",10,"106401944",10,"3381741",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"109783685",10,"53175524",10,"6844188",10,"3365814",10,"63385526",10,"2540558",10,"128624",10,"55850",10,"0",10,"1471263",10,"2292058",10,"6488353",10,"42141074",10,"745040",10,"1165895",10,"41720219",10,"2226792","1",10,"29550908",10,"46168728",10,"26662145",10,"42158826",10,"2176036",10,"193513700",10,"41031150"
"100724",10,"17672210",13,"0",10,"28225902",13,"0",10,"14339197",10,"3733194",10,"0",10,"305777",10,"86851",10,"75668",10,"10779701",13,"0",10,"1349348",13,"0",10,"76567848",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"20618397",10,"1777978",10,"2055342",10,"3465457",10,"7531281",10,"12243448",10,"5146755",10,"14385316",10,"3102223",13,"0",10,"70326197",10,"7795829",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"78122026",10,"33349263",10,"6979504",10,"0",10,"40328767",10,"8793928",10,"1790053",10,"711484",10,"0",10,"91049",10,"2998802",10,"14385316",10,"26461000",10,"9100000",10,"1699000",10,"33862000",10,"1396703","1",10,"15234473",10,"16131319",10,"17521298",10,"17957562",10,"13992512",10,"73963442",10,"20962926"
"100733",10,"0",10,"0",10,"234500",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8232141",10,"0",10,"8466641",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"7070039",10,"337798",10,"0",10,"0",10,"955074",10,"8362911",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8362911",10,"4855591",10,"1196941",10,"0",10,"6052532",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0","2",10,"0",10,"0",10,"0",10,"0",10,"106750",10,"1850000",10,"1600000"
"100751",10,"81103888",10,"0",10,"117689214",10,"0",10,"47417882",10,"10811500",10,"925575",10,"16844961",10,"9745899",10,"11940690",10,"75654300",10,"0",10,"11494000",13,"0",10,"383627909",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"114105970",10,"28539966",10,"36919100",10,"36938266",10,"7881360",10,"22465891",10,"18603594",10,"27984423",10,"3552305",10,"6028253",10,"303019128",10,"77965272",10,"5875848",13,"0",13,"0",13,"0",13,"0",10,"0",10,"380984400",10,"157195724",10,"34637168",10,"0",10,"191832892",10,"8661238",10,"2722388",10,"117150",10,"0",10,"5236984",10,"11246663",10,"27984423",10,"93781470",10,"722184",10,"7192311",10,"87311343",10,"4738627","1",10,"299709846",10,"357549847",10,"348250358",10,"311644453",10,"10234089",10,"427821458",10,"206771625"
"100760",10,"2537655",13,"0",10,"6522594",13,"0",10,"3223145",10,"101378",13,"0",10,"36608",13,"0",10,"5324",10,"774179",13,"0",10,"289600",13,"0",10,"13490483",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"5592558",13,"0",10,"126558",10,"624057",10,"951886",10,"1241543",10,"818774",10,"2161788",10,"396651",10,"1112955",10,"13026770",10,"706150",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"13732920",10,"6128096",10,"1342092",10,"0",10,"7470188",10,"1362610",13,"0",13,"0",13,"0",13,"0",10,"799178",10,"2161788",10,"3697574",13,"0",10,"211403",10,"3486171",10,"187662","1",10,"500",10,"500",10,"500",10,"500",10,"1201263",10,"32000000",10,"12000000"
"100812",10,"5693399",13,"0",10,"8361069",13,"0",10,"1943425",10,"652359",10,"3175",13,"0",13,"0",13,"0",10,"829193",13,"0",10,"245230",13,"0",10,"17727850",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"7585729",10,"2004",13,"0",10,"1142435",10,"1614658",10,"2174614",10,"1684832",10,"2213883",10,"350000",10,"440000",10,"17208155",10,"738586",10,"90000",13,"0",13,"0",13,"0",13,"0",10,"0",10,"17946741",10,"9687723",10,"2196248",10,"0",10,"11883971",10,"1675467",10,"197593",13,"0",13,"0",13,"0",10,"340823",10,"2213883",10,"3275000",13,"0",10,"160000",10,"3115000",10,"172720","2",31,"",31,"",31,"",31,"",10,"429056",10,"26000000",10,"18000000"
"100830",10,"13896074",13,"0",10,"18131494",13,"0",10,"6375360",10,"6644829",10,"267808",10,"447343",10,"983023",10,"2121900",10,"3569797",13,"0",10,"1044110",13,"0",10,"53481738",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"18485195",10,"501682",10,"10113339",10,"3541893",10,"3752028",10,"4810381",10,"2988150",10,"5397159",10,"57466",10,"236834",10,"49884127",10,"3507409",10,"0",10,"0",10,"0",10,"0",13,"0",10,"0",10,"53391536",10,"27234924",10,"5271393",10,"0",10,"32506317",10,"3686194",10,"424130",10,"63678",10,"0",10,"248872",10,"974285",10,"5397159",10,"2290000",13,"0",10,"120000",10,"2170000",10,"72947","1",10,"6557962",10,"11675260",10,"6827657",10,"12153230",10,"1085032",10,"64758750",10,"19456663"
"100858",10,"126922296",10,"10921694",10,"176711719",10,"2261534",10,"54517456",10,"3252178",10,"396470",10,"25626928",10,"8671152",10,"16732690",10,"64815810",10,"0",10,"23916220",10,"0",10,"514746147",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"125378565",10,"80793180",10,"61078437",10,"28347251",10,"10013265",10,"25724229",10,"28944810",10,"36699553",10,"6385413",10,"36327826",10,"439692529",10,"66830455",10,"0",10,"0",13,"0",10,"0",13,"0",10,"0",10,"506522984",10,"213033013",10,"42375593",10,"0",10,"255408606",10,"6687770",10,"1123454",10,"19325",10,"0",10,"8229413",10,"20639591",10,"36699553",10,"116950000",10,"19460000",10,"24660000",10,"111750000",10,"5920291","1",10,"249213175",10,"252566225",10,"272838532",10,"238876420",10,"25449664",10,"811568412",10,"298862531"
"100919",10,"1633300",10,"0",10,"5713459",10,"64000",10,"1945323",10,"72671",10,"26403",10,"89851",10,"0",10,"8805",10,"728857",10,"0",10,"657073",10,"0",10,"10939742",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"3895734",10,"0",10,"0",10,"532752",10,"747486",10,"1536266",10,"1244023",10,"1493205",10,"113858",10,"83523",10,"9646847",10,"650734",10,"103108",13,"0",13,"0",13,"0",13,"0",10,"0",10,"10297581",10,"4893346",10,"1123447",10,"0",10,"6016793",10,"1259014",10,"38095",10,"13300",13,"0",10,"15864",10,"166932",10,"1493205",10,"2125000",10,"0",10,"80000",10,"2045000",10,"99763","2",31,"",31,"",31,"",31,"",10,"45000",10,"25500000",10,"11562000"
"100973",10,"272000",13,"0",13,"0",13,"0",10,"1139255",13,"0",13,"0",13,"0",13,"0",10,"4055",13,"0",13,"0",10,"0",13,"0",10,"1415310",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"577625",13,"0",13,"0",10,"637279",10,"252773",10,"613850",10,"263492",13,"0",13,"0",13,"0",10,"2345019",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"2345019",10,"1043543",10,"248054",10,"0",10,"1291597",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"","2",31,"",31,"",31,"",31,"",10,"155000",10,"2134125",10,"2293292"
"101028",10,"2519193",13,"0",10,"4186550",13,"0",10,"1966736",13,"0",10,"92920",13,"0",13,"0",13,"0",10,"81880",13,"0",10,"110606",13,"0",10,"8957885",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"2431658",13,"0",13,"0",10,"789218",10,"545354",10,"1225019",10,"749062",10,"2196455",10,"325846",10,"340255",10,"8602867",10,"55654",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"8658521",10,"3366014",10,"783597",10,"0",10,"4149611",10,"1785314",10,"36733",10,"374408",13,"0",13,"0",13,"0",10,"2196455",10,"1614659",13,"0",10,"129659",10,"1485000",10,"83785","1",10,"40063",10,"40063",10,"41444",10,"41444",10,"306000",10,"12000000",10,"1200000"
"101107",10,"907405",13,"0",10,"2996713",13,"0",10,"1440976",10,"7409",10,"74406",13,"0",13,"0",10,"28995",10,"221256",13,"0",10,"108716",13,"0",10,"5785876",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",10,"2601345",13,"0",13,"0",10,"176924",10,"432792",10,"681563",10,"395383",10,"1159526",10,"19548",10,"207487",10,"5674568",10,"209421",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"5883989",10,"2712050",10,"649087",10,"0",10,"3361137",10,"705765",10,"44767",10,"7409",13,"0",13,"0",10,"401585",10,"1159526",10,"45590",13,"0",10,"11429",10,"34161",10,"3266","2",31,"",31,"",31,"",31,"",10,"80000",10,"8415098",10,"4120608"
"101143",10,"2451576",13,"0",10,"4575518",10,"17470",10,"2609118",10,"303900",10,"40176",13,"0",13,"0",13,"0",10,"655179",13,"0",10,"58145",13,"0",10,"10711082",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",10,"3544132",13,"0",13,"0",10,"1137667",10,"1146460",10,"1261384",10,"518072",10,"2309246",10,"150180",10,"-7812",10,"10059329",10,"604250",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"10663579",10,"5155342",10,"1132591",10,"0",10,"6287933",10,"1643808",10,"164100",13,"0",13,"0",13,"0",10,"501338",10,"2309246",10,"2663831",13,"0",10,"139528",10,"2524303",10,"137969","1",10,"751632",10,"751632",10,"781426",10,"781426",10,"302094",10,"19616252",10,"9792362"
"101161",10,"4575937",10,"0",10,"6882763",10,"787755",10,"3617157",10,"257773",10,"0",10,"97618",10,"0",10,"12890",10,"1780997",13,"0",10,"392107",10,"0",10,"18404997",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"5723008",10,"0",10,"0",10,"1850563",10,"1554522",10,"1275202",10,"1683410",10,"3731922",10,"909237",10,"235982",10,"16963846",10,"1778669",10,"235982",10,"0",10,"0",10,"0",10,"0",10,"0",10,"18742515",10,"7295734",10,"1647282",10,"0",10,"8943016",10,"2530663",10,"84196",10,"19100",10,"0",10,"0",10,"1097963",10,"3731922",10,"6131420",10,"0",10,"492631",10,"5638789",10,"167986","2",31,"",31,"",31,"",31,"",10,"486631",10,"30300000",10,"10500000"
"101240",10,"7760065",10,"0",10,"14564683",10,"654654",10,"7091210",10,"316876",10,"73763",10,"28036",10,"47159",10,"28860",10,"909702",10,"0",10,"587431",10,"0",10,"32062439",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"12087636",10,"0",10,"530537",10,"1859575",10,"3848545",10,"3240019",10,"2100166",10,"4771280",10,"832097",10,"826137",10,"30095992",10,"1555973",10,"0",10,"0",13,"0",10,"0",13,"0",10,"0",10,"31651965",10,"14781885",10,"3329461",10,"0",10,"18111346",10,"3324848",10,"76143",10,"20600",10,"51809",10,"47923",10,"1249957",10,"4771280",10,"3563476",10,"0",10,"561742",10,"3001734",10,"186901","1",10,"2049882",10,"2049882",10,"1841004",10,"1841004",10,"344158",10,"43193106",10,"24341193"
