unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3
"100636",10,"0",10,"0",10,"0",30,"",10,"0",10,"0",10,"0",30,"",10,"0",10,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",32,"",32,"",32,"",32,"",32,"",32,"",32,"",32,"",32,""
"100654",10,"2400",10,"400",10,"215",30,"",10,"2400",10,"400",10,"215",30,"",10,"4800",10,"400",10,"315",30,"",10,"2400",10,"400",10,"265",10,"2400",10,"400",10,"265",10,"4800",10,"400",10,"415",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2332",10,"2332",10,"4664",10,"2332",10,"2332",10,"4664",10,"4264",10,"4264",10,"5200",10,"800",10,"800",10,"800",10,"3514",10,"3514",10,"4500",10,"1000",10,"1000",10,"1000",10,"6000",10,"6000",10,"6000",10,"1500",10,"1500",10,"1500",10,"600",10,"600",10,"600"
"100663",10,"2820",10,"543",10,"94",30,"",10,"2820",10,"543",10,"94",30,"",10,"5640",10,"543",10,"188",30,"",10,"2568",10,"459",10,"107",10,"2568",10,"459",10,"107",10,"5136",10,"459",10,"214",31,"",31,"",31,"",31,"",10,"6276",10,"1308",10,"18828",10,"1308",10,"7069",10,"1155",10,"21207",10,"1155",10,"5127",10,"1320",10,"15381",10,"1320",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"3060",10,"3240",10,"3363",10,"3060",10,"3240",10,"3363",10,"5670",10,"5970",10,"6183",10,"900",10,"900",10,"900",10,"6318",10,"6471",10,"6471",10,"2438",10,"2438",10,"2438",10,"7875",10,"7875",10,"7875",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375"
"100690",10,"7200",10,"750",10,"300",30,"",10,"7200",10,"750",10,"300",30,"",10,"7200",10,"750",10,"300",30,"",10,"6480",10,"750",10,"360",10,"6480",10,"750",10,"360",10,"6480",10,"750",10,"360",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"6480",10,"750",10,"6480",10,"750",31,"",31,"",31,"",31,"",30,"",30,"",31,"",30,"",30,"",31,"",30,"",30,"",31,"",30,"",30,"",31,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",31,"",30,"",30,"",31,"",30,"",30,"",31,""
"100706",10,"2317",10,"967",10,"87",30,"",10,"2317",10,"967",10,"87",30,"",10,"4956",10,"1934",10,"186",30,"",10,"3304",10,"784",10,"153",10,"3304",10,"784",10,"153",10,"6826",10,"1568",10,"314",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2942",10,"3112",10,"3112",10,"2942",10,"3112",10,"3112",10,"6166",10,"6516",10,"6516",10,"720",10,"720",10,"720",10,"3700",10,"3780",10,"4300",10,"2100",10,"2100",10,"2100",10,"5345",10,"5345",10,"5345",10,"2550",10,"2550",10,"2550",10,"2250",10,"2250",10,"2250"
"100724",10,"2520",10,"0",10,"105",30,"",10,"2520",10,"0",10,"105",30,"",10,"5040",10,"0",10,"210",30,"",10,"2880",10,"0",10,"120",10,"2880",10,"0",10,"120",10,"5760",10,"0",10,"240",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2090",10,"2520",10,"2520",10,"2090",10,"2520",10,"2520",10,"3890",10,"5040",10,"5040",10,"800",10,"800",10,"800",10,"3500",10,"3500",10,"3500",10,"2310",10,"2310",10,"2310",10,"5625",10,"5625",10,"5625",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820"
"100751",10,"3014",10,"0",30,"",30,"",10,"3014",10,"0",30,"",30,"",10,"8162",10,"0",30,"",30,"",10,"3014",10,"0",30,"",10,"3014",10,"0",30,"",10,"8162",10,"0",30,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"7873",10,"0",10,"22011",10,"0",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"5112",10,"0",10,"10798",10,"0",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",10,"2684",10,"2872",10,"3014",10,"2684",10,"2872",10,"3014",10,"7216",10,"7722",10,"8162",10,"610",10,"700",10,"700",10,"4954",10,"5254",10,"5384",10,"2324",10,"2324",10,"2324",10,"5452",10,"5650",10,"5776",10,"2416",10,"2416",10,"2416",10,"5712",10,"5828",10,"5928"
"100760",10,"1560",10,"240",10,"52",30,"",10,"1560",10,"240",10,"52",30,"",10,"3120",10,"240",10,"104",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1296",10,"1296",10,"1800",10,"1296",10,"1296",10,"1800",10,"2496",10,"2496",10,"3360",10,"536",10,"536",10,"533",30,"",30,"",30,"",30,"",30,"",30,"",10,"4288",10,"4288",10,"4266",10,"1256",10,"1256",10,"1250",10,"1005",10,"1005",10,"1000"
"100812",10,"2250",10,"120",10,"75",30,"",10,"2250",10,"120",10,"75",30,"",10,"4500",10,"120",10,"150",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",31,"",30,"",30,"",31,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100830",10,"3000",10,"30",10,"100",30,"",10,"3000",10,"30",10,"100",30,"",10,"9000",10,"30",10,"300",30,"",10,"2880",10,"30",10,"120",10,"2880",10,"30",10,"120",10,"8640",10,"30",10,"360",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2442",10,"2577",10,"3000",10,"2442",10,"2577",10,"3000",10,"7326",10,"7731",10,"9000",10,"600",10,"600",10,"600",10,"4570",10,"4665",10,"4710",10,"1940",10,"1980",10,"2000",10,"4570",10,"4665",10,"4710",10,"1940",10,"1980",10,"2000",10,"1940",10,"1980",10,"2000"
